name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Birds-Eye Top Down/Birds-Eye Top-Down View — cinematic landscape framing, camera close to ground level, 35mm lens perspective","camera positioned directly overhead and pointing vertically downward, primary subject and surrounding ground plane clearly organised from above, body orientation readable as a top-down composition, camera close to ground level, camera close enough to prioritise garment texture, cinematic landscape framing, 35mm lens perspective, slightly off-centre editorial composition, focus centred on clothing and body orientation, clear camera-to-subject relationship, coherent spatial orientation","eye-level view, low-angle view, horizon line, side-on camera, impossible aerial anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Birds-Eye Top Down,1,False
"0002 | Perspective/Birds-Eye Top Down/Birds-Eye Top-Down View — waist-up framing, camera at chest height, 28mm moderately wide perspective","camera positioned directly overhead and pointing vertically downward, primary subject and surrounding ground plane clearly organised from above, body orientation readable as a top-down composition, camera at chest height, camera close to the subject, waist-up framing, 28mm moderately wide perspective, centred composition, clean edge separation around the subject, clear camera-to-subject relationship, coherent spatial orientation","eye-level view, low-angle view, horizon line, side-on camera, impossible aerial anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Birds-Eye Top Down,1,False
"0003 | Perspective/Birds-Eye Top Down/Birds-Eye Top-Down View — vertical editorial framing, camera at knee height, 85mm portrait perspective","camera positioned directly overhead and pointing vertically downward, primary subject and surrounding ground plane clearly organised from above, body orientation readable as a top-down composition, camera at knee height, camera at intimate portrait distance, vertical editorial framing, 85mm portrait perspective, rule-of-thirds placement, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","eye-level view, low-angle view, horizon line, side-on camera, impossible aerial anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Birds-Eye Top Down,1,False
"0004 | Perspective/Birds-Eye Top Down/Birds-Eye Top-Down View — balanced square-format framing, camera at chest height, 135mm long-lens perspective","camera positioned directly overhead and pointing vertically downward, primary subject and surrounding ground plane clearly organised from above, body orientation readable as a top-down composition, camera at chest height, camera at moderate environmental distance, balanced square-format framing, 135mm long-lens perspective, slightly off-centre editorial composition, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","eye-level view, low-angle view, horizon line, side-on camera, impossible aerial anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Birds-Eye Top Down,1,False
"0005 | Perspective/Birds-Eye Top Down/Birds-Eye Top-Down View — vertical editorial framing, camera elevated above the subject, 40mm natural perspective","camera positioned directly overhead and pointing vertically downward, primary subject and surrounding ground plane clearly organised from above, body orientation readable as a top-down composition, camera elevated above the subject, camera several metres from the subject, vertical editorial framing, 40mm natural perspective, symmetrical visual balance, clean edge separation around the subject, clear camera-to-subject relationship, coherent spatial orientation","eye-level view, low-angle view, horizon line, side-on camera, impossible aerial anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Birds-Eye Top Down,1,False
"0006 | Perspective/Birds-Eye Top Down/Birds-Eye Top-Down View — full-body framing, camera at shoulder height, 105mm compressed portrait perspective","camera positioned directly overhead and pointing vertically downward, primary subject and surrounding ground plane clearly organised from above, body orientation readable as a top-down composition, camera at shoulder height, camera at intimate portrait distance, full-body framing, 105mm compressed portrait perspective, strong leading lines directing attention to the subject, focus centred on clothing and body orientation, clear camera-to-subject relationship, coherent spatial orientation","eye-level view, low-angle view, horizon line, side-on camera, impossible aerial anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Birds-Eye Top Down,1,False
"0007 | Perspective/Birds-Eye Top Down/Birds-Eye Top-Down View — three-quarter body framing, camera at waist height, 35mm lens perspective","camera positioned directly overhead and pointing vertically downward, primary subject and surrounding ground plane clearly organised from above, body orientation readable as a top-down composition, camera at waist height, camera several metres from the subject, three-quarter body framing, 35mm lens perspective, environment framing the subject naturally, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","eye-level view, low-angle view, horizon line, side-on camera, impossible aerial anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Birds-Eye Top Down,1,False
"0008 | Perspective/Birds-Eye Top Down/Birds-Eye Top-Down View — cinematic landscape framing, camera aligned with the subject upper back, 50mm standard lens perspective","camera positioned directly overhead and pointing vertically downward, primary subject and surrounding ground plane clearly organised from above, body orientation readable as a top-down composition, camera aligned with the subject upper back, camera at conversational distance, cinematic landscape framing, 50mm standard lens perspective, slightly off-centre editorial composition, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","eye-level view, low-angle view, horizon line, side-on camera, impossible aerial anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Birds-Eye Top Down,1,False
"0009 | Perspective/Birds-Eye Top Down/Birds-Eye Top-Down View — head-and-shoulders framing, camera at chest height, 35mm lens perspective","camera positioned directly overhead and pointing vertically downward, primary subject and surrounding ground plane clearly organised from above, body orientation readable as a top-down composition, camera at chest height, camera positioned to include foreground depth, head-and-shoulders framing, 35mm lens perspective, clean negative space around the subject, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","eye-level view, low-angle view, horizon line, side-on camera, impossible aerial anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Birds-Eye Top Down,1,False
"0010 | Perspective/Birds-Eye Top Down/Birds-Eye Top-Down View — cinematic landscape framing, camera slightly below eye level, 50mm standard lens perspective","camera positioned directly overhead and pointing vertically downward, primary subject and surrounding ground plane clearly organised from above, body orientation readable as a top-down composition, camera slightly below eye level, camera far enough back to preserve the full silhouette, cinematic landscape framing, 50mm standard lens perspective, asymmetrical cinematic balance, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","eye-level view, low-angle view, horizon line, side-on camera, impossible aerial anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Birds-Eye Top Down,1,False
