index,name,prompt,negative_prompt,category,weight,favorite
1,Romantic Goth Maxi Dress,"H3-safe video styling: Dress <Subject 1> in romantic goth maxi dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the styling fashion-editorial and non-explicit. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Alternative Fashion,1.0,False
2,Romantic Goth Tailored Suit,"H3-safe video styling: Dress <Subject 1> in romantic goth tailored suit, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the styling fashion-editorial and non-explicit. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Alternative Fashion,1.0,False
3,Victorian Goth Maxi Dress,"H3-safe video styling: Dress <Subject 1> in victorian goth maxi dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the styling fashion-editorial and non-explicit. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Alternative Fashion,1.0,False
4,Victorian Goth Tailored Suit,"H3-safe video styling: Dress <Subject 1> in victorian goth tailored suit, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the styling fashion-editorial and non-explicit. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Alternative Fashion,1.0,False
5,Dark Academia Maxi Dress,"H3-safe video styling: Dress <Subject 1> in dark academia maxi dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the styling fashion-editorial and non-explicit. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Alternative Fashion,1.0,False
6,Dark Academia Tailored Suit,"H3-safe video styling: Dress <Subject 1> in dark academia tailored suit, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the styling fashion-editorial and non-explicit. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Alternative Fashion,1.0,False
7,Mourning-Inspired Maxi Dress,"H3-safe video styling: Dress <Subject 1> in mourning-inspired maxi dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the styling fashion-editorial and non-explicit. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Alternative Fashion,1.0,False
8,Mourning-Inspired Tailored Suit,"H3-safe video styling: Dress <Subject 1> in mourning-inspired tailored suit, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the styling fashion-editorial and non-explicit. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Alternative Fashion,1.0,False
9,Cathedral Lace Maxi Dress,"H3-safe video styling: Dress <Subject 1> in cathedral lace maxi dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the styling fashion-editorial and non-explicit. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Alternative Fashion,1.0,False
10,Cathedral Lace Tailored Suit,"H3-safe video styling: Dress <Subject 1> in cathedral lace tailored suit, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the styling fashion-editorial and non-explicit. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Alternative Fashion,1.0,False
