index,name,prompt,negative_prompt,category,weight,favorite
1,Female/Underwear & Lingerie/Bra and Panty Set/Sports Bra and Brief Set,"Adult woman wearing a sports bra and brief set, unbranded, fashionable, with realistic fabric behaviour, precise stitching, coordinated design, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra and Panty Set,1,False
2,Female/Swimwear/Style/One-piece Swimsuit,"Adult woman wearing one-piece swimsuit, with clean fashionable swim styling, realistic fabric behaviour, precise stitching, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Style,1,False
3,H3 Safe/Female/Underwear & Lingerie/Seamless Bralette and Brief Set,"Adult woman wearing a seamless bralette and brief set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
4,H3 Safe/Female/Underwear & Lingerie/Wireless Bra and Hipster Set,"Adult woman wearing a wireless bra and hipster set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
5,H3 Safe/Female/Underwear & Lingerie/Soft-cup Bra and High-waist Brief Set,"Adult woman wearing a soft-cup bra and high-waist brief set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
6,H3 Safe/Female/Underwear & Lingerie/Sports Bra and Brief Set,"Adult woman wearing a sports bra and brief set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
7,H3 Safe/Female/Underwear & Lingerie/Longline Bra and Brief Set,"Adult woman wearing a longline bra and brief set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
8,H3 Safe/Female/Underwear & Lingerie/Balconette Bra and Brief Set,"Adult woman wearing a balconette bra and brief set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
9,H3 Safe/Female/Underwear & Lingerie/Triangle Bra and Tanga Set,"Adult woman wearing a triangle bra and tanga set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
10,H3 Safe/Female/Underwear & Lingerie/Bralette and Cheeky Panty Set,"Adult woman wearing a bralette and cheeky panty set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
11,H3 Safe/Female/Underwear & Lingerie/Plunge Bra and Brazilian Panty Set,"Adult woman wearing a plunge bra and brazilian panty set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
12,H3 Safe/Female/Underwear & Lingerie/Underwire Bra and Boyshort Set,"Adult woman wearing a underwire bra and boyshort set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
13,H3 Safe/Female/Swimwear/One-piece Swimsuit,"Adult woman wearing one-piece swimsuit, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
14,H3 Safe/Female/Swimwear/High-waist Bikini Set,"Adult woman wearing high-waist bikini set, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
15,H3 Safe/Female/Swimwear/Sport Bikini Set,"Adult woman wearing sport bikini set, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
16,H3 Safe/Female/Swimwear/Rash-guard Set,"Adult woman wearing rash-guard set, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
17,H3 Safe/Female/Swimwear/Tankini Set,"Adult woman wearing tankini set, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
18,H3 Safe/Female/Swimwear/Long-sleeve One-piece,"Adult woman wearing long-sleeve one-piece, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
19,H3 Safe/Female/Swimwear/Balconette Bikini Set,"Adult woman wearing balconette bikini set, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
20,H3 Safe/Female/Swimwear/Triangle Bikini Set,"Adult woman wearing triangle bikini set, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
21,H3 Safe/Female/Swimwear/Swim Dress,"Adult woman wearing swim dress, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
22,H3 Safe/Female/Swimwear/Surf Suit,"Adult woman wearing surf suit, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
23,H3 Safe/Pose Friendly/Seamless Bodysuit,"Use seamless bodysuit as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
24,H3 Safe/Pose Friendly/Yoga Outfit,"Use yoga outfit as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
25,H3 Safe/Pose Friendly/Athleisure Set,"Use athleisure set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
26,H3 Safe/Pose Friendly/Sports Bra and Brief Set,"Use sports bra and brief set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
27,H3 Safe/Pose Friendly/Longline Bra and High-waist Brief Set,"Use longline bra and high-waist brief set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
28,H3 Safe/Pose Friendly/Wireless Bra and Hipster Set,"Use wireless bra and hipster set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
29,H3 Safe/Pose Friendly/Soft-cup Bra and Brief Set,"Use soft-cup bra and brief set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
30,H3 Safe/Pose Friendly/One-piece Swimsuit,"Use one-piece swimsuit as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
31,H3 Safe/Pose Friendly/Sport Bikini Set,"Use sport bikini set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
32,H3 Safe/Pose Friendly/Tankini Set,"Use tankini set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
33,H3 Safe/Pose Friendly/Rash-guard Set,"Use rash-guard set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
34,H3 Safe/Pose Friendly/Simple Lingerie Set,"Use simple lingerie set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
35,H3 Safe/Pose Friendly/Simple Cami and Shorts Set,"Use simple cami and shorts set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
36,H3 Safe/Pose Friendly/Fitted Lounge Set,"Use fitted lounge set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
