index,name,prompt,negative_prompt,category,weight,favorite
1,Nude Cream Manicure,"Style <Subject 1>'s nails with nude cream manicure, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Colors and Finishes,1.0,False
2,Nude Matte Manicure,"Style <Subject 1>'s nails with nude matte manicure, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Colors and Finishes,1.0,False
3,Nude Gloss Manicure,"Style <Subject 1>'s nails with nude gloss manicure, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Colors and Finishes,1.0,False
4,Nude Metallic Manicure,"Style <Subject 1>'s nails with nude metallic manicure, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Colors and Finishes,1.0,False
5,Nude Glitter Manicure,"Style <Subject 1>'s nails with nude glitter manicure, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Colors and Finishes,1.0,False
6,Milky White Cream Manicure,"Style <Subject 1>'s nails with milky white cream manicure, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Colors and Finishes,1.0,False
7,Milky White Matte Manicure,"Style <Subject 1>'s nails with milky white matte manicure, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Colors and Finishes,1.0,False
8,Milky White Gloss Manicure,"Style <Subject 1>'s nails with milky white gloss manicure, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Colors and Finishes,1.0,False
9,Milky White Metallic Manicure,"Style <Subject 1>'s nails with milky white metallic manicure, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Colors and Finishes,1.0,False
10,Milky White Glitter Manicure,"Style <Subject 1>'s nails with milky white glitter manicure, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Colors and Finishes,1.0,False
