name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Left Profile/Exact Left Profile — waist-up framing, camera aligned with the subject upper back, 24mm wide-angle perspective with controlled distortion","camera positioned exactly on the subject left side at a 90-degree angle, left profile visible, nose and chin silhouette clearly separated, shoulders aligned sideways, no frontal or rear rotation, camera aligned with the subject upper back, camera positioned to include the surrounding environment, waist-up framing, 24mm wide-angle perspective with controlled distortion, asymmetrical cinematic balance, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","right profile, front-facing view, rear-facing view, both eyes equally visible, twisted neck, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Left Profile,1,False
"0002 | Perspective/Left Profile/Exact Left Profile — vertical editorial framing, camera at shoulder height, 28mm moderately wide perspective","camera positioned exactly on the subject left side at a 90-degree angle, left profile visible, nose and chin silhouette clearly separated, shoulders aligned sideways, no frontal or rear rotation, camera at shoulder height, camera at moderate environmental distance, vertical editorial framing, 28mm moderately wide perspective, environment framing the subject naturally, focus prioritising the back silhouette and shoulder line, clear camera-to-subject relationship, coherent spatial orientation","right profile, front-facing view, rear-facing view, both eyes equally visible, twisted neck, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Left Profile,1,False
"0003 | Perspective/Left Profile/Exact Left Profile — waist-up framing, camera at knee height, 24mm wide-angle perspective with controlled distortion","camera positioned exactly on the subject left side at a 90-degree angle, left profile visible, nose and chin silhouette clearly separated, shoulders aligned sideways, no frontal or rear rotation, camera at knee height, camera at moderate environmental distance, waist-up framing, 24mm wide-angle perspective with controlled distortion, asymmetrical cinematic balance, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","right profile, front-facing view, rear-facing view, both eyes equally visible, twisted neck, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Left Profile,1,False
"0004 | Perspective/Left Profile/Exact Left Profile — cinematic landscape framing, camera at shoulder height, 24mm wide-angle perspective with controlled distortion","camera positioned exactly on the subject left side at a 90-degree angle, left profile visible, nose and chin silhouette clearly separated, shoulders aligned sideways, no frontal or rear rotation, camera at shoulder height, camera several metres from the subject, cinematic landscape framing, 24mm wide-angle perspective with controlled distortion, slightly off-centre editorial composition, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","right profile, front-facing view, rear-facing view, both eyes equally visible, twisted neck, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Left Profile,1,False
"0005 | Perspective/Left Profile/Exact Left Profile — wide environmental framing, camera at eye level, 105mm compressed portrait perspective","camera positioned exactly on the subject left side at a 90-degree angle, left profile visible, nose and chin silhouette clearly separated, shoulders aligned sideways, no frontal or rear rotation, camera at eye level, camera at intimate portrait distance, wide environmental framing, 105mm compressed portrait perspective, slightly off-centre editorial composition, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","right profile, front-facing view, rear-facing view, both eyes equally visible, twisted neck, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Left Profile,1,False
"0006 | Perspective/Left Profile/Exact Left Profile — vertical editorial framing, camera elevated above the subject, 85mm portrait perspective","camera positioned exactly on the subject left side at a 90-degree angle, left profile visible, nose and chin silhouette clearly separated, shoulders aligned sideways, no frontal or rear rotation, camera elevated above the subject, camera several metres from the subject, vertical editorial framing, 85mm portrait perspective, foreground-to-background depth layering, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","right profile, front-facing view, rear-facing view, both eyes equally visible, twisted neck, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Left Profile,1,False
"0007 | Perspective/Left Profile/Exact Left Profile — wide environmental framing, camera aligned with the subject upper back, 85mm portrait perspective","camera positioned exactly on the subject left side at a 90-degree angle, left profile visible, nose and chin silhouette clearly separated, shoulders aligned sideways, no frontal or rear rotation, camera aligned with the subject upper back, camera at intimate portrait distance, wide environmental framing, 85mm portrait perspective, strong leading lines directing attention to the subject, clean edge separation around the subject, clear camera-to-subject relationship, coherent spatial orientation","right profile, front-facing view, rear-facing view, both eyes equally visible, twisted neck, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Left Profile,1,False
"0008 | Perspective/Left Profile/Exact Left Profile — full-body framing, camera close to ground level, 85mm portrait perspective","camera positioned exactly on the subject left side at a 90-degree angle, left profile visible, nose and chin silhouette clearly separated, shoulders aligned sideways, no frontal or rear rotation, camera close to ground level, camera positioned to include the surrounding environment, full-body framing, 85mm portrait perspective, slightly off-centre editorial composition, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","right profile, front-facing view, rear-facing view, both eyes equally visible, twisted neck, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Left Profile,1,False
"0009 | Perspective/Left Profile/Exact Left Profile — balanced square-format framing, camera at waist height, 85mm portrait perspective","camera positioned exactly on the subject left side at a 90-degree angle, left profile visible, nose and chin silhouette clearly separated, shoulders aligned sideways, no frontal or rear rotation, camera at waist height, camera at intimate portrait distance, balanced square-format framing, 85mm portrait perspective, foreground-to-background depth layering, focus centred on clothing and body orientation, clear camera-to-subject relationship, coherent spatial orientation","right profile, front-facing view, rear-facing view, both eyes equally visible, twisted neck, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Left Profile,1,False
"0010 | Perspective/Left Profile/Exact Left Profile — waist-up framing, camera at waist height, 85mm portrait perspective","camera positioned exactly on the subject left side at a 90-degree angle, left profile visible, nose and chin silhouette clearly separated, shoulders aligned sideways, no frontal or rear rotation, camera at waist height, camera at moderate environmental distance, waist-up framing, 85mm portrait perspective, asymmetrical cinematic balance, focus prioritising the back silhouette and shoulder line, clear camera-to-subject relationship, coherent spatial orientation","right profile, front-facing view, rear-facing view, both eyes equally visible, twisted neck, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Left Profile,1,False
