name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Kneeling/Upright/Upright Kneeling — both knees on the support plane — spine vertical,"both knees on the support plane, thighs vertical, pelvis centred above the knees, torso vertical, arms beside the torso; spine vertical, shoulders level, chin neutral; clear joint alignment; distinct limb separation","standing posture, seated posture, crouched posture, lying posture, one knee raised, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Upright,1,False
0002 | Pose/Kneeling/Upright/Upright Kneeling — both knees on the support plane — chin slightly lowered,"both knees on the support plane, thighs vertical, pelvis centred above the knees, torso vertical, arms beside the torso; chin slightly lowered, neck long; clear joint alignment; distinct limb separation","standing posture, seated posture, crouched posture, lying posture, one knee raised, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Upright,1,False
0003 | Pose/Kneeling/Upright/Upright Kneeling — both knees on the support plane — chin slightly raised,"both knees on the support plane, thighs vertical, pelvis centred above the knees, torso vertical, arms beside the torso; chin slightly raised, neck long; clear joint alignment; distinct limb separation","standing posture, seated posture, crouched posture, lying posture, one knee raised, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Upright,1,False
0004 | Pose/Kneeling/Upright/Upright Kneeling — both knees on the support plane — head tilted slightly left,"both knees on the support plane, thighs vertical, pelvis centred above the knees, torso vertical, arms beside the torso; head tilted slightly left; clear joint alignment; distinct limb separation","standing posture, seated posture, crouched posture, lying posture, one knee raised, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Upright,1,False
0005 | Pose/Kneeling/Upright/Upright Kneeling — both knees on the support plane — head tilted slightly right,"both knees on the support plane, thighs vertical, pelvis centred above the knees, torso vertical, arms beside the torso; head tilted slightly right; clear joint alignment; distinct limb separation","standing posture, seated posture, crouched posture, lying posture, one knee raised, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Upright,1,False
0006 | Pose/Kneeling/Upright/Upright Kneeling — both knees on the support plane — head rotated slightly left,"both knees on the support plane, thighs vertical, pelvis centred above the knees, torso vertical, arms beside the torso; head rotated slightly left, pelvis stable; clear joint alignment; distinct limb separation","standing posture, seated posture, crouched posture, lying posture, one knee raised, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Upright,1,False
0007 | Pose/Kneeling/Upright/Upright Kneeling — both knees on the support plane — head rotated slightly right,"both knees on the support plane, thighs vertical, pelvis centred above the knees, torso vertical, arms beside the torso; head rotated slightly right, pelvis stable; clear joint alignment; distinct limb separation","standing posture, seated posture, crouched posture, lying posture, one knee raised, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Upright,1,False
0008 | Pose/Kneeling/Upright/Upright Kneeling — both knees on the support plane — ribcage rotated slightly left,"both knees on the support plane, thighs vertical, pelvis centred above the knees, torso vertical, arms beside the torso; ribcage rotated slightly left, hips facing forward; clear joint alignment; distinct limb separation","standing posture, seated posture, crouched posture, lying posture, one knee raised, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Upright,1,False
0009 | Pose/Kneeling/Upright/Upright Kneeling — both knees on the support plane — ribcage rotated slightly right,"both knees on the support plane, thighs vertical, pelvis centred above the knees, torso vertical, arms beside the torso; ribcage rotated slightly right, hips facing forward; clear joint alignment; distinct limb separation","standing posture, seated posture, crouched posture, lying posture, one knee raised, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Upright,1,False
0010 | Pose/Kneeling/Upright/Upright Kneeling — both knees on the support plane — torso inclined slightly forward with a long spine,"both knees on the support plane, thighs vertical, pelvis centred above the knees, torso vertical, arms beside the torso; torso inclined slightly forward with a long spine; clear joint alignment; distinct limb separation","standing posture, seated posture, crouched posture, lying posture, one knee raised, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Upright,1,False
