name,prompt,negative_prompt
0000 | No Character/None,,
0001 | Game Character/Mario,"Mario, Super Mario, red cap with M emblem, blue overalls, brown moustache, cheerful plumber hero, bright Nintendo game mascot design, recognizable character reference, accurate signature outfit, accurate color palette, strong silhouette, high-recognition character trigger","low quality, blurry, bad anatomy, extra fingers, missing fingers, deformed face, wrong outfit, wrong colors, generic face, unrecognizable character, text artifacts, watermark, logo artifacts"
0002 | Game Character/Luigi,"Luigi, Super Mario, green cap with L emblem, blue overalls, tall slim moustached plumber, nervous heroic sidekick energy, recognizable character reference, accurate signature outfit, accurate color palette, strong silhouette, high-recognition character trigger","low quality, blurry, bad anatomy, extra fingers, missing fingers, deformed face, wrong outfit, wrong colors, generic face, unrecognizable character, text artifacts, watermark, logo artifacts"
0003 | Game Character/Princess Peach,"Princess Peach, pink royal gown, blonde princess hair, crown, white gloves, elegant Mushroom Kingdom princess, recognizable character reference, accurate signature outfit, accurate color palette, strong silhouette, high-recognition character trigger","low quality, blurry, bad anatomy, extra fingers, missing fingers, deformed face, wrong outfit, wrong colors, generic face, unrecognizable character, text artifacts, watermark, logo artifacts"
0004 | Game Character/Bowser,"Bowser, King Koopa, giant spiked turtle dragon villain, orange mane, horns, spiked shell, heavy fantasy monster boss, recognizable character reference, accurate signature outfit, accurate color palette, strong silhouette, high-recognition character trigger","low quality, blurry, bad anatomy, extra fingers, missing fingers, deformed face, wrong outfit, wrong colors, generic face, unrecognizable character, text artifacts, watermark, logo artifacts"
0005 | Game Character/Yoshi,"Yoshi, green dinosaur mascot, white belly, orange boots, friendly rounded game character, recognizable character reference, accurate signature outfit, accurate color palette, strong silhouette, high-recognition character trigger","low quality, blurry, bad anatomy, extra fingers, missing fingers, deformed face, wrong outfit, wrong colors, generic face, unrecognizable character, text artifacts, watermark, logo artifacts"
0006 | Game Character/Link,"Link, The Legend of Zelda, green tunic, pointed cap, Hylian shield, Master Sword, blond fantasy hero, recognizable character reference, accurate signature outfit, accurate color palette, strong silhouette, high-recognition character trigger","low quality, blurry, bad anatomy, extra fingers, missing fingers, deformed face, wrong outfit, wrong colors, generic face, unrecognizable character, text artifacts, watermark, logo artifacts"
0007 | Game Character/Princess Zelda,"Princess Zelda, Hylian princess, royal fantasy dress, golden tiara, elegant magical heroine, recognizable character reference, accurate signature outfit, accurate color palette, strong silhouette, high-recognition character trigger","low quality, blurry, bad anatomy, extra fingers, missing fingers, deformed face, wrong outfit, wrong colors, generic face, unrecognizable character, text artifacts, watermark, logo artifacts"
0008 | Game Character/Ganondorf,"Ganondorf, dark armored warlord, red hair, Gerudo king, sinister fantasy villain, recognizable character reference, accurate signature outfit, accurate color palette, strong silhouette, high-recognition character trigger","low quality, blurry, bad anatomy, extra fingers, missing fingers, deformed face, wrong outfit, wrong colors, generic face, unrecognizable character, text artifacts, watermark, logo artifacts"
0009 | Game Character/Samus Aran,"Samus Aran, orange power suit, sci-fi bounty hunter armor, arm cannon, Metroid-style heroine, recognizable character reference, accurate signature outfit, accurate color palette, strong silhouette, high-recognition character trigger","low quality, blurry, bad anatomy, extra fingers, missing fingers, deformed face, wrong outfit, wrong colors, generic face, unrecognizable character, text artifacts, watermark, logo artifacts"
