index,name,prompt,negative_prompt,category,weight,favorite
1,Female/Alternative & Fetishwear/Material & Finish/Latex Finish,"Use latex finish as a defining material or finishing detail, keeping the outfit unbranded, fashion-oriented, and clearly readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear/Material & Finish,1,False
2,Female/Alternative & Fetishwear/Material & Finish/Rubber Finish,"Use rubber finish as a defining material or finishing detail, keeping the outfit unbranded, fashion-oriented, and clearly readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear/Material & Finish,1,False
3,Female/Alternative & Fetishwear/Material & Finish/PVC Finish,"Use pvc finish as a defining material or finishing detail, keeping the outfit unbranded, fashion-oriented, and clearly readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear/Material & Finish,1,False
4,Female/Alternative & Fetishwear/Material & Finish/Vinyl Finish,"Use vinyl finish as a defining material or finishing detail, keeping the outfit unbranded, fashion-oriented, and clearly readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear/Material & Finish,1,False
5,Female/Alternative & Fetishwear/Material & Finish/Wet-look Finish,"Use wet-look finish as a defining material or finishing detail, keeping the outfit unbranded, fashion-oriented, and clearly readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear/Material & Finish,1,False
6,Female/Alternative & Fetishwear/Material & Finish/Patent Leather Finish,"Use patent leather finish as a defining material or finishing detail, keeping the outfit unbranded, fashion-oriented, and clearly readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear/Material & Finish,1,False
7,Female/Alternative & Fetishwear/Material & Finish/Leather-look Finish,"Use leather-look finish as a defining material or finishing detail, keeping the outfit unbranded, fashion-oriented, and clearly readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear/Material & Finish,1,False
8,Female/Alternative & Fetishwear/Material & Finish/Matte Leather Finish,"Use matte leather finish as a defining material or finishing detail, keeping the outfit unbranded, fashion-oriented, and clearly readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear/Material & Finish,1,False
9,Female/Alternative & Fetishwear/Material & Finish/Gloss Leather Finish,"Use gloss leather finish as a defining material or finishing detail, keeping the outfit unbranded, fashion-oriented, and clearly readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear/Material & Finish,1,False
10,Female/Alternative & Fetishwear/Material & Finish/Mesh Panels,"Use mesh panels as a defining material or finishing detail, keeping the outfit unbranded, fashion-oriented, and clearly readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear/Material & Finish,1,False
11,Female/Alternative & Fetishwear/Material & Finish/Fishnet Overlay with Opaque Styling,"Use fishnet overlay with opaque styling as a defining material or finishing detail, keeping the outfit unbranded, fashion-oriented, and clearly readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear/Material & Finish,1,False
12,Female/Alternative & Fetishwear/Material & Finish/Buckled Hardware Detail,"Use buckled hardware detail as a defining material or finishing detail, keeping the outfit unbranded, fashion-oriented, and clearly readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear/Material & Finish,1,False
13,Female/Alternative & Fetishwear/Material & Finish/Chain Hardware Detail,"Use chain hardware detail as a defining material or finishing detail, keeping the outfit unbranded, fashion-oriented, and clearly readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear/Material & Finish,1,False
14,Female/Alternative & Fetishwear/Material & Finish/Strap-heavy Construction,"Use strap-heavy construction as a defining material or finishing detail, keeping the outfit unbranded, fashion-oriented, and clearly readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear/Material & Finish,1,False
15,Female/Alternative & Fetishwear/Material & Finish/Harness Detailing,"Use harness detailing as a defining material or finishing detail, keeping the outfit unbranded, fashion-oriented, and clearly readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear/Material & Finish,1,False
16,Female/Alternative & Fetishwear/Material & Finish/Reflective Synthetic Finish,"Use reflective synthetic finish as a defining material or finishing detail, keeping the outfit unbranded, fashion-oriented, and clearly readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear/Material & Finish,1,False
