name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Front View/Direct Front View — waist-up framing, camera slightly above eye level, 24mm wide-angle perspective with controlled distortion","camera positioned directly in front of the primary subject, subject facing the camera squarely, shoulders aligned toward the viewer, clear frontal orientation, camera slightly above eye level, camera at intimate portrait distance, waist-up framing, 24mm wide-angle perspective with controlled distortion, minimal uncluttered composition, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","rear view, back facing camera, hidden face, profile-only view, over-the-shoulder composition, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Front View,1,False
"0002 | Perspective/Front View/Direct Front View — full-body framing, camera slightly above eye level, 70mm short-telephoto perspective","camera positioned directly in front of the primary subject, subject facing the camera squarely, shoulders aligned toward the viewer, clear frontal orientation, camera slightly above eye level, camera at moderate environmental distance, full-body framing, 70mm short-telephoto perspective, symmetrical visual balance, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","rear view, back facing camera, hidden face, profile-only view, over-the-shoulder composition, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Front View,1,False
"0003 | Perspective/Front View/Direct Front View — three-quarter body framing, camera close to ground level, 28mm moderately wide perspective","camera positioned directly in front of the primary subject, subject facing the camera squarely, shoulders aligned toward the viewer, clear frontal orientation, camera close to ground level, camera at moderate environmental distance, three-quarter body framing, 28mm moderately wide perspective, environment framing the subject naturally, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","rear view, back facing camera, hidden face, profile-only view, over-the-shoulder composition, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Front View,1,False
"0004 | Perspective/Front View/Direct Front View — three-quarter body framing, camera slightly above eye level, 28mm moderately wide perspective","camera positioned directly in front of the primary subject, subject facing the camera squarely, shoulders aligned toward the viewer, clear frontal orientation, camera slightly above eye level, camera positioned to include foreground depth, three-quarter body framing, 28mm moderately wide perspective, symmetrical visual balance, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","rear view, back facing camera, hidden face, profile-only view, over-the-shoulder composition, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Front View,1,False
"0005 | Perspective/Front View/Direct Front View — waist-up framing, camera elevated above the subject, 65mm portrait perspective","camera positioned directly in front of the primary subject, subject facing the camera squarely, shoulders aligned toward the viewer, clear frontal orientation, camera elevated above the subject, camera close to the subject, waist-up framing, 65mm portrait perspective, foreground-to-background depth layering, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","rear view, back facing camera, hidden face, profile-only view, over-the-shoulder composition, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Front View,1,False
"0006 | Perspective/Front View/Direct Front View — head-and-shoulders framing, camera at knee height, 40mm natural perspective","camera positioned directly in front of the primary subject, subject facing the camera squarely, shoulders aligned toward the viewer, clear frontal orientation, camera at knee height, camera positioned to include the surrounding environment, head-and-shoulders framing, 40mm natural perspective, strong leading lines directing attention to the subject, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","rear view, back facing camera, hidden face, profile-only view, over-the-shoulder composition, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Front View,1,False
"0007 | Perspective/Front View/Direct Front View — full-body framing, camera at knee height, 28mm moderately wide perspective","camera positioned directly in front of the primary subject, subject facing the camera squarely, shoulders aligned toward the viewer, clear frontal orientation, camera at knee height, camera at natural observational distance, full-body framing, 28mm moderately wide perspective, strong leading lines directing attention to the subject, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","rear view, back facing camera, hidden face, profile-only view, over-the-shoulder composition, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Front View,1,False
"0008 | Perspective/Front View/Direct Front View — head-and-shoulders framing, camera at shoulder height, 24mm wide-angle perspective with controlled distortion","camera positioned directly in front of the primary subject, subject facing the camera squarely, shoulders aligned toward the viewer, clear frontal orientation, camera at shoulder height, camera close enough to prioritise garment texture, head-and-shoulders framing, 24mm wide-angle perspective with controlled distortion, asymmetrical cinematic balance, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","rear view, back facing camera, hidden face, profile-only view, over-the-shoulder composition, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Front View,1,False
"0009 | Perspective/Front View/Direct Front View — waist-up framing, camera at chest height, 135mm long-lens perspective","camera positioned directly in front of the primary subject, subject facing the camera squarely, shoulders aligned toward the viewer, clear frontal orientation, camera at chest height, camera close to the subject, waist-up framing, 135mm long-lens perspective, rule-of-thirds placement, focus centred on clothing and body orientation, clear camera-to-subject relationship, coherent spatial orientation","rear view, back facing camera, hidden face, profile-only view, over-the-shoulder composition, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Front View,1,False
"0010 | Perspective/Front View/Direct Front View — head-and-shoulders framing, camera aligned with the subject upper back, 65mm portrait perspective","camera positioned directly in front of the primary subject, subject facing the camera squarely, shoulders aligned toward the viewer, clear frontal orientation, camera aligned with the subject upper back, camera far enough back to preserve the full silhouette, head-and-shoulders framing, 65mm portrait perspective, asymmetrical cinematic balance, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","rear view, back facing camera, hidden face, profile-only view, over-the-shoulder composition, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Front View,1,False
