index,name,prompt
1,72 BPM Slow,"72 BPM, slow and spacious with room for long phrases and heavy emotional weight."
2,78 BPM Laid-Back,78 BPM with relaxed swing and a late-night pocket.
3,92 BPM Head-Nod,"92 BPM, steady head-nod groove with clear lyrical space."
4,105 BPM Midtempo,"105 BPM, energetic midtempo movement without feeling rushed."
5,118 BPM Driving,"118 BPM, driving and propulsive with consistent forward motion."
6,128 BPM Club,"128 BPM, four-on-the-floor club energy with clean build-and-release pacing."
7,142 BPM Half-Time,142 BPM interpreted in a heavy half-time trap/drill pocket.
8,150 BPM Aggressive,150 BPM with urgent double-time potential and forceful rhythmic accents.
9,172 BPM Drum and Bass,172 BPM with fast breakbeat motion and a stable half-time vocal pocket.
10,Tempo Evolves,"Begin restrained around 80 BPM in feel, then increase perceived motion through denser subdivisions and percussion."
11,55 BPM Very Slow,"55 BPM, extremely spacious and deliberate."
12,65 BPM Slow Burn,65 BPM with a patient slow-burn pulse.
13,84 BPM Soul Pocket,84 BPM with a relaxed soulful pocket.
14,96 BPM Boom Bap,96 BPM with firm head-nod swing.
15,100 BPM Funk Groove,100 BPM with tight syncopated funk movement.
16,105 BPM Reggaeton,105 BPM with steady dembow momentum.
17,110 BPM Afrobeat,110 BPM with layered polyrhythmic bounce.
18,115 BPM Disco,115 BPM with an energetic four-on-the-floor disco pulse.
19,120 BPM Deep House,120 BPM with a smooth club-ready house groove.
20,124 BPM House,124 BPM with driving house energy.
21,128 BPM Festival,128 BPM with high-energy festival pacing.
22,130 BPM Techno,130 BPM with relentless techno propulsion.
23,134 BPM Trance,134 BPM with uplifting trance drive.
24,138 BPM Drill,138 BPM with a half-time drill feel and room for sliding bass.
25,145 BPM Rage,145 BPM with urgent rage-rap momentum.
26,150 BPM Punk,150 BPM with fast live-band attack.
27,160 BPM Double-Time,160 BPM with forceful double-time energy.
28,170 BPM Drum and Bass,170 BPM with rolling drum-and-bass pace.
29,174 BPM Liquid DnB,174 BPM with fluid breakbeat motion.
30,180 BPM Jungle,180 BPM with frantic chopped-break intensity.
31,Variable Rubato,Use expressive rubato and tempo breathing instead of a rigid pulse.
32,Half-Time to Double-Time,Begin in a heavy half-time feel and switch decisively into double-time.
,58 BPM Intimate Ballad,58 BPM with patient ballad phrasing and generous breath.
,72 BPM Slow R&B,72 BPM with a deep relaxed R&B pocket.
,88 BPM Laid-Back Groove,88 BPM with unhurried head-nod movement.
,98 BPM Pop Midtempo,98 BPM with steady modern pop momentum.
,108 BPM Dancehall,108 BPM with buoyant dancehall movement.
,112 BPM Afrobeats,112 BPM with layered syncopation and light-footed bounce.
,118 BPM Nu-Disco,118 BPM with smooth four-on-the-floor disco drive.
,126 BPM Club House,126 BPM with focused peak-hour house energy.
,132 BPM Hard Techno,132 BPM with firm warehouse propulsion.
,140 BPM Grime / Dubstep,140 BPM with a spacious half-time bass-music feel.
,155 BPM Hardcore,155 BPM with urgent live-band attack.
,172 BPM Jungle,172 BPM with rolling chopped-break momentum.
