name,prompt,negative_prompt,category,weight,favorite
0001 | Editorial/Power Stance - Direct Gaze,"standing square to camera with grounded feet, shoulders open and controlled confident posture, chin level, direct gaze into camera, calm facial control","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, child, teen, underage, low detail, blur, text, watermark",Editorial,1.0,False
0002 | Editorial/Power Stance - Profile,"standing square to camera with grounded feet, shoulders open and controlled confident posture, head turned to a clean profile, neck lengthened and eyes focused ahead","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, child, teen, underage, low detail, blur, text, watermark",Editorial,1.0,False
0003 | Editorial/Power Stance - Over Shoulder,"standing square to camera with grounded feet, shoulders open and controlled confident posture, head turned over one shoulder, torso maintaining the base action","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, child, teen, underage, low detail, blur, text, watermark",Editorial,1.0,False
0004 | Editorial/Power Stance - Upward Focus,"standing square to camera with grounded feet, shoulders open and controlled confident posture, eyes lifted slightly upward with chest subtly expanded","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, child, teen, underage, low detail, blur, text, watermark",Editorial,1.0,False
0005 | Editorial/Power Stance - Downward Focus,"standing square to camera with grounded feet, shoulders open and controlled confident posture, gaze lowered with restrained reflective emotion","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, child, teen, underage, low detail, blur, text, watermark",Editorial,1.0,False
0006 | Editorial/Power Stance - Candid,"standing square to camera with grounded feet, shoulders open and controlled confident posture, natural unposed facial expression and small believable posture imperfections","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, child, teen, underage, low detail, blur, text, watermark",Editorial,1.0,False
0007 | Editorial/Power Stance - Dramatic Light,"standing square to camera with grounded feet, shoulders open and controlled confident posture, body arranged for a strong readable silhouette under directional light","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, child, teen, underage, low detail, blur, text, watermark",Editorial,1.0,False
0008 | Editorial/Power Stance - Hands Emphasis,"standing square to camera with grounded feet, shoulders open and controlled confident posture, fingers separated naturally and hand placement clearly visible","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, child, teen, underage, low detail, blur, text, watermark",Editorial,1.0,False
0009 | Editorial/Power Stance - Mid Motion,"standing square to camera with grounded feet, shoulders open and controlled confident posture, captured during believable movement with controlled balance and fabric response","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, child, teen, underage, low detail, blur, text, watermark",Editorial,1.0,False
0010 | Editorial/Power Stance - Emotional Beat,"standing square to camera with grounded feet, shoulders open and controlled confident posture, clear restrained emotion carried through eyes, shoulders and breathing","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, child, teen, underage, low detail, blur, text, watermark",Editorial,1.0,False
0011 | Editorial/Coat Turn - Direct Gaze,"turning sharply while a long coat follows the movement in a clean arc, chin level, direct gaze into camera, calm facial control","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, child, teen, underage, low detail, blur, text, watermark",Editorial,1.0,False
0012 | Editorial/Coat Turn - Profile,"turning sharply while a long coat follows the movement in a clean arc, head turned to a clean profile, neck lengthened and eyes focused ahead","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, child, teen, underage, low detail, blur, text, watermark",Editorial,1.0,False
0013 | Editorial/Coat Turn - Over Shoulder,"turning sharply while a long coat follows the movement in a clean arc, head turned over one shoulder, torso maintaining the base action","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, child, teen, underage, low detail, blur, text, watermark",Editorial,1.0,False
0014 | Editorial/Coat Turn - Upward Focus,"turning sharply while a long coat follows the movement in a clean arc, eyes lifted slightly upward with chest subtly expanded","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, child, teen, underage, low detail, blur, text, watermark",Editorial,1.0,False
0015 | Editorial/Coat Turn - Downward Focus,"turning sharply while a long coat follows the movement in a clean arc, gaze lowered with restrained reflective emotion","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, child, teen, underage, low detail, blur, text, watermark",Editorial,1.0,False
0016 | Editorial/Coat Turn - Candid,"turning sharply while a long coat follows the movement in a clean arc, natural unposed facial expression and small believable posture imperfections","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, child, teen, underage, low detail, blur, text, watermark",Editorial,1.0,False
0017 | Editorial/Coat Turn - Dramatic Light,"turning sharply while a long coat follows the movement in a clean arc, body arranged for a strong readable silhouette under directional light","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, child, teen, underage, low detail, blur, text, watermark",Editorial,1.0,False
0018 | Editorial/Coat Turn - Hands Emphasis,"turning sharply while a long coat follows the movement in a clean arc, fingers separated naturally and hand placement clearly visible","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, child, teen, underage, low detail, blur, text, watermark",Editorial,1.0,False
