name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/First-Person POV/First-Person Point of View — vertical editorial framing, camera at shoulder height, 70mm short-telephoto perspective","camera represents the viewer own eyes, scene experienced from first-person perspective, foreground hands or body edge included only when context requires, primary subject or destination placed naturally ahead, camera at shoulder height, camera close enough to prioritise garment texture, vertical editorial framing, 70mm short-telephoto perspective, rule-of-thirds placement, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","third-person camera, external view of viewer, floating disembodied limbs, duplicate hands, mirror selfie, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
"0002 | Perspective/First-Person POV/First-Person Point of View — balanced square-format framing, camera at shoulder height, 65mm portrait perspective","camera represents the viewer own eyes, scene experienced from first-person perspective, foreground hands or body edge included only when context requires, primary subject or destination placed naturally ahead, camera at shoulder height, camera positioned to include foreground depth, balanced square-format framing, 65mm portrait perspective, asymmetrical cinematic balance, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","third-person camera, external view of viewer, floating disembodied limbs, duplicate hands, mirror selfie, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
"0003 | Perspective/First-Person POV/First-Person Point of View — three-quarter body framing, camera slightly below eye level, 40mm natural perspective","camera represents the viewer own eyes, scene experienced from first-person perspective, foreground hands or body edge included only when context requires, primary subject or destination placed naturally ahead, camera slightly below eye level, camera at conversational distance, three-quarter body framing, 40mm natural perspective, minimal uncluttered composition, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","third-person camera, external view of viewer, floating disembodied limbs, duplicate hands, mirror selfie, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
"0004 | Perspective/First-Person POV/First-Person Point of View — medium portrait framing, camera aligned with the subject upper back, 105mm compressed portrait perspective","camera represents the viewer own eyes, scene experienced from first-person perspective, foreground hands or body edge included only when context requires, primary subject or destination placed naturally ahead, camera aligned with the subject upper back, camera at natural observational distance, medium portrait framing, 105mm compressed portrait perspective, rule-of-thirds placement, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","third-person camera, external view of viewer, floating disembodied limbs, duplicate hands, mirror selfie, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
"0005 | Perspective/First-Person POV/First-Person Point of View — head-and-shoulders framing, camera aligned with the subject upper back, 35mm lens perspective","camera represents the viewer own eyes, scene experienced from first-person perspective, foreground hands or body edge included only when context requires, primary subject or destination placed naturally ahead, camera aligned with the subject upper back, camera close to the subject, head-and-shoulders framing, 35mm lens perspective, minimal uncluttered composition, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","third-person camera, external view of viewer, floating disembodied limbs, duplicate hands, mirror selfie, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
"0006 | Perspective/First-Person POV/First-Person Point of View — wide environmental framing, camera close to ground level, 135mm long-lens perspective","camera represents the viewer own eyes, scene experienced from first-person perspective, foreground hands or body edge included only when context requires, primary subject or destination placed naturally ahead, camera close to ground level, camera at natural observational distance, wide environmental framing, 135mm long-lens perspective, centred composition, focus prioritising the face when visible, clear camera-to-subject relationship, coherent spatial orientation","third-person camera, external view of viewer, floating disembodied limbs, duplicate hands, mirror selfie, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
"0007 | Perspective/First-Person POV/First-Person Point of View — balanced square-format framing, camera slightly above eye level, 65mm portrait perspective","camera represents the viewer own eyes, scene experienced from first-person perspective, foreground hands or body edge included only when context requires, primary subject or destination placed naturally ahead, camera slightly above eye level, camera close enough to prioritise garment texture, balanced square-format framing, 65mm portrait perspective, asymmetrical cinematic balance, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","third-person camera, external view of viewer, floating disembodied limbs, duplicate hands, mirror selfie, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
"0008 | Perspective/First-Person POV/First-Person Point of View — medium portrait framing, camera close to ground level, 50mm standard lens perspective","camera represents the viewer own eyes, scene experienced from first-person perspective, foreground hands or body edge included only when context requires, primary subject or destination placed naturally ahead, camera close to ground level, camera far enough back to preserve the full silhouette, medium portrait framing, 50mm standard lens perspective, minimal uncluttered composition, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","third-person camera, external view of viewer, floating disembodied limbs, duplicate hands, mirror selfie, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
"0009 | Perspective/First-Person POV/First-Person Point of View — waist-up framing, camera at eye level, 35mm lens perspective","camera represents the viewer own eyes, scene experienced from first-person perspective, foreground hands or body edge included only when context requires, primary subject or destination placed naturally ahead, camera at eye level, camera far enough back to preserve the full silhouette, waist-up framing, 35mm lens perspective, clean negative space around the subject, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","third-person camera, external view of viewer, floating disembodied limbs, duplicate hands, mirror selfie, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
"0010 | Perspective/First-Person POV/First-Person Point of View — tight portrait framing, camera aligned with the subject upper back, 35mm lens perspective","camera represents the viewer own eyes, scene experienced from first-person perspective, foreground hands or body edge included only when context requires, primary subject or destination placed naturally ahead, camera aligned with the subject upper back, camera at conversational distance, tight portrait framing, 35mm lens perspective, slightly off-centre editorial composition, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","third-person camera, external view of viewer, floating disembodied limbs, duplicate hands, mirror selfie, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
