index,name,prompt,negative_prompt,category,weight,favorite
1,Goth Lace Headpiece,"Add goth lace headpiece to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Use lightweight costume-fashion shapes with no threatening function.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Headwear | Goth Cyber Headwear,1.0,False
2,Goth Lace Cap,"Add goth lace cap to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Use lightweight costume-fashion shapes with no threatening function.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Headwear | Goth Cyber Headwear,1.0,False
3,Goth Lace Headband,"Add goth lace headband to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Use lightweight costume-fashion shapes with no threatening function.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Headwear | Goth Cyber Headwear,1.0,False
4,Goth Lace Hood,"Add goth lace hood to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Use lightweight costume-fashion shapes with no threatening function.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Headwear | Goth Cyber Headwear,1.0,False
5,Spiked Fashion Headpiece,"Add spiked fashion headpiece to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Use lightweight costume-fashion shapes with no threatening function.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Headwear | Goth Cyber Headwear,1.0,False
6,Spiked Fashion Cap,"Add spiked fashion cap to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Use lightweight costume-fashion shapes with no threatening function.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Headwear | Goth Cyber Headwear,1.0,False
7,Spiked Fashion Headband,"Add spiked fashion headband to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Use lightweight costume-fashion shapes with no threatening function.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Headwear | Goth Cyber Headwear,1.0,False
8,Spiked Fashion Hood,"Add spiked fashion hood to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Use lightweight costume-fashion shapes with no threatening function.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Headwear | Goth Cyber Headwear,1.0,False
9,Chain-Trim Headpiece,"Add chain-trim headpiece to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Use lightweight costume-fashion shapes with no threatening function.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Headwear | Goth Cyber Headwear,1.0,False
10,Chain-Trim Cap,"Add chain-trim cap to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Use lightweight costume-fashion shapes with no threatening function.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Headwear | Goth Cyber Headwear,1.0,False
11,Chain-Trim Headband,"Add chain-trim headband to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Use lightweight costume-fashion shapes with no threatening function.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Headwear | Goth Cyber Headwear,1.0,False
12,Chain-Trim Hood,"Add chain-trim hood to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Use lightweight costume-fashion shapes with no threatening function.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Headwear | Goth Cyber Headwear,1.0,False
13,Cyber Visor Headpiece,"Add cyber visor headpiece to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Use lightweight costume-fashion shapes with no threatening function.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Headwear | Goth Cyber Headwear,1.0,False
14,Cyber Visor Cap,"Add cyber visor cap to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Use lightweight costume-fashion shapes with no threatening function.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Headwear | Goth Cyber Headwear,1.0,False
15,Cyber Visor Headband,"Add cyber visor headband to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Use lightweight costume-fashion shapes with no threatening function.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Headwear | Goth Cyber Headwear,1.0,False
