name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Standing/Crossed Legs/Crossed-Leg Standing — left leg crossed in front of the right — head level,"left leg crossed in front of the right, both feet grounded, arms beside the torso; head level, chin neutral, shoulders level; clear joint alignment; distinct limb separation","legs uncrossed, wide stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Crossed Legs,1,False
0002 | Pose/Standing/Crossed Legs/Crossed-Leg Standing — left leg crossed in front of the right — chin slightly lowered,"left leg crossed in front of the right, both feet grounded, arms beside the torso; chin slightly lowered, neck lengthened, shoulders level; clear joint alignment; distinct limb separation","legs uncrossed, wide stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Crossed Legs,1,False
0003 | Pose/Standing/Crossed Legs/Crossed-Leg Standing — left leg crossed in front of the right — chin slightly raised,"left leg crossed in front of the right, both feet grounded, arms beside the torso; chin slightly raised, neck lengthened, shoulders level; clear joint alignment; distinct limb separation","legs uncrossed, wide stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Crossed Legs,1,False
0004 | Pose/Standing/Crossed Legs/Crossed-Leg Standing — left leg crossed in front of the right — head tilted slightly left,"left leg crossed in front of the right, both feet grounded, arms beside the torso; head tilted slightly left, shoulders level; clear joint alignment; distinct limb separation","legs uncrossed, wide stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Crossed Legs,1,False
0005 | Pose/Standing/Crossed Legs/Crossed-Leg Standing — left leg crossed in front of the right — head tilted slightly right,"left leg crossed in front of the right, both feet grounded, arms beside the torso; head tilted slightly right, shoulders level; clear joint alignment; distinct limb separation","legs uncrossed, wide stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Crossed Legs,1,False
0006 | Pose/Standing/Crossed Legs/Crossed-Leg Standing — left leg crossed in front of the right — head rotated slightly left,"left leg crossed in front of the right, both feet grounded, arms beside the torso; head rotated slightly left, ribcage facing forward; clear joint alignment; distinct limb separation","legs uncrossed, wide stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Crossed Legs,1,False
0007 | Pose/Standing/Crossed Legs/Crossed-Leg Standing — left leg crossed in front of the right — head rotated slightly right,"left leg crossed in front of the right, both feet grounded, arms beside the torso; head rotated slightly right, ribcage facing forward; clear joint alignment; distinct limb separation","legs uncrossed, wide stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Crossed Legs,1,False
0008 | Pose/Standing/Crossed Legs/Crossed-Leg Standing — left leg crossed in front of the right — left shoulder slightly higher than the right,"left leg crossed in front of the right, both feet grounded, arms beside the torso; left shoulder slightly higher than the right; clear joint alignment; distinct limb separation","legs uncrossed, wide stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Crossed Legs,1,False
0009 | Pose/Standing/Crossed Legs/Crossed-Leg Standing — left leg crossed in front of the right — right shoulder slightly higher than the left,"left leg crossed in front of the right, both feet grounded, arms beside the torso; right shoulder slightly higher than the left; clear joint alignment; distinct limb separation","legs uncrossed, wide stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Crossed Legs,1,False
0010 | Pose/Standing/Crossed Legs/Crossed-Leg Standing — left leg crossed in front of the right — shoulders gently drawn back,"left leg crossed in front of the right, both feet grounded, arms beside the torso; shoulders gently drawn back, chest neutral; clear joint alignment; distinct limb separation","legs uncrossed, wide stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Crossed Legs,1,False
