name,prompt,negative_prompt,category,weight,favorite
0001 | Fantasy Character/Middle-earth/Gollum / Sméagol,"Gollum / Sméagol, small emaciated ring-corrupted hobbit, pale mottled skin, sparse lank hair, enormous luminous eyes, long thin limbs, grasping fingers, crouched spider-like posture, feral conflicted expression, unmistakable high-recognition fantasy character identity, coherent anatomy and canonical silhouette","generic fantasy substitute, wrong species, inaccurate signature features, modern clothing, incorrect hair colour, incorrect costume, missing props, duplicate limbs, malformed hands, extra fingers, wrong scale, text, watermark, low detail, blur",General,1,False
0002 | Fantasy Character/Middle-earth/Frodo Baggins,"Frodo Baggins, young hobbit ring-bearer, dark curly hair, blue-grey eyes, travel-worn cloak, simple Shire clothing, small elven brooch, resilient haunted expression, unmistakable high-recognition fantasy character identity, coherent anatomy and canonical silhouette","generic fantasy substitute, wrong species, inaccurate signature features, modern clothing, incorrect hair colour, incorrect costume, missing props, duplicate limbs, malformed hands, extra fingers, wrong scale, text, watermark, low detail, blur",General,1,False
0003 | Fantasy Character/Middle-earth/Samwise Gamgee,"Samwise Gamgee, sturdy loyal hobbit gardener, sandy-brown curls, practical cloak and waistcoat, travel pack, kind determined expression, grounded heroic presence, unmistakable high-recognition fantasy character identity, coherent anatomy and canonical silhouette","generic fantasy substitute, wrong species, inaccurate signature features, modern clothing, incorrect hair colour, incorrect costume, missing props, duplicate limbs, malformed hands, extra fingers, wrong scale, text, watermark, low detail, blur",General,1,False
0004 | Fantasy Character/Middle-earth/Bilbo Baggins,"Bilbo Baggins, older clever hobbit adventurer, curly greying hair, burgundy waistcoat, green coat, warm curious expression, refined Shire gentleman details, unmistakable high-recognition fantasy character identity, coherent anatomy and canonical silhouette","generic fantasy substitute, wrong species, inaccurate signature features, modern clothing, incorrect hair colour, incorrect costume, missing props, duplicate limbs, malformed hands, extra fingers, wrong scale, text, watermark, low detail, blur",General,1,False
0005 | Fantasy Character/Middle-earth/Gandalf the Grey,"Gandalf the Grey, elderly wandering wizard, long grey beard, weathered grey robes, tall pointed hat, wooden staff, penetrating wise eyes, commanding traveller silhouette, unmistakable high-recognition fantasy character identity, coherent anatomy and canonical silhouette","generic fantasy substitute, wrong species, inaccurate signature features, modern clothing, incorrect hair colour, incorrect costume, missing props, duplicate limbs, malformed hands, extra fingers, wrong scale, text, watermark, low detail, blur",General,1,False
0006 | Fantasy Character/Middle-earth/Aragorn,"Aragorn, weathered ranger and hidden king, shoulder-length dark hair, rugged stubble, travel-worn leather and mail, dark cloak, sword at his side, noble determined gaze, unmistakable high-recognition fantasy character identity, coherent anatomy and canonical silhouette","generic fantasy substitute, wrong species, inaccurate signature features, modern clothing, incorrect hair colour, incorrect costume, missing props, duplicate limbs, malformed hands, extra fingers, wrong scale, text, watermark, low detail, blur",General,1,False
0007 | Fantasy Character/Middle-earth/Legolas,"Legolas, elven archer prince, long pale-blonde hair, pointed ears, elegant green-grey woodland clothing, longbow and quiver, calm alert expression, unmistakable high-recognition fantasy character identity, coherent anatomy and canonical silhouette","generic fantasy substitute, wrong species, inaccurate signature features, modern clothing, incorrect hair colour, incorrect costume, missing props, duplicate limbs, malformed hands, extra fingers, wrong scale, text, watermark, low detail, blur",General,1,False
0008 | Fantasy Character/Middle-earth/Gimli,"Gimli, stocky dwarf warrior, massive braided red-brown beard, heavy mail and leather, engraved helmet, broad battle axe, fierce loyal expression, unmistakable high-recognition fantasy character identity, coherent anatomy and canonical silhouette","generic fantasy substitute, wrong species, inaccurate signature features, modern clothing, incorrect hair colour, incorrect costume, missing props, duplicate limbs, malformed hands, extra fingers, wrong scale, text, watermark, low detail, blur",General,1,False
0009 | Fantasy Character/Middle-earth/Galadriel,"Galadriel, ancient elven queen, very long silver-gold hair, luminous pale gown, serene powerful gaze, refined leaf and star motifs, ethereal royal presence, unmistakable high-recognition fantasy character identity, coherent anatomy and canonical silhouette","generic fantasy substitute, wrong species, inaccurate signature features, modern clothing, incorrect hair colour, incorrect costume, missing props, duplicate limbs, malformed hands, extra fingers, wrong scale, text, watermark, low detail, blur",General,1,False
0010 | Fantasy Character/Middle-earth/Arwen,"Arwen, elven noblewoman, long dark hair, delicate circlet, flowing deep-toned gown, graceful features, calm resolute expression, unmistakable high-recognition fantasy character identity, coherent anatomy and canonical silhouette","generic fantasy substitute, wrong species, inaccurate signature features, modern clothing, incorrect hair colour, incorrect costume, missing props, duplicate limbs, malformed hands, extra fingers, wrong scale, text, watermark, low detail, blur",General,1,False
