name,prompt,negative_prompt,category,weight,favorite
0001 | Framing/Extreme Close Up,"extreme close-up framing, precise focus on a single facial or object detail, shallow depth of field","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Framing,1.0,False
0002 | Framing/Close Up,"close-up portrait framing, face dominant in frame, intimate eye-level connection","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Framing,1.0,False
0003 | Framing/Medium Close Up,"medium close-up from chest upward, balanced facial detail and body language","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Framing,1.0,False
0004 | Framing/Medium Shot,"medium shot from waist upward, clear gesture and environmental context","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Framing,1.0,False
0005 | Framing/Three Quarter,"three-quarter body framing, full gesture readability with surrounding scene context","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Framing,1.0,False
0006 | Framing/Full Body,"full-body framing with complete feet visible, comfortable headroom, readable pose silhouette","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Framing,1.0,False
0007 | Framing/Wide Establishing,"wide establishing shot, subject integrated into a clearly readable environment, strong spatial depth","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Framing,1.0,False
0008 | Angle/Eye Level,"natural eye-level camera angle, neutral perspective, direct grounded connection","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Angle,1.0,False
0009 | Angle/Low Angle,"low camera angle looking upward, powerful subject presence, controlled perspective exaggeration","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Angle,1.0,False
0010 | Angle/High Angle,"high camera angle looking downward, clear scene geometry, delicate or vulnerable mood","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Angle,1.0,False
0011 | Angle/Birds Eye,"top-down bird’s-eye view, graphic spatial arrangement, clear shapes and object placement","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Angle,1.0,False
0012 | Angle/Worms Eye,"extreme ground-level worm’s-eye angle, dramatic scale, strong foreground perspective","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Angle,1.0,False
0013 | Angle/Dutch Tilt,"restrained Dutch tilt, deliberate visual tension, dynamic diagonal composition","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Angle,1.0,False
0014 | Angle/Over Shoulder,"over-the-shoulder camera framing, foreground shoulder anchor, clear subject interaction","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Angle,1.0,False
0015 | Angle/Profile,"clean side-profile camera angle, readable facial silhouette, controlled background separation","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Angle,1.0,False
0016 | Lens/24mm Wide,"24mm wide-angle lens look, immersive environmental perspective, mild edge expansion","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Lens,1.0,False
0017 | Lens/35mm Documentary,"35mm documentary lens perspective, natural context, intimate environmental realism","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Lens,1.0,False
0018 | Lens/50mm Natural,"50mm normal-lens perspective, natural proportions, balanced subject and background","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Lens,1.0,False
0019 | Lens/85mm Portrait,"85mm portrait-lens compression, flattering facial proportions, soft background separation","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Lens,1.0,False
0020 | Lens/135mm Compression,"135mm telephoto compression, layered background, strong subject isolation","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Lens,1.0,False
0021 | Lens/Macro,"macro lens, extremely close focusing, fine surface texture, razor-thin controlled focus plane","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Lens,1.0,False
0022 | Composition/Rule Of Thirds,"rule-of-thirds composition, subject placed on a strong intersection, balanced negative space","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Composition,1.0,False
0023 | Composition/Central Symmetry,"centered symmetrical composition, precise architectural balance, strong iconic presence","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Composition,1.0,False
0024 | Composition/Leading Lines,"strong leading lines guiding the eye toward the subject, layered perspective depth","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Composition,1.0,False
0025 | Composition/Frame Within Frame,"frame-within-a-frame composition using doors, windows, arches, or foreground elements","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, accidental crop, distorted perspective",Composition,1.0,False
