index,name,prompt,negative_prompt,category,weight,favorite
1,Female/Underwear & Lingerie/Bra and Panty Set/Balconette Bra and Brief Set,"Adult woman wearing a balconette bra and brief set, unbranded, fashionable, with realistic fabric behaviour, precise stitching, coordinated design, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra and Panty Set,1,False
2,Female/Underwear & Lingerie/Bra and Panty Set/Balconette Bra and Thong Set,"Adult woman wearing a balconette bra and thong set, unbranded, fashionable, with realistic fabric behaviour, precise stitching, coordinated design, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra and Panty Set,1,False
3,Female/Underwear & Lingerie/Bra and Panty Set/Plunge Bra and Brazilian Panty Set,"Adult woman wearing a plunge bra and brazilian panty set, unbranded, fashionable, with realistic fabric behaviour, precise stitching, coordinated design, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra and Panty Set,1,False
4,Female/Underwear & Lingerie/Bra and Panty Set/Triangle Bra and Tanga Set,"Adult woman wearing a triangle bra and tanga set, unbranded, fashionable, with realistic fabric behaviour, precise stitching, coordinated design, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra and Panty Set,1,False
5,Female/Underwear & Lingerie/Bra and Panty Set/Bralette and Hipster Set,"Adult woman wearing a bralette and hipster set, unbranded, fashionable, with realistic fabric behaviour, precise stitching, coordinated design, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra and Panty Set,1,False
6,Female/Underwear & Lingerie/Bra and Panty Set/Bralette and Cheeky Panty Set,"Adult woman wearing a bralette and cheeky panty set, unbranded, fashionable, with realistic fabric behaviour, precise stitching, coordinated design, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra and Panty Set,1,False
7,Female/Underwear & Lingerie/Bra and Panty Set/Longline Bra and High-waist Brief Set,"Adult woman wearing a longline bra and high-waist brief set, unbranded, fashionable, with realistic fabric behaviour, precise stitching, coordinated design, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra and Panty Set,1,False
8,Female/Underwear & Lingerie/Bra and Panty Set/Push-up Bra and Bikini Panty Set,"Adult woman wearing a push-up bra and bikini panty set, unbranded, fashionable, with realistic fabric behaviour, precise stitching, coordinated design, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra and Panty Set,1,False
9,Female/Underwear & Lingerie/Bra and Panty Set/Seamless Bra and Seamless Panty Set,"Adult woman wearing a seamless bra and seamless panty set, unbranded, fashionable, with realistic fabric behaviour, precise stitching, coordinated design, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra and Panty Set,1,False
10,Female/Underwear & Lingerie/Bra and Panty Set/Sports Bra and Brief Set,"Adult woman wearing a sports bra and brief set, unbranded, fashionable, with realistic fabric behaviour, precise stitching, coordinated design, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra and Panty Set,1,False
