name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Telephoto Surveillance/Distant Surveillance Camera — waist-up crop, 65mm short-portrait lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned far from the scene with a long telephoto lens, compressed perspective and observational framing; conversational camera distance; waist-up crop; 65mm short-portrait lens; symmetrical visual balance; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close camera placement, wide-angle distortion, cinematic dolly movement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Telephoto Surveillance,1,False
"0002 | Perspective/Telephoto Surveillance/Distant Surveillance Camera — head-and-shoulders crop, 28mm moderately wide lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned far from the scene with a long telephoto lens, compressed perspective and observational framing; camera close enough to retain material texture; head-and-shoulders crop; 28mm moderately wide lens; environmental elements framing the subject; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close camera placement, wide-angle distortion, cinematic dolly movement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Telephoto Surveillance,1,False
"0003 | Perspective/Telephoto Surveillance/Distant Surveillance Camera — three-quarter-length crop, 18mm ultra-wide lens with controlled distortion, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned far from the scene with a long telephoto lens, compressed perspective and observational framing; intimate portrait distance; three-quarter-length crop; 18mm ultra-wide lens with controlled distortion; foreground-to-background depth layering; deep focus across the visible environment; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close camera placement, wide-angle distortion, cinematic dolly movement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Telephoto Surveillance,1,False
"0004 | Perspective/Telephoto Surveillance/Distant Surveillance Camera — head-and-shoulders crop, 18mm ultra-wide lens with controlled distortion, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned far from the scene with a long telephoto lens, compressed perspective and observational framing; environmental portrait distance; head-and-shoulders crop; 18mm ultra-wide lens with controlled distortion; rule-of-thirds composition; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close camera placement, wide-angle distortion, cinematic dolly movement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Telephoto Surveillance,1,False
"0005 | Perspective/Telephoto Surveillance/Distant Surveillance Camera — medium crop, 105mm compressed portrait lens, strong leading lines toward the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned far from the scene with a long telephoto lens, compressed perspective and observational framing; full-figure camera distance; medium crop; 105mm compressed portrait lens; strong leading lines toward the subject; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close camera placement, wide-angle distortion, cinematic dolly movement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Telephoto Surveillance,1,False
"0006 | Perspective/Telephoto Surveillance/Distant Surveillance Camera — cinematic landscape framing, 50mm standard lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned far from the scene with a long telephoto lens, compressed perspective and observational framing; full-figure camera distance; cinematic landscape framing; 50mm standard lens; minimal uncluttered composition; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close camera placement, wide-angle distortion, cinematic dolly movement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Telephoto Surveillance,1,False
"0007 | Perspective/Telephoto Surveillance/Distant Surveillance Camera — waist-up crop, 35mm environmental lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned far from the scene with a long telephoto lens, compressed perspective and observational framing; close camera distance; waist-up crop; 35mm environmental lens; foreground-to-background depth layering; shallow depth of field with clean subject separation; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close camera placement, wide-angle distortion, cinematic dolly movement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Telephoto Surveillance,1,False
"0008 | Perspective/Telephoto Surveillance/Distant Surveillance Camera — balanced square framing, 18mm ultra-wide lens with controlled distortion, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned far from the scene with a long telephoto lens, compressed perspective and observational framing; camera far enough back to preserve spatial context; balanced square framing; 18mm ultra-wide lens with controlled distortion; centred composition; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close camera placement, wide-angle distortion, cinematic dolly movement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Telephoto Surveillance,1,False
"0009 | Perspective/Telephoto Surveillance/Distant Surveillance Camera — wide environmental framing, 18mm ultra-wide lens with controlled distortion, strong leading lines toward the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned far from the scene with a long telephoto lens, compressed perspective and observational framing; conversational camera distance; wide environmental framing; 18mm ultra-wide lens with controlled distortion; strong leading lines toward the subject; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close camera placement, wide-angle distortion, cinematic dolly movement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Telephoto Surveillance,1,False
"0010 | Perspective/Telephoto Surveillance/Distant Surveillance Camera — head-and-shoulders crop, 18mm ultra-wide lens with controlled distortion, clean negative space around the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned far from the scene with a long telephoto lens, compressed perspective and observational framing; wide scene distance; head-and-shoulders crop; 18mm ultra-wide lens with controlled distortion; clean negative space around the subject; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close camera placement, wide-angle distortion, cinematic dolly movement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Telephoto Surveillance,1,False
