index,name,prompt,negative_prompt,category,weight,favorite
1,H3 Safe/Female/Swimwear/One-piece Swimsuit,"Adult woman wearing one-piece swimsuit, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
2,H3 Safe/Female/Swimwear/High-waist Bikini Set,"Adult woman wearing high-waist bikini set, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
3,H3 Safe/Female/Swimwear/Sport Bikini Set,"Adult woman wearing sport bikini set, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
4,H3 Safe/Female/Swimwear/Rash-guard Set,"Adult woman wearing rash-guard set, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
5,H3 Safe/Female/Swimwear/Tankini Set,"Adult woman wearing tankini set, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
6,H3 Safe/Female/Swimwear/Long-sleeve One-piece,"Adult woman wearing long-sleeve one-piece, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
7,H3 Safe/Female/Swimwear/Balconette Bikini Set,"Adult woman wearing balconette bikini set, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
8,H3 Safe/Female/Swimwear/Triangle Bikini Set,"Adult woman wearing triangle bikini set, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
9,H3 Safe/Female/Swimwear/Swim Dress,"Adult woman wearing swim dress, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
10,H3 Safe/Female/Swimwear/Surf Suit,"Adult woman wearing surf suit, clean fashionable styling, unbranded construction, realistic fabric behaviour, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Swimwear,1,False
