index,name,prompt,negative_prompt,category,weight,favorite
1,Clean Editorial Full-Length,"polished fashion editorial, clean head-to-toe composition, controlled pose, readable garment silhouette","distorted anatomy, duplicate limbs, warped hands, cropped face, cut-off feet, soft subject, text, logo, watermark, cropped shoes, hidden hands",Fashion Editorial,1.10,true
2,Editorial Three-Quarter Turn,"editorial three-quarter body angle, shoulders turned, face readable, garment lines clearly separated","distorted anatomy, duplicate limbs, warped hands, cropped face, cut-off feet, soft subject, text, logo, watermark",Fashion Editorial,1.00,false
3,Seated Fashion Geometry,"seated editorial pose with deliberate geometric limbs, visible hands and footwear, clean negative space","distorted anatomy, duplicate limbs, warped hands, cropped face, cut-off feet, soft subject, text, logo, watermark",Fashion Editorial,1.00,false
4,Walking Editorial Moment,"fashion editorial walking frame, natural mid-step motion, face sharp, outfit fully readable","distorted anatomy, duplicate limbs, warped hands, cropped face, cut-off feet, soft subject, text, logo, watermark",Fashion Editorial,1.00,false
5,Editorial Profile Frame,"refined side-profile editorial composition, long body line, crisp facial contour, uncluttered background","distorted anatomy, duplicate limbs, warped hands, cropped face, cut-off feet, soft subject, text, logo, watermark",Fashion Editorial,1.00,false
6,Wide Establishing Character Shot,"cinematic wide establishing frame, subject anchored in environment, strong spatial depth, coherent scale","distorted anatomy, duplicate limbs, warped hands, cropped face, cut-off feet, soft subject, text, logo, watermark",Cinematic Angles,1.00,false
7,Medium Cinematic Push-In,"cinematic medium framing, subtle forward camera energy, steady face focus, layered foreground and background","distorted anatomy, duplicate limbs, warped hands, cropped face, cut-off feet, soft subject, text, logo, watermark",Cinematic Angles,1.00,false
8,Dutch Tension Angle,"restrained dutch angle, cinematic tension, subject remains upright and anatomically coherent","distorted anatomy, duplicate limbs, warped hands, cropped face, cut-off feet, soft subject, text, logo, watermark, extreme rotation, disorientation",Cinematic Angles,1.00,false
9,Over-Shoulder Reveal,"over-the-shoulder cinematic reveal, foreground shoulder soft, main face sharp and unobstructed","distorted anatomy, duplicate limbs, warped hands, cropped face, cut-off feet, soft subject, text, logo, watermark",Cinematic Angles,1.00,false
10,Backlit Silhouette Reveal,"backlit cinematic angle with readable facial rim and body outline, preserved clothing detail","distorted anatomy, duplicate limbs, warped hands, cropped face, cut-off feet, soft subject, text, logo, watermark, featureless face, crushed shadows",Cinematic Angles,1.00,false
