index,name,prompt,negative_prompt,category,weight,favorite
1,Female/Underwear & Lingerie/Coverage/Full Coverage,"Use full coverage for the coverage and cut of the underwear or lingerie, keeping the garment unbranded, fashionable, and clearly structured.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Coverage,1,False
2,Female/Underwear & Lingerie/Coverage/Moderate Coverage,"Use moderate coverage for the coverage and cut of the underwear or lingerie, keeping the garment unbranded, fashionable, and clearly structured.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Coverage,1,False
3,Female/Underwear & Lingerie/Coverage/Mid Coverage,"Use mid coverage for the coverage and cut of the underwear or lingerie, keeping the garment unbranded, fashionable, and clearly structured.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Coverage,1,False
4,Female/Underwear & Lingerie/Coverage/Minimal Coverage,"Use minimal coverage for the coverage and cut of the underwear or lingerie, keeping the garment unbranded, fashionable, and clearly structured.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Coverage,1,False
5,Female/Underwear & Lingerie/Coverage/High-waist Coverage,"Use high-waist coverage for the coverage and cut of the underwear or lingerie, keeping the garment unbranded, fashionable, and clearly structured.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Coverage,1,False
6,Female/Underwear & Lingerie/Coverage/High-leg Cut,"Use high-leg cut for the coverage and cut of the underwear or lingerie, keeping the garment unbranded, fashionable, and clearly structured.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Coverage,1,False
7,Female/Underwear & Lingerie/Coverage/Low-rise Cut,"Use low-rise cut for the coverage and cut of the underwear or lingerie, keeping the garment unbranded, fashionable, and clearly structured.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Coverage,1,False
8,Female/Underwear & Lingerie/Coverage/Mid-rise Cut,"Use mid-rise cut for the coverage and cut of the underwear or lingerie, keeping the garment unbranded, fashionable, and clearly structured.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Coverage,1,False
9,Female/Underwear & Lingerie/Coverage/Cheeky Back Coverage,"Use cheeky back coverage for the coverage and cut of the underwear or lingerie, keeping the garment unbranded, fashionable, and clearly structured.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Coverage,1,False
10,Female/Underwear & Lingerie/Coverage/Brazilian Back Coverage,"Use brazilian back coverage for the coverage and cut of the underwear or lingerie, keeping the garment unbranded, fashionable, and clearly structured.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Coverage,1,False
11,Female/Underwear & Lingerie/Coverage/Thong Back Coverage,"Use thong back coverage for the coverage and cut of the underwear or lingerie, keeping the garment unbranded, fashionable, and clearly structured.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Coverage,1,False
12,Female/Underwear & Lingerie/Coverage/Micro Coverage,"Use micro coverage for the coverage and cut of the underwear or lingerie, keeping the garment unbranded, fashionable, and clearly structured.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Coverage,1,False
13,Female/Underwear & Lingerie/Coverage/Supportive Fuller-bust Coverage,"Use supportive fuller-bust coverage for the coverage and cut of the underwear or lingerie, keeping the garment unbranded, fashionable, and clearly structured.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Coverage,1,False
14,Female/Underwear & Lingerie/Coverage/Light-control Coverage,"Use light-control coverage for the coverage and cut of the underwear or lingerie, keeping the garment unbranded, fashionable, and clearly structured.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Coverage,1,False
15,Female/Underwear & Lingerie/Coverage/Sculpting Coverage,"Use sculpting coverage for the coverage and cut of the underwear or lingerie, keeping the garment unbranded, fashionable, and clearly structured.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Coverage,1,False
