name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Seated Rear View/Seated Rear View — full-body framing, camera slightly below eye level, 24mm wide-angle perspective with controlled distortion","camera positioned behind a seated primary subject, back and shoulder line facing camera, head directed forward away from viewer, chair and seated posture clearly readable, face hidden, camera slightly below eye level, camera at intimate portrait distance, full-body framing, 24mm wide-angle perspective with controlled distortion, slightly off-centre editorial composition, focus prioritising the face when visible, clear camera-to-subject relationship, coherent spatial orientation","standing pose, front view, visible face, eye contact, turned head, missing chair, impossible seated anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Seated Rear View,1,False
"0002 | Perspective/Seated Rear View/Seated Rear View — wide environmental framing, camera at shoulder height, 24mm wide-angle perspective with controlled distortion","camera positioned behind a seated primary subject, back and shoulder line facing camera, head directed forward away from viewer, chair and seated posture clearly readable, face hidden, camera at shoulder height, camera far enough back to preserve the full silhouette, wide environmental framing, 24mm wide-angle perspective with controlled distortion, slightly off-centre editorial composition, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","standing pose, front view, visible face, eye contact, turned head, missing chair, impossible seated anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Seated Rear View,1,False
"0003 | Perspective/Seated Rear View/Seated Rear View — head-and-shoulders framing, camera at shoulder height, 28mm moderately wide perspective","camera positioned behind a seated primary subject, back and shoulder line facing camera, head directed forward away from viewer, chair and seated posture clearly readable, face hidden, camera at shoulder height, camera positioned to include the surrounding environment, head-and-shoulders framing, 28mm moderately wide perspective, clean negative space around the subject, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","standing pose, front view, visible face, eye contact, turned head, missing chair, impossible seated anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Seated Rear View,1,False
"0004 | Perspective/Seated Rear View/Seated Rear View — waist-up framing, camera aligned with the subject upper back, 105mm compressed portrait perspective","camera positioned behind a seated primary subject, back and shoulder line facing camera, head directed forward away from viewer, chair and seated posture clearly readable, face hidden, camera aligned with the subject upper back, camera at natural observational distance, waist-up framing, 105mm compressed portrait perspective, strong leading lines directing attention to the subject, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","standing pose, front view, visible face, eye contact, turned head, missing chair, impossible seated anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Seated Rear View,1,False
"0005 | Perspective/Seated Rear View/Seated Rear View — medium portrait framing, camera elevated above the subject, 85mm portrait perspective","camera positioned behind a seated primary subject, back and shoulder line facing camera, head directed forward away from viewer, chair and seated posture clearly readable, face hidden, camera elevated above the subject, camera far enough back to preserve the full silhouette, medium portrait framing, 85mm portrait perspective, centred composition, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","standing pose, front view, visible face, eye contact, turned head, missing chair, impossible seated anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Seated Rear View,1,False
"0006 | Perspective/Seated Rear View/Seated Rear View — head-and-shoulders framing, camera slightly below eye level, 135mm long-lens perspective","camera positioned behind a seated primary subject, back and shoulder line facing camera, head directed forward away from viewer, chair and seated posture clearly readable, face hidden, camera slightly below eye level, camera close enough to prioritise garment texture, head-and-shoulders framing, 135mm long-lens perspective, asymmetrical cinematic balance, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","standing pose, front view, visible face, eye contact, turned head, missing chair, impossible seated anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Seated Rear View,1,False
"0007 | Perspective/Seated Rear View/Seated Rear View — tight portrait framing, camera at waist height, 135mm long-lens perspective","camera positioned behind a seated primary subject, back and shoulder line facing camera, head directed forward away from viewer, chair and seated posture clearly readable, face hidden, camera at waist height, camera at intimate portrait distance, tight portrait framing, 135mm long-lens perspective, environment framing the subject naturally, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","standing pose, front view, visible face, eye contact, turned head, missing chair, impossible seated anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Seated Rear View,1,False
"0008 | Perspective/Seated Rear View/Seated Rear View — balanced square-format framing, camera aligned with the subject upper back, 28mm moderately wide perspective","camera positioned behind a seated primary subject, back and shoulder line facing camera, head directed forward away from viewer, chair and seated posture clearly readable, face hidden, camera aligned with the subject upper back, camera at intimate portrait distance, balanced square-format framing, 28mm moderately wide perspective, centred composition, focus prioritising the face when visible, clear camera-to-subject relationship, coherent spatial orientation","standing pose, front view, visible face, eye contact, turned head, missing chair, impossible seated anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Seated Rear View,1,False
"0009 | Perspective/Seated Rear View/Seated Rear View — three-quarter body framing, camera slightly above eye level, 28mm moderately wide perspective","camera positioned behind a seated primary subject, back and shoulder line facing camera, head directed forward away from viewer, chair and seated posture clearly readable, face hidden, camera slightly above eye level, camera at intimate portrait distance, three-quarter body framing, 28mm moderately wide perspective, clean negative space around the subject, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","standing pose, front view, visible face, eye contact, turned head, missing chair, impossible seated anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Seated Rear View,1,False
"0010 | Perspective/Seated Rear View/Seated Rear View — balanced square-format framing, camera aligned with the subject upper back, 70mm short-telephoto perspective","camera positioned behind a seated primary subject, back and shoulder line facing camera, head directed forward away from viewer, chair and seated posture clearly readable, face hidden, camera aligned with the subject upper back, camera close enough to prioritise garment texture, balanced square-format framing, 70mm short-telephoto perspective, rule-of-thirds placement, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","standing pose, front view, visible face, eye contact, turned head, missing chair, impossible seated anatomy, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Seated Rear View,1,False
