name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Extreme Wide Establishing/Extreme Wide Establishing Camera — head-and-shoulders crop, 50mm standard lens, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned very far from the primary subject to prioritise complete environment, geography and scale; moderate camera distance; head-and-shoulders crop; 50mm standard lens; centred composition; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close portrait, cropped surroundings, subject enlarged unnaturally, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Wide Establishing,1,False
"0002 | Perspective/Extreme Wide Establishing/Extreme Wide Establishing Camera — balanced square framing, 50mm standard lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned very far from the primary subject to prioritise complete environment, geography and scale; conversational camera distance; balanced square framing; 50mm standard lens; symmetrical visual balance; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close portrait, cropped surroundings, subject enlarged unnaturally, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Wide Establishing,1,False
"0003 | Perspective/Extreme Wide Establishing/Extreme Wide Establishing Camera — waist-up crop, 135mm telephoto lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned very far from the primary subject to prioritise complete environment, geography and scale; conversational camera distance; waist-up crop; 135mm telephoto lens; minimal uncluttered composition; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close portrait, cropped surroundings, subject enlarged unnaturally, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Wide Establishing,1,False
"0004 | Perspective/Extreme Wide Establishing/Extreme Wide Establishing Camera — cinematic landscape framing, 40mm natural-perspective lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned very far from the primary subject to prioritise complete environment, geography and scale; intimate portrait distance; cinematic landscape framing; 40mm natural-perspective lens; minimal uncluttered composition; shallow depth of field with clean subject separation; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close portrait, cropped surroundings, subject enlarged unnaturally, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Wide Establishing,1,False
"0005 | Perspective/Extreme Wide Establishing/Extreme Wide Establishing Camera — full-figure framing, 65mm short-portrait lens, slightly off-centre editorial composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned very far from the primary subject to prioritise complete environment, geography and scale; intimate portrait distance; full-figure framing; 65mm short-portrait lens; slightly off-centre editorial composition; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close portrait, cropped surroundings, subject enlarged unnaturally, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Wide Establishing,1,False
"0006 | Perspective/Extreme Wide Establishing/Extreme Wide Establishing Camera — medium crop, 85mm portrait lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned very far from the primary subject to prioritise complete environment, geography and scale; close camera distance; medium crop; 85mm portrait lens; minimal uncluttered composition; shallow depth of field with clean subject separation; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close portrait, cropped surroundings, subject enlarged unnaturally, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Wide Establishing,1,False
"0007 | Perspective/Extreme Wide Establishing/Extreme Wide Establishing Camera — cinematic landscape framing, 18mm ultra-wide lens with controlled distortion, slightly off-centre editorial composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned very far from the primary subject to prioritise complete environment, geography and scale; camera distance balanced between subject and environment; cinematic landscape framing; 18mm ultra-wide lens with controlled distortion; slightly off-centre editorial composition; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close portrait, cropped surroundings, subject enlarged unnaturally, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Wide Establishing,1,False
"0008 | Perspective/Extreme Wide Establishing/Extreme Wide Establishing Camera — tight crop, 35mm environmental lens, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned very far from the primary subject to prioritise complete environment, geography and scale; camera distance balanced between subject and environment; tight crop; 35mm environmental lens; asymmetrical cinematic balance; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close portrait, cropped surroundings, subject enlarged unnaturally, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Wide Establishing,1,False
"0009 | Perspective/Extreme Wide Establishing/Extreme Wide Establishing Camera — vertical editorial framing, 65mm short-portrait lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned very far from the primary subject to prioritise complete environment, geography and scale; full-figure camera distance; vertical editorial framing; 65mm short-portrait lens; symmetrical visual balance; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close portrait, cropped surroundings, subject enlarged unnaturally, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Wide Establishing,1,False
"0010 | Perspective/Extreme Wide Establishing/Extreme Wide Establishing Camera — medium crop, 85mm portrait lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned very far from the primary subject to prioritise complete environment, geography and scale; full-figure camera distance; medium crop; 85mm portrait lens; symmetrical visual balance; deep focus across the visible environment; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","close portrait, cropped surroundings, subject enlarged unnaturally, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Wide Establishing,1,False
