name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Wide Establishing View/Wide Establishing View — cinematic landscape framing, camera at eye level, 40mm natural perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera at eye level, camera far enough back to preserve the full silhouette, cinematic landscape framing, 40mm natural perspective, centred composition, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0002 | Perspective/Wide Establishing View/Wide Establishing View — head-and-shoulders framing, camera at knee height, 50mm standard lens perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera at knee height, camera close enough to prioritise garment texture, head-and-shoulders framing, 50mm standard lens perspective, foreground-to-background depth layering, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0003 | Perspective/Wide Establishing View/Wide Establishing View — medium portrait framing, camera slightly below eye level, 24mm wide-angle perspective with controlled distortion","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera slightly below eye level, camera positioned to include the surrounding environment, medium portrait framing, 24mm wide-angle perspective with controlled distortion, minimal uncluttered composition, focus centred on clothing and body orientation, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0004 | Perspective/Wide Establishing View/Wide Establishing View — three-quarter body framing, camera slightly below eye level, 28mm moderately wide perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera slightly below eye level, camera positioned to include the surrounding environment, three-quarter body framing, 28mm moderately wide perspective, centred composition, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0005 | Perspective/Wide Establishing View/Wide Establishing View — head-and-shoulders framing, camera at chest height, 70mm short-telephoto perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera at chest height, camera at conversational distance, head-and-shoulders framing, 70mm short-telephoto perspective, minimal uncluttered composition, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0006 | Perspective/Wide Establishing View/Wide Establishing View — head-and-shoulders framing, camera at eye level, 28mm moderately wide perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera at eye level, camera at conversational distance, head-and-shoulders framing, 28mm moderately wide perspective, centred composition, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0007 | Perspective/Wide Establishing View/Wide Establishing View — head-and-shoulders framing, camera slightly above eye level, 40mm natural perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera slightly above eye level, camera at conversational distance, head-and-shoulders framing, 40mm natural perspective, slightly off-centre editorial composition, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0008 | Perspective/Wide Establishing View/Wide Establishing View — three-quarter body framing, camera at waist height, 105mm compressed portrait perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera at waist height, camera close enough to prioritise garment texture, three-quarter body framing, 105mm compressed portrait perspective, clean negative space around the subject, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0009 | Perspective/Wide Establishing View/Wide Establishing View — cinematic landscape framing, camera at eye level, 50mm standard lens perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera at eye level, camera positioned to include the surrounding environment, cinematic landscape framing, 50mm standard lens perspective, environment framing the subject naturally, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0010 | Perspective/Wide Establishing View/Wide Establishing View — full-body framing, camera aligned with the subject upper back, 85mm portrait perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera aligned with the subject upper back, camera at intimate portrait distance, full-body framing, 85mm portrait perspective, minimal uncluttered composition, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0011 | Perspective/Wide Establishing View/Wide Establishing View — three-quarter body framing, camera at waist height, 135mm long-lens perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera at waist height, camera at intimate portrait distance, three-quarter body framing, 135mm long-lens perspective, minimal uncluttered composition, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0012 | Perspective/Wide Establishing View/Wide Establishing View — full-body framing, camera at waist height, 35mm lens perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera at waist height, camera several metres from the subject, full-body framing, 35mm lens perspective, symmetrical visual balance, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0013 | Perspective/Wide Establishing View/Wide Establishing View — tight portrait framing, camera at eye level, 135mm long-lens perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera at eye level, camera close to the subject, tight portrait framing, 135mm long-lens perspective, slightly off-centre editorial composition, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0014 | Perspective/Wide Establishing View/Wide Establishing View — waist-up framing, camera aligned with the subject upper back, 28mm moderately wide perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera aligned with the subject upper back, camera at natural observational distance, waist-up framing, 28mm moderately wide perspective, symmetrical visual balance, focus prioritising the face when visible, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0015 | Perspective/Wide Establishing View/Wide Establishing View — cinematic landscape framing, camera close to ground level, 40mm natural perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera close to ground level, camera at moderate environmental distance, cinematic landscape framing, 40mm natural perspective, environment framing the subject naturally, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0016 | Perspective/Wide Establishing View/Wide Establishing View — waist-up framing, camera at eye level, 135mm long-lens perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera at eye level, camera close enough to prioritise garment texture, waist-up framing, 135mm long-lens perspective, clean negative space around the subject, focus prioritising the back silhouette and shoulder line, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0017 | Perspective/Wide Establishing View/Wide Establishing View — cinematic landscape framing, camera at eye level, 85mm portrait perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera at eye level, camera at natural observational distance, cinematic landscape framing, 85mm portrait perspective, symmetrical visual balance, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0018 | Perspective/Wide Establishing View/Wide Establishing View — vertical editorial framing, camera at waist height, 40mm natural perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera at waist height, camera at intimate portrait distance, vertical editorial framing, 40mm natural perspective, strong leading lines directing attention to the subject, clean edge separation around the subject, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0019 | Perspective/Wide Establishing View/Wide Establishing View — medium portrait framing, camera close to ground level, 70mm short-telephoto perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera close to ground level, camera positioned to include the surrounding environment, medium portrait framing, 70mm short-telephoto perspective, symmetrical visual balance, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0020 | Perspective/Wide Establishing View/Wide Establishing View — waist-up framing, camera at shoulder height, 105mm compressed portrait perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera at shoulder height, camera positioned to include foreground depth, waist-up framing, 105mm compressed portrait perspective, symmetrical visual balance, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0021 | Perspective/Wide Establishing View/Wide Establishing View — waist-up framing, camera slightly above eye level, 135mm long-lens perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera slightly above eye level, camera positioned to include foreground depth, waist-up framing, 135mm long-lens perspective, foreground-to-background depth layering, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0022 | Perspective/Wide Establishing View/Wide Establishing View — full-body framing, camera at waist height, 70mm short-telephoto perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera at waist height, camera positioned to include foreground depth, full-body framing, 70mm short-telephoto perspective, asymmetrical cinematic balance, clean edge separation around the subject, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0023 | Perspective/Wide Establishing View/Wide Establishing View — waist-up framing, camera slightly above eye level, 105mm compressed portrait perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera slightly above eye level, camera close enough to prioritise garment texture, waist-up framing, 105mm compressed portrait perspective, rule-of-thirds placement, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0024 | Perspective/Wide Establishing View/Wide Establishing View — wide environmental framing, camera elevated above the subject, 135mm long-lens perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera elevated above the subject, camera at natural observational distance, wide environmental framing, 135mm long-lens perspective, strong leading lines directing attention to the subject, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0025 | Perspective/Wide Establishing View/Wide Establishing View — full-body framing, camera at chest height, 105mm compressed portrait perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera at chest height, camera close enough to prioritise garment texture, full-body framing, 105mm compressed portrait perspective, rule-of-thirds placement, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0026 | Perspective/Wide Establishing View/Wide Establishing View — vertical editorial framing, camera slightly above eye level, 65mm portrait perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera slightly above eye level, camera far enough back to preserve the full silhouette, vertical editorial framing, 65mm portrait perspective, foreground-to-background depth layering, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0027 | Perspective/Wide Establishing View/Wide Establishing View — tight portrait framing, camera elevated above the subject, 28mm moderately wide perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera elevated above the subject, camera at conversational distance, tight portrait framing, 28mm moderately wide perspective, asymmetrical cinematic balance, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0028 | Perspective/Wide Establishing View/Wide Establishing View — cinematic landscape framing, camera elevated above the subject, 40mm natural perspective","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera elevated above the subject, camera close enough to prioritise garment texture, cinematic landscape framing, 40mm natural perspective, slightly off-centre editorial composition, clean edge separation around the subject, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
"0029 | Perspective/Wide Establishing View/Wide Establishing View — vertical editorial framing, camera close to ground level, 24mm wide-angle perspective with controlled distortion","camera placed far enough from the scene to establish geography, architecture and environment before the subject, primary subject kept readable but smaller within a broad spatial composition, camera close to ground level, camera at intimate portrait distance, vertical editorial framing, 24mm wide-angle perspective with controlled distortion, environment framing the subject naturally, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","extreme close-up, cropped environment, giant subject filling frame, unclear location, flattened depth, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Wide Establishing View,1,False
