name,prompt,negative_prompt,category,weight,favorite
0001 | Sportswear/Nike - Tech Fleece Hoodie + Tech Joggers And Air Max,"Nike Tech Fleece full-zip hoodie with bonded seams and clean Swoosh placement, matching tapered Tech Fleece joggers, white Air Max 90 sneakers, compact crossbody bag, balanced layering, visible fabric weight, authentic hardware, accurate logo scale and placement","misspelled branding, counterfeit logo, warped lettering, duplicated accessories, merged garments, incorrect seams, broken zippers, malformed footwear, inconsistent materials, random outfit changes, low detail, blur, watermark",Sportswear,1.0,False
0002 | Sportswear/Nike - Tech Fleece Hoodie + Cargo Pants And Dunk Low,"Nike Tech Fleece full-zip hoodie with bonded seams and clean Swoosh placement, black woven cargo trousers, Nike Dunk Low sneakers, ribbed socks, structured cap, clean garment separation, realistic seam construction, faithful brand proportions, premium material texture","misspelled branding, counterfeit logo, warped lettering, duplicated accessories, merged garments, incorrect seams, broken zippers, malformed footwear, inconsistent materials, random outfit changes, low detail, blur, watermark",Sportswear,1.0,False
0003 | Sportswear/Nike - Tech Fleece Hoodie + Cycling Shorts And Air Force 1,"Nike Tech Fleece full-zip hoodie with bonded seams and clean Swoosh placement, high-rise cycling shorts, white Air Force 1 sneakers, lightweight waist bag, coordinated colour balance, believable folds, accurate fasteners, branding kept crisp and correctly positioned","misspelled branding, counterfeit logo, warped lettering, duplicated accessories, merged garments, incorrect seams, broken zippers, malformed footwear, inconsistent materials, random outfit changes, low detail, blur, watermark",Sportswear,1.0,False
0004 | Sportswear/Nike - Tech Fleece Hoodie + Track Pants And Cortez,"Nike Tech Fleece full-zip hoodie with bonded seams and clean Swoosh placement, straight-leg track pants, classic Cortez sneakers, simple crew socks, refined fit through shoulders and waist, natural fabric drape, consistent brand detailing, polished accessories","misspelled branding, counterfeit logo, warped lettering, duplicated accessories, merged garments, incorrect seams, broken zippers, malformed footwear, inconsistent materials, random outfit changes, low detail, blur, watermark",Sportswear,1.0,False
0005 | Sportswear/Nike - Tech Fleece Hoodie + Performance Leggings And Pegasus,"Nike Tech Fleece full-zip hoodie with bonded seams and clean Swoosh placement, supportive performance leggings, Pegasus running shoes, minimal zip pouch, carefully matched textures, realistic stitching, correct sole shapes, precise monograms and emblems","misspelled branding, counterfeit logo, warped lettering, duplicated accessories, merged garments, incorrect seams, broken zippers, malformed footwear, inconsistent materials, random outfit changes, low detail, blur, watermark",Sportswear,1.0,False
0006 | Sportswear/Nike - ACG Shell + Tech Joggers And Air Max,"Nike ACG weatherproof shell with articulated panels, taped seams, and utility pockets, matching tapered Tech Fleece joggers, white Air Max 90 sneakers, compact crossbody bag, balanced layering, visible fabric weight, authentic hardware, accurate logo scale and placement","misspelled branding, counterfeit logo, warped lettering, duplicated accessories, merged garments, incorrect seams, broken zippers, malformed footwear, inconsistent materials, random outfit changes, low detail, blur, watermark",Sportswear,1.0,False
0007 | Sportswear/Nike - ACG Shell + Cargo Pants And Dunk Low,"Nike ACG weatherproof shell with articulated panels, taped seams, and utility pockets, black woven cargo trousers, Nike Dunk Low sneakers, ribbed socks, structured cap, clean garment separation, realistic seam construction, faithful brand proportions, premium material texture","misspelled branding, counterfeit logo, warped lettering, duplicated accessories, merged garments, incorrect seams, broken zippers, malformed footwear, inconsistent materials, random outfit changes, low detail, blur, watermark",Sportswear,1.0,False
0008 | Sportswear/Nike - ACG Shell + Cycling Shorts And Air Force 1,"Nike ACG weatherproof shell with articulated panels, taped seams, and utility pockets, high-rise cycling shorts, white Air Force 1 sneakers, lightweight waist bag, coordinated colour balance, believable folds, accurate fasteners, branding kept crisp and correctly positioned","misspelled branding, counterfeit logo, warped lettering, duplicated accessories, merged garments, incorrect seams, broken zippers, malformed footwear, inconsistent materials, random outfit changes, low detail, blur, watermark",Sportswear,1.0,False
0009 | Sportswear/Nike - ACG Shell + Track Pants And Cortez,"Nike ACG weatherproof shell with articulated panels, taped seams, and utility pockets, straight-leg track pants, classic Cortez sneakers, simple crew socks, refined fit through shoulders and waist, natural fabric drape, consistent brand detailing, polished accessories","misspelled branding, counterfeit logo, warped lettering, duplicated accessories, merged garments, incorrect seams, broken zippers, malformed footwear, inconsistent materials, random outfit changes, low detail, blur, watermark",Sportswear,1.0,False
0010 | Sportswear/Nike - ACG Shell + Performance Leggings And Pegasus,"Nike ACG weatherproof shell with articulated panels, taped seams, and utility pockets, supportive performance leggings, Pegasus running shoes, minimal zip pouch, carefully matched textures, realistic stitching, correct sole shapes, precise monograms and emblems","misspelled branding, counterfeit logo, warped lettering, duplicated accessories, merged garments, incorrect seams, broken zippers, malformed footwear, inconsistent materials, random outfit changes, low detail, blur, watermark",Sportswear,1.0,False
