name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Orthographic Right/Orthographic Right Camera — vertical editorial framing, 24mm wide-angle lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic right-side projection with minimal perspective distortion; full-figure camera distance; vertical editorial framing; 24mm wide-angle lens; foreground-to-background depth layering; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","left orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Right,1,False
"0002 | Perspective/Orthographic Right/Orthographic Right Camera — wide environmental framing, 85mm portrait lens, clean negative space around the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic right-side projection with minimal perspective distortion; camera far enough back to preserve spatial context; wide environmental framing; 85mm portrait lens; clean negative space around the subject; clean edge separation around the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","left orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Right,1,False
"0003 | Perspective/Orthographic Right/Orthographic Right Camera — waist-up crop, 35mm environmental lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic right-side projection with minimal perspective distortion; environmental portrait distance; waist-up crop; 35mm environmental lens; symmetrical visual balance; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","left orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Right,1,False
"0004 | Perspective/Orthographic Right/Orthographic Right Camera — vertical editorial framing, 18mm ultra-wide lens with controlled distortion, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic right-side projection with minimal perspective distortion; intimate portrait distance; vertical editorial framing; 18mm ultra-wide lens with controlled distortion; centred composition; deep focus across the visible environment; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","left orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Right,1,False
"0005 | Perspective/Orthographic Right/Orthographic Right Camera — waist-up crop, 40mm natural-perspective lens, clean negative space around the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic right-side projection with minimal perspective distortion; moderate camera distance; waist-up crop; 40mm natural-perspective lens; clean negative space around the subject; clean edge separation around the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","left orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Right,1,False
"0006 | Perspective/Orthographic Right/Orthographic Right Camera — cinematic landscape framing, 28mm moderately wide lens, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic right-side projection with minimal perspective distortion; conversational camera distance; cinematic landscape framing; 28mm moderately wide lens; centred composition; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","left orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Right,1,False
"0007 | Perspective/Orthographic Right/Orthographic Right Camera — balanced square framing, 85mm portrait lens, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic right-side projection with minimal perspective distortion; camera close enough to retain material texture; balanced square framing; 85mm portrait lens; asymmetrical cinematic balance; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","left orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Right,1,False
"0008 | Perspective/Orthographic Right/Orthographic Right Camera — wide environmental framing, 28mm moderately wide lens, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic right-side projection with minimal perspective distortion; full-figure camera distance; wide environmental framing; 28mm moderately wide lens; rule-of-thirds composition; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","left orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Right,1,False
"0009 | Perspective/Orthographic Right/Orthographic Right Camera — waist-up crop, 28mm moderately wide lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic right-side projection with minimal perspective distortion; environmental portrait distance; waist-up crop; 28mm moderately wide lens; minimal uncluttered composition; deep focus across the visible environment; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","left orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Right,1,False
"0010 | Perspective/Orthographic Right/Orthographic Right Camera — wide environmental framing, 40mm natural-perspective lens, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic right-side projection with minimal perspective distortion; environmental portrait distance; wide environmental framing; 40mm natural-perspective lens; asymmetrical cinematic balance; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","left orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Right,1,False
