name,prompt,negative_prompt,category,weight,favorite
0001 | Atmosphere/Volumetric Haze,subtle volumetric haze revealing light direction and creating layered atmospheric depth,"low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Atmosphere,1.0,False
0002 | Atmosphere/Ground Fog,"low ground fog wrapping naturally around feet and objects, preserving readable silhouettes","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Atmosphere,1.0,False
0003 | Atmosphere/Dust Motifs,"fine suspended dust particles visible in light beams, subtle cinematic texture","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Atmosphere,1.0,False
0004 | Weather/Gentle Rain,"gentle rain with fine droplets, wet reflective surfaces, realistic fabric response","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Weather,1.0,False
0005 | Weather/Heavy Storm,"heavy wind-driven rain, turbulent clouds, strong environmental motion, dramatic visibility","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Weather,1.0,False
0006 | Weather/Snowfall,"layered natural snowfall, varied flake sizes, soft accumulation, cold atmospheric depth","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Weather,1.0,False
0007 | Weather/Wind,"visible wind through hair, fabric, leaves and dust, coherent single direction of motion","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Weather,1.0,False
0008 | Light/Lens Flare,"restrained physically plausible lens flare from a bright source, subtle optical character","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Light,1.0,False
0009 | Light/Bloom,"soft controlled bloom around the brightest highlights, preserving contrast and fine detail","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Light,1.0,False
0010 | Light/Light Leaks,"tasteful analog light leaks at frame edges, warm filmic color, no obstruction of subject","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Light,1.0,False
0011 | Particles/Embers,"glowing embers drifting through the air, varied depth and focus, warm local light","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Particles,1.0,False
0012 | Particles/Sparks,"brief directional sparks, realistic motion trails, localized bright highlights","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Particles,1.0,False
0013 | Particles/Magic Dust,"fine magical particles with coherent flow, subtle glow, layered depth, restrained density","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Particles,1.0,False
0014 | Particles/Petals,"flower petals carried by wind, varied rotation and distance, graceful motion through frame","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Particles,1.0,False
0015 | Particles/Leaves,"autumn leaves moving through the air, coherent wind direction, natural depth variation","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Particles,1.0,False
0016 | Optical/Prism Refraction,"subtle prism refraction creating controlled spectral highlights, elegant photographic effect","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Optical,1.0,False
0017 | Optical/Chromatic Aberration,"very subtle edge chromatic aberration, analog lens character without loss of clarity","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Optical,1.0,False
0018 | Optical/Film Grain,"fine organic film grain with natural luminance variation, preserving facial and texture detail","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Optical,1.0,False
0019 | Optical/Halation,"soft red-orange film halation around intense highlights, restrained analog response","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Optical,1.0,False
0020 | Motion/Directional Blur,controlled directional motion blur in moving elements while keeping the focal subject sharp,"low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Motion,1.0,False
0021 | Motion/Long Exposure,long-exposure light trails and environmental motion with a clearly stable focal subject,"low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Motion,1.0,False
0022 | Motion/Frozen Action,"high-shutter-speed frozen particles and fabric motion, crisp decisive action detail","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Motion,1.0,False
0023 | Fantasy/Aura,"subtle luminous aura following the subject silhouette, coherent color and soft falloff","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Fantasy,1.0,False
0024 | Fantasy/Runes,floating arcane runes arranged with clear perspective and coherent magical illumination,"low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Fantasy,1.0,False
0025 | Fantasy/Energy Ribbons,flowing energy ribbons wrapping through the scene with elegant motion and believable light interaction,"low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Fantasy,1.0,False
0026 | Sci-Fi/Hologram,"clean translucent holographic interface, coherent perspective, fine scanlines, subtle emitted light","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Sci-Fi,1.0,False
0027 | Sci-Fi/Scanlines,"restrained futuristic scanline effect, controlled digital texture, subject remains clear","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Sci-Fi,1.0,False
0028 | Sci-Fi/Glitch,"localized tasteful digital glitch fragments, intentional design, no destruction of identity","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Sci-Fi,1.0,False
0029 | Horror/Shadow Figure,"subtle distant shadow figure integrated into the background, ambiguous and unsettling, not dominant","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Horror,1.0,False
0030 | Horror/Uncanny Reflection,reflection contains one subtle impossible difference while the main scene remains coherent,"low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, excessive effects, obscured face",Horror,1.0,False
