name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Three-Quarter Rear Left/Three-Quarter Rear Left — cinematic landscape framing, camera close to ground level, 65mm portrait perspective","camera positioned behind and slightly to the subject left at approximately a 135-degree angle, most of the back visible, left shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera close to ground level, camera at conversational distance, cinematic landscape framing, 65mm portrait perspective, foreground-to-background depth layering, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, right-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Left,1,False
"0002 | Perspective/Three-Quarter Rear Left/Three-Quarter Rear Left — wide environmental framing, camera at waist height, 24mm wide-angle perspective with controlled distortion","camera positioned behind and slightly to the subject left at approximately a 135-degree angle, most of the back visible, left shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera at waist height, camera far enough back to preserve the full silhouette, wide environmental framing, 24mm wide-angle perspective with controlled distortion, clean negative space around the subject, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, right-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Left,1,False
"0003 | Perspective/Three-Quarter Rear Left/Three-Quarter Rear Left — tight portrait framing, camera at chest height, 65mm portrait perspective","camera positioned behind and slightly to the subject left at approximately a 135-degree angle, most of the back visible, left shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera at chest height, camera at intimate portrait distance, tight portrait framing, 65mm portrait perspective, minimal uncluttered composition, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, right-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Left,1,False
"0004 | Perspective/Three-Quarter Rear Left/Three-Quarter Rear Left — balanced square-format framing, camera slightly below eye level, 85mm portrait perspective","camera positioned behind and slightly to the subject left at approximately a 135-degree angle, most of the back visible, left shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera slightly below eye level, camera close to the subject, balanced square-format framing, 85mm portrait perspective, slightly off-centre editorial composition, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, right-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Left,1,False
"0005 | Perspective/Three-Quarter Rear Left/Three-Quarter Rear Left — vertical editorial framing, camera at eye level, 35mm lens perspective","camera positioned behind and slightly to the subject left at approximately a 135-degree angle, most of the back visible, left shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera at eye level, camera positioned to include the surrounding environment, vertical editorial framing, 35mm lens perspective, clean negative space around the subject, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, right-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Left,1,False
"0006 | Perspective/Three-Quarter Rear Left/Three-Quarter Rear Left — tight portrait framing, camera slightly below eye level, 70mm short-telephoto perspective","camera positioned behind and slightly to the subject left at approximately a 135-degree angle, most of the back visible, left shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera slightly below eye level, camera positioned to include the surrounding environment, tight portrait framing, 70mm short-telephoto perspective, strong leading lines directing attention to the subject, focus prioritising the back silhouette and shoulder line, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, right-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Left,1,False
"0007 | Perspective/Three-Quarter Rear Left/Three-Quarter Rear Left — full-body framing, camera slightly above eye level, 35mm lens perspective","camera positioned behind and slightly to the subject left at approximately a 135-degree angle, most of the back visible, left shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera slightly above eye level, camera at conversational distance, full-body framing, 35mm lens perspective, minimal uncluttered composition, focus prioritising the back silhouette and shoulder line, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, right-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Left,1,False
"0008 | Perspective/Three-Quarter Rear Left/Three-Quarter Rear Left — vertical editorial framing, camera aligned with the subject upper back, 50mm standard lens perspective","camera positioned behind and slightly to the subject left at approximately a 135-degree angle, most of the back visible, left shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera aligned with the subject upper back, camera several metres from the subject, vertical editorial framing, 50mm standard lens perspective, environment framing the subject naturally, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, right-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Left,1,False
"0009 | Perspective/Three-Quarter Rear Left/Three-Quarter Rear Left — vertical editorial framing, camera slightly below eye level, 50mm standard lens perspective","camera positioned behind and slightly to the subject left at approximately a 135-degree angle, most of the back visible, left shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera slightly below eye level, camera close to the subject, vertical editorial framing, 50mm standard lens perspective, minimal uncluttered composition, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, right-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Left,1,False
"0010 | Perspective/Three-Quarter Rear Left/Three-Quarter Rear Left — wide environmental framing, camera at knee height, 28mm moderately wide perspective","camera positioned behind and slightly to the subject left at approximately a 135-degree angle, most of the back visible, left shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera at knee height, camera close to the subject, wide environmental framing, 28mm moderately wide perspective, clean negative space around the subject, focus prioritising the face when visible, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, right-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Left,1,False
