index,name,prompt,negative_prompt,category,weight,favorite
1,Matte Latex-Look Midi Dress,"Dress <Subject 1> in matte latex-look midi dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Fashion-oriented styling only, with opaque coverage and refined construction.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Latex Vinyl Leather-look Fashion,1.0,False
2,Matte Latex-Look Mini Dress,"Dress <Subject 1> in matte latex-look mini dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Fashion-oriented styling only, with opaque coverage and refined construction.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Latex Vinyl Leather-look Fashion,1.0,False
3,Matte Latex-Look Fashion Bodysuit,"Dress <Subject 1> in matte latex-look fashion bodysuit, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Fashion-oriented styling only, with opaque coverage and refined construction.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Latex Vinyl Leather-look Fashion,1.0,False
4,Matte Latex-Look Corset Top,"Dress <Subject 1> in matte latex-look corset top, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Fashion-oriented styling only, with opaque coverage and refined construction.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Latex Vinyl Leather-look Fashion,1.0,False
5,Matte Latex-Look Pencil Skirt,"Dress <Subject 1> in matte latex-look pencil skirt, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Fashion-oriented styling only, with opaque coverage and refined construction.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Latex Vinyl Leather-look Fashion,1.0,False
6,Matte Latex-Look Tailored Trousers,"Dress <Subject 1> in matte latex-look tailored trousers, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Fashion-oriented styling only, with opaque coverage and refined construction.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Latex Vinyl Leather-look Fashion,1.0,False
7,Matte Latex-Look Jacket,"Dress <Subject 1> in matte latex-look jacket, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Fashion-oriented styling only, with opaque coverage and refined construction.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Latex Vinyl Leather-look Fashion,1.0,False
8,Matte Latex-Look Structured Clubwear Set,"Dress <Subject 1> in matte latex-look structured clubwear set, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Fashion-oriented styling only, with opaque coverage and refined construction.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Latex Vinyl Leather-look Fashion,1.0,False
9,Polished Latex-Look Midi Dress,"Dress <Subject 1> in polished latex-look midi dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Fashion-oriented styling only, with opaque coverage and refined construction.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Latex Vinyl Leather-look Fashion,1.0,False
10,Polished Latex-Look Mini Dress,"Dress <Subject 1> in polished latex-look mini dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Fashion-oriented styling only, with opaque coverage and refined construction.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Latex Vinyl Leather-look Fashion,1.0,False
