index,name,prompt,negative_prompt,category,weight,favorite
1,Clothing Detail/Scalloped Edge,"Use scalloped edge as a finishing garment detail, with realistic construction and clean readable design.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Detail,1,False
2,Clothing Detail/Contrast Binding,"Use contrast binding as a finishing garment detail, with realistic construction and clean readable design.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Detail,1,False
3,Clothing Detail/Minimal Seam Detail,"Use minimal seam detail as a finishing garment detail, with realistic construction and clean readable design.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Detail,1,False
4,Clothing Detail/Flatlock Stitching,"Use flatlock stitching as a finishing garment detail, with realistic construction and clean readable design.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Detail,1,False
5,Clothing Detail/Soft Elastic Waistband,"Use soft elastic waistband as a finishing garment detail, with realistic construction and clean readable design.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Detail,1,False
6,Clothing Detail/Decorative Bow Detail,"Use decorative bow detail as a finishing garment detail, with realistic construction and clean readable design.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Detail,1,False
7,Clothing Detail/Ring Hardware,"Use ring hardware as a finishing garment detail, with realistic construction and clean readable design.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Detail,1,False
8,Clothing Detail/Side Tie Detail,"Use side tie detail as a finishing garment detail, with realistic construction and clean readable design.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Detail,1,False
9,Clothing Detail/Ruffle Trim,"Use ruffle trim as a finishing garment detail, with realistic construction and clean readable design.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Detail,1,False
10,Clothing Detail/Picot Trim,"Use picot trim as a finishing garment detail, with realistic construction and clean readable design.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Detail,1,False
11,Clothing Detail/Sheer Panel With Opaque Lining,"Use sheer panel with opaque lining as a finishing garment detail, with realistic construction and clean readable design.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Detail,1,False
12,Clothing Detail/Lace Overlay,"Use lace overlay as a finishing garment detail, with realistic construction and clean readable design.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Detail,1,False
13,Clothing Detail/Ribbed Texture,"Use ribbed texture as a finishing garment detail, with realistic construction and clean readable design.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Detail,1,False
14,Clothing Detail/Crinkle Texture,"Use crinkle texture as a finishing garment detail, with realistic construction and clean readable design.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Detail,1,False
15,Clothing Detail/Matte Finish,"Use matte finish as a finishing garment detail, with realistic construction and clean readable design.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Detail,1,False
16,Clothing Detail/Gloss Finish,"Use gloss finish as a finishing garment detail, with realistic construction and clean readable design.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Detail,1,False
