name,prompt,negative_prompt,category,weight,favorite
0001 | Real Male/Creators & Influencers Under 40/MrBeast,"MrBeast, adult creator, recognisable likeness from widely known public imagery, high-end digital-creator portrait, recognisable public-facing style, modern studio or lifestyle presentation, clear facial reference, natural skin texture, precise facial structure, refined hair detail, clothed portrait framing, modern wardrobe styling, confident camera-ready expression, cinematic beauty lighting, premium magazine finish, category tag: Real Male/Creator","wrong identity, generic face, altered facial structure, inaccurate hairstyle, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, mixed celebrity identity, text, watermark, logo artifacts, low detail, blur",Real Male/Creators & Influencers Under 40,1,False
0002 | Real Male/Creators & Influencers Under 40/Jake Paul,"Jake Paul, adult creator, recognisable likeness from widely known public imagery, high-end digital-creator portrait, recognisable public-facing style, modern studio or lifestyle presentation, clear facial reference, natural skin texture, precise facial structure, refined hair detail, clothed portrait framing, modern wardrobe styling, confident camera-ready expression, cinematic beauty lighting, premium magazine finish, category tag: Real Male/Creator","wrong identity, generic face, altered facial structure, inaccurate hairstyle, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, mixed celebrity identity, text, watermark, logo artifacts, low detail, blur",Real Male/Creators & Influencers Under 40,1,False
0003 | Real Male/Creators & Influencers Under 40/Logan Paul,"Logan Paul, adult creator, recognisable likeness from widely known public imagery, high-end digital-creator portrait, recognisable public-facing style, modern studio or lifestyle presentation, clear facial reference, natural skin texture, precise facial structure, refined hair detail, clothed portrait framing, modern wardrobe styling, confident camera-ready expression, cinematic beauty lighting, premium magazine finish, category tag: Real Male/Creator","wrong identity, generic face, altered facial structure, inaccurate hairstyle, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, mixed celebrity identity, text, watermark, logo artifacts, low detail, blur",Real Male/Creators & Influencers Under 40,1,False
0004 | Real Male/Creators & Influencers Under 40/KSI,"KSI, adult creator, recognisable likeness from widely known public imagery, high-end digital-creator portrait, recognisable public-facing style, modern studio or lifestyle presentation, clear facial reference, natural skin texture, precise facial structure, refined hair detail, clothed portrait framing, modern wardrobe styling, confident camera-ready expression, cinematic beauty lighting, premium magazine finish, category tag: Real Male/Creator","wrong identity, generic face, altered facial structure, inaccurate hairstyle, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, mixed celebrity identity, text, watermark, logo artifacts, low detail, blur",Real Male/Creators & Influencers Under 40,1,False
0005 | Real Male/Creators & Influencers Under 40/IShowSpeed,"IShowSpeed, adult creator, recognisable likeness from widely known public imagery, high-end digital-creator portrait, recognisable public-facing style, modern studio or lifestyle presentation, clear facial reference, natural skin texture, precise facial structure, refined hair detail, clothed portrait framing, modern wardrobe styling, confident camera-ready expression, cinematic beauty lighting, premium magazine finish, category tag: Real Male/Creator","wrong identity, generic face, altered facial structure, inaccurate hairstyle, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, mixed celebrity identity, text, watermark, logo artifacts, low detail, blur",Real Male/Creators & Influencers Under 40,1,False
0006 | Real Male/Creators & Influencers Under 40/Kai Cenat,"Kai Cenat, adult creator, recognisable likeness from widely known public imagery, high-end digital-creator portrait, recognisable public-facing style, modern studio or lifestyle presentation, clear facial reference, natural skin texture, precise facial structure, refined hair detail, clothed portrait framing, modern wardrobe styling, confident camera-ready expression, cinematic beauty lighting, premium magazine finish, category tag: Real Male/Creator","wrong identity, generic face, altered facial structure, inaccurate hairstyle, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, mixed celebrity identity, text, watermark, logo artifacts, low detail, blur",Real Male/Creators & Influencers Under 40,1,False
0007 | Real Male/Creators & Influencers Under 40/Markiplier,"Markiplier, adult creator, recognisable likeness from widely known public imagery, high-end digital-creator portrait, recognisable public-facing style, modern studio or lifestyle presentation, clear facial reference, natural skin texture, precise facial structure, refined hair detail, clothed portrait framing, modern wardrobe styling, confident camera-ready expression, cinematic beauty lighting, premium magazine finish, category tag: Real Male/Creator","wrong identity, generic face, altered facial structure, inaccurate hairstyle, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, mixed celebrity identity, text, watermark, logo artifacts, low detail, blur",Real Male/Creators & Influencers Under 40,1,False
0008 | Real Male/Creators & Influencers Under 40/Jacksepticeye,"Jacksepticeye, adult creator, recognisable likeness from widely known public imagery, high-end digital-creator portrait, recognisable public-facing style, modern studio or lifestyle presentation, clear facial reference, natural skin texture, precise facial structure, refined hair detail, clothed portrait framing, modern wardrobe styling, confident camera-ready expression, cinematic beauty lighting, premium magazine finish, category tag: Real Male/Creator","wrong identity, generic face, altered facial structure, inaccurate hairstyle, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, mixed celebrity identity, text, watermark, logo artifacts, low detail, blur",Real Male/Creators & Influencers Under 40,1,False
0009 | Real Male/Creators & Influencers Under 40/PewDiePie,"PewDiePie, adult creator, recognisable likeness from widely known public imagery, high-end digital-creator portrait, recognisable public-facing style, modern studio or lifestyle presentation, clear facial reference, natural skin texture, precise facial structure, refined hair detail, clothed portrait framing, modern wardrobe styling, confident camera-ready expression, cinematic beauty lighting, premium magazine finish, category tag: Real Male/Creator","wrong identity, generic face, altered facial structure, inaccurate hairstyle, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, mixed celebrity identity, text, watermark, logo artifacts, low detail, blur",Real Male/Creators & Influencers Under 40,1,False
0010 | Real Male/Creators & Influencers Under 40/Ludwig Ahgren,"Ludwig Ahgren, adult creator, recognisable likeness from widely known public imagery, high-end digital-creator portrait, recognisable public-facing style, modern studio or lifestyle presentation, clear facial reference, natural skin texture, precise facial structure, refined hair detail, clothed portrait framing, modern wardrobe styling, confident camera-ready expression, cinematic beauty lighting, premium magazine finish, category tag: Real Male/Creator","wrong identity, generic face, altered facial structure, inaccurate hairstyle, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, mixed celebrity identity, text, watermark, logo artifacts, low detail, blur",Real Male/Creators & Influencers Under 40,1,False
0011 | Real Male/Creators & Influencers Under 40/Hasan Piker,"Hasan Piker, adult creator, recognisable likeness from widely known public imagery, high-end digital-creator portrait, recognisable public-facing style, modern studio or lifestyle presentation, clear facial reference, natural skin texture, precise facial structure, refined hair detail, clothed portrait framing, modern wardrobe styling, confident camera-ready expression, cinematic beauty lighting, premium magazine finish, category tag: Real Male/Creator","wrong identity, generic face, altered facial structure, inaccurate hairstyle, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, mixed celebrity identity, text, watermark, logo artifacts, low detail, blur",Real Male/Creators & Influencers Under 40,1,False
0012 | Real Male/Creators & Influencers Under 40/MoistCr1TiKaL,"MoistCr1TiKaL, adult creator, recognisable likeness from widely known public imagery, high-end digital-creator portrait, recognisable public-facing style, modern studio or lifestyle presentation, clear facial reference, natural skin texture, precise facial structure, refined hair detail, clothed portrait framing, modern wardrobe styling, confident camera-ready expression, cinematic beauty lighting, premium magazine finish, category tag: Real Male/Creator","wrong identity, generic face, altered facial structure, inaccurate hairstyle, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, mixed celebrity identity, text, watermark, logo artifacts, low detail, blur",Real Male/Creators & Influencers Under 40,1,False
