name,prompt,negative_prompt,category,weight,favorite
"0001 | Female/Swimwear/Modern Swim Dress — Turquoise, Ribbed Stretch Swim Knit, Adjustable Tie Straps","adult woman wearing modern swim dress, ribbed stretch swim knit, turquoise, adjustable tie straps, surf-ready practical styling, clean anonymous fashion design without brand marks, modern resort terrace, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear,1,False
"0002 | Female/Swimwear/Rash-guard Top And Swim-short Set — Blue And Green Ombré, Microfibre Swim Fabric, UPF Long-sleeve Coverage","adult woman wearing rash-guard top and swim-short set, microfibre swim fabric, blue and green ombré, UPF long-sleeve coverage, clean athletic styling, completely unbranded with no visible logos, bright poolside fashion shoot, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear,1,False
"0003 | Female/Swimwear/Long-sleeve One-piece Swimsuit — Silver, Matte Recycled Nylon Swim Fabric, Small Ruffle Trim","adult woman wearing long-sleeve one-piece swimsuit, matte recycled nylon swim fabric, silver, small ruffle trim, relaxed resort styling, completely unbranded with no visible logos, modern resort terrace, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear,1,False
"0004 | Female/Swimwear/High-waist Bikini Set — Blush Pink, Smooth Chlorine-resistant Swim Fabric, Abstract Wave Print","adult woman wearing high-waist bikini set, smooth chlorine-resistant swim fabric, blush pink, abstract wave print, luxury yacht-club styling, plain-label construction with no exterior branding, coastal boardwalk fashion set, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear,1,False
"0005 | Female/Swimwear/Ring-detail Bikini Set — Lime Green, Soft Compression Swim Fabric, Wide Supportive Straps","adult woman wearing ring-detail bikini set, soft compression swim fabric, lime green, wide supportive straps, retro poolside styling, logo-free premium garment construction, coastal boardwalk fashion set, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear,1,False
"0006 | Female/Swimwear/Rash-guard Top And Bikini Brief Set — Bronze, Shimmer-finish Swim Fabric, Abstract Wave Print","adult woman wearing rash-guard top and bikini brief set, shimmer-finish swim fabric, bronze, abstract wave print, luxury yacht-club styling, completely unbranded with no visible logos, sunlit beach fashion editorial, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear,1,False
"0007 | Female/Swimwear/Sport Tankini Set — Black, Smooth Chlorine-resistant Swim Fabric, Sporty Zip Closure","adult woman wearing sport tankini set, smooth chlorine-resistant swim fabric, black, sporty zip closure, retro poolside styling, minimal tonal branding with no readable logo or text, indoor studio with water-reflection lighting, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear,1,False
"0008 | Female/Swimwear/Triangle Bikini Set — Lemon Yellow, Smooth Chlorine-resistant Swim Fabric, Flatlock Surf Seams","adult woman wearing triangle bikini set, smooth chlorine-resistant swim fabric, lemon yellow, flatlock surf seams, retro poolside styling, plain-label construction with no exterior branding, minimal tropical backdrop, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear,1,False
"0009 | Female/Swimwear/Modest Long-sleeve Swim Set — Violet, Ribbed Stretch Swim Knit, Cheeky But Secure Brief","adult woman wearing modest long-sleeve swim set, ribbed stretch swim knit, violet, cheeky but secure brief, luxury yacht-club styling, minimal tonal branding with no readable logo or text, bright poolside fashion shoot, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear,1,False
"0010 | Female/Swimwear/Board-short And Bikini-top Set — Black, Smooth Chlorine-resistant Swim Fabric, Subtle Scalloped Edge","adult woman wearing board-short and bikini-top set, smooth chlorine-resistant swim fabric, black, subtle scalloped edge, retro poolside styling, clean anonymous fashion design without brand marks, bright poolside fashion shoot, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear,1,False
