name,prompt,negative_prompt,category,weight,favorite
"2201 | Perspective/First-Person POV/First-Person POV Camera — balanced square framing, 40mm natural-perspective lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera represents the viewer's own eyes inside the scene, no external view of the camera holder, no visible viewer body unless already present in another prompt input; moderate camera distance; balanced square framing; 40mm natural-perspective lens; symmetrical visual balance; clean edge separation around the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","third-person view, external view of camera holder, invented hands, invented arms, mirror selfie, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
"2202 | Perspective/First-Person POV/First-Person POV Camera — vertical editorial framing, 18mm ultra-wide lens with controlled distortion, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera represents the viewer's own eyes inside the scene, no external view of the camera holder, no visible viewer body unless already present in another prompt input; conversational camera distance; vertical editorial framing; 18mm ultra-wide lens with controlled distortion; asymmetrical cinematic balance; shallow depth of field with clean subject separation; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","third-person view, external view of camera holder, invented hands, invented arms, mirror selfie, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
"2203 | Perspective/First-Person POV/First-Person POV Camera — wide environmental framing, 28mm moderately wide lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera represents the viewer's own eyes inside the scene, no external view of the camera holder, no visible viewer body unless already present in another prompt input; camera close enough to retain material texture; wide environmental framing; 28mm moderately wide lens; foreground-to-background depth layering; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","third-person view, external view of camera holder, invented hands, invented arms, mirror selfie, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
"2204 | Perspective/First-Person POV/First-Person POV Camera — three-quarter-length crop, 105mm compressed portrait lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera represents the viewer's own eyes inside the scene, no external view of the camera holder, no visible viewer body unless already present in another prompt input; environmental portrait distance; three-quarter-length crop; 105mm compressed portrait lens; environmental elements framing the subject; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","third-person view, external view of camera holder, invented hands, invented arms, mirror selfie, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
"2205 | Perspective/First-Person POV/First-Person POV Camera — head-and-shoulders crop, 35mm environmental lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera represents the viewer's own eyes inside the scene, no external view of the camera holder, no visible viewer body unless already present in another prompt input; camera far enough back to preserve spatial context; head-and-shoulders crop; 35mm environmental lens; environmental elements framing the subject; clean edge separation around the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","third-person view, external view of camera holder, invented hands, invented arms, mirror selfie, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
"2206 | Perspective/First-Person POV/First-Person POV Camera — medium crop, 28mm moderately wide lens, clean negative space around the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera represents the viewer's own eyes inside the scene, no external view of the camera holder, no visible viewer body unless already present in another prompt input; intimate portrait distance; medium crop; 28mm moderately wide lens; clean negative space around the subject; shallow depth of field with clean subject separation; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","third-person view, external view of camera holder, invented hands, invented arms, mirror selfie, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
"2207 | Perspective/First-Person POV/First-Person POV Camera — cinematic landscape framing, 105mm compressed portrait lens, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera represents the viewer's own eyes inside the scene, no external view of the camera holder, no visible viewer body unless already present in another prompt input; full-figure camera distance; cinematic landscape framing; 105mm compressed portrait lens; rule-of-thirds composition; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","third-person view, external view of camera holder, invented hands, invented arms, mirror selfie, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
"2208 | Perspective/First-Person POV/First-Person POV Camera — medium crop, 85mm portrait lens, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera represents the viewer's own eyes inside the scene, no external view of the camera holder, no visible viewer body unless already present in another prompt input; environmental portrait distance; medium crop; 85mm portrait lens; asymmetrical cinematic balance; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","third-person view, external view of camera holder, invented hands, invented arms, mirror selfie, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
"2209 | Perspective/First-Person POV/First-Person POV Camera — waist-up crop, 18mm ultra-wide lens with controlled distortion, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera represents the viewer's own eyes inside the scene, no external view of the camera holder, no visible viewer body unless already present in another prompt input; camera distance balanced between subject and environment; waist-up crop; 18mm ultra-wide lens with controlled distortion; symmetrical visual balance; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","third-person view, external view of camera holder, invented hands, invented arms, mirror selfie, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
"2210 | Perspective/First-Person POV/First-Person POV Camera — vertical editorial framing, 40mm natural-perspective lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera represents the viewer's own eyes inside the scene, no external view of the camera holder, no visible viewer body unless already present in another prompt input; full-figure camera distance; vertical editorial framing; 40mm natural-perspective lens; symmetrical visual balance; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","third-person view, external view of camera holder, invented hands, invented arms, mirror selfie, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/First-Person POV,1,False
