index,name,prompt,negative_prompt,category,weight,favorite
1,Powder Pastel Pink,"Color <Subject 1>'s hair powder pastel pink; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Pastel,1.0,False
2,Powder Pastel Peach,"Color <Subject 1>'s hair powder pastel peach; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Pastel,1.0,False
3,Powder Pastel Coral,"Color <Subject 1>'s hair powder pastel coral; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Pastel,1.0,False
4,Powder Pastel Lilac,"Color <Subject 1>'s hair powder pastel lilac; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Pastel,1.0,False
5,Powder Pastel Lavender,"Color <Subject 1>'s hair powder pastel lavender; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Pastel,1.0,False
6,Powder Pastel Blue,"Color <Subject 1>'s hair powder pastel blue; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Pastel,1.0,False
7,Powder Pastel Aqua,"Color <Subject 1>'s hair powder pastel aqua; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Pastel,1.0,False
8,Powder Pastel Mint,"Color <Subject 1>'s hair powder pastel mint; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Pastel,1.0,False
9,Powder Pastel Sage,"Color <Subject 1>'s hair powder pastel sage; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Pastel,1.0,False
10,Powder Pastel Yellow,"Color <Subject 1>'s hair powder pastel yellow; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Pastel,1.0,False
11,Soft Pastel Pink,"Color <Subject 1>'s hair soft pastel pink; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Pastel,1.0,False
12,Soft Pastel Peach,"Color <Subject 1>'s hair soft pastel peach; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Pastel,1.0,False
13,Soft Pastel Coral,"Color <Subject 1>'s hair soft pastel coral; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Pastel,1.0,False
