name,prompt,negative_prompt,category,weight,favorite
0001 | Male/UK & US Culture/London Mac and Tailoring - Camel and black,"structured mac coat over an Oxford shirt, pleated trousers, polished loafers and a slim leather bag, camel, black and warm ivory palette, polished leather accessories, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Male/UK & US Culture,1.0,False
0002 | Male/UK & US Culture/London Mac and Tailoring - Navy and cream,"structured mac coat over an Oxford shirt, pleated trousers, polished loafers and a slim leather bag, navy, cream and soft grey palette, restrained silver hardware, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Male/UK & US Culture,1.0,False
0003 | Male/UK & US Culture/London Mac and Tailoring - Burgundy accent,"structured mac coat over an Oxford shirt, pleated trousers, polished loafers and a slim leather bag, charcoal base with a deep burgundy accent, refined tonal accessories, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Male/UK & US Culture,1.0,False
0004 | Male/UK & US Culture/London Mac and Tailoring - Olive and tan,"structured mac coat over an Oxford shirt, pleated trousers, polished loafers and a slim leather bag, olive, tan and dark brown palette, practical textured materials, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Male/UK & US Culture,1.0,False
0005 | Male/UK & US Culture/London Mac and Tailoring - Soft grey tonal,"structured mac coat over an Oxford shirt, pleated trousers, polished loafers and a slim leather bag, layered soft greys with white accents, clean minimal hardware, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Male/UK & US Culture,1.0,False
0006 | Male/UK & US Culture/London Mac and Tailoring - Denim and white,"structured mac coat over an Oxford shirt, pleated trousers, polished loafers and a slim leather bag, indigo denim with crisp white layers, natural leather accessories, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Male/UK & US Culture,1.0,False
0007 | Male/UK & US Culture/London Mac and Tailoring - Chocolate and ivory,"structured mac coat over an Oxford shirt, pleated trousers, polished loafers and a slim leather bag, chocolate brown and ivory palette, warm brushed-metal details, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Male/UK & US Culture,1.0,False
0008 | Male/UK & US Culture/London Mac and Tailoring - Green and black,"structured mac coat over an Oxford shirt, pleated trousers, polished loafers and a slim leather bag, deep green with black foundations, sleek understated accessories, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Male/UK & US Culture,1.0,False
0009 | Male/UK & US Culture/London Mac and Tailoring - Powder blue accent,"structured mac coat over an Oxford shirt, pleated trousers, polished loafers and a slim leather bag, neutral tailoring with a powder-blue accent, light polished details, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Male/UK & US Culture,1.0,False
0010 | Male/UK & US Culture/London Mac and Tailoring - Rust and ecru,"structured mac coat over an Oxford shirt, pleated trousers, polished loafers and a slim leather bag, warm rust, ecru and faded brown palette, tactile woven accessories, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Male/UK & US Culture,1.0,False
