name,prompt,negative_prompt
0001 | Real Female/US-UK Under 40/Jennifer Lawrence,"Jennifer Lawrence, adult American actor and public figure, recognizable likeness from widely known public imagery, soft blonde layers, expressive light eyes, natural smile, confident modern Hollywood presence, realistic skin texture, balanced facial proportions, clean hair detail, glamorous but natural editorial presentation, refined contemporary wardrobe, confident camera-ready expression","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, childlike appearance, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur"
0002 | Real Female/US-UK Under 40/Vanessa Kirby,"Vanessa Kirby, adult English actor and public figure, recognizable likeness from widely known public imagery, blonde hair, sculpted cheekbones, cool poised expression, refined London red-carpet presence, realistic skin texture, balanced facial proportions, clean hair detail, glamorous but natural editorial presentation, refined contemporary wardrobe, confident camera-ready expression","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, childlike appearance, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur"
0003 | Real Female/US-UK Under 40/Ayo Edebiri,"Ayo Edebiri, adult American actor and comedian and public figure, recognizable likeness from widely known public imagery, dark curly hair, warm expressive eyes, intelligent playful expression, contemporary fashion presence, realistic skin texture, balanced facial proportions, clean hair detail, glamorous but natural editorial presentation, refined contemporary wardrobe, confident camera-ready expression","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, childlike appearance, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur"
0004 | Real Female/US-UK Under 40/Hailey Bieber,"Hailey Bieber, adult American model and media personality and public figure, recognizable likeness from widely known public imagery, sleek brunette hair, refined features, minimalist luxury styling, polished model-off-duty presence, realistic skin texture, balanced facial proportions, clean hair detail, glamorous but natural editorial presentation, refined contemporary wardrobe, confident camera-ready expression","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, childlike appearance, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur"
0005 | Real Female/US-UK Under 40/Rosie Huntington-Whiteley,"Rosie Huntington-Whiteley, adult English model and actor and public figure, recognizable likeness from widely known public imagery, long blonde hair, elegant cheekbones, understated glamour, sophisticated British fashion presence, realistic skin texture, balanced facial proportions, clean hair detail, glamorous but natural editorial presentation, refined contemporary wardrobe, confident camera-ready expression","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, childlike appearance, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur"
0006 | Real Female/US-UK Under 40/Juno Temple,"Juno Temple, adult English actor and public figure, recognizable likeness from widely known public imagery, textured blonde hair, bright expressive eyes, distinctive bohemian glamour, lively cinematic presence, realistic skin texture, balanced facial proportions, clean hair detail, glamorous but natural editorial presentation, refined contemporary wardrobe, confident camera-ready expression","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, childlike appearance, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur"
0007 | Real Female/US-UK Under 40/Imogen Poots,"Imogen Poots, adult English actor and public figure, recognizable likeness from widely known public imagery, soft blonde hair, delicate features, clear blue eyes, understated contemporary elegance, realistic skin texture, balanced facial proportions, clean hair detail, glamorous but natural editorial presentation, refined contemporary wardrobe, confident camera-ready expression","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, childlike appearance, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur"
0008 | Real Female/US-UK Under 40/Victoria Pedretti,"Victoria Pedretti, adult American actor and public figure, recognizable likeness from widely known public imagery, dark wavy hair, large expressive eyes, poised dramatic presence, refined modern styling, realistic skin texture, balanced facial proportions, clean hair detail, glamorous but natural editorial presentation, refined contemporary wardrobe, confident camera-ready expression","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, childlike appearance, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur"
0009 | Real Female/US-UK Under 40/Alexandra Shipp,"Alexandra Shipp, adult American actor and musician and public figure, recognizable likeness from widely known public imagery, dark textured hair, defined features, confident smile, sleek contemporary glamour, realistic skin texture, balanced facial proportions, clean hair detail, glamorous but natural editorial presentation, refined contemporary wardrobe, confident camera-ready expression","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, childlike appearance, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur"
0010 | Real Female/US-UK Under 40/Zazie Beetz,"Zazie Beetz, adult American actor and public figure, recognizable likeness from widely known public imagery, natural curls, warm brown eyes, effortless modern styling, confident artistic presence, realistic skin texture, balanced facial proportions, clean hair detail, glamorous but natural editorial presentation, refined contemporary wardrobe, confident camera-ready expression","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, childlike appearance, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur"
0011 | Real Female/US-UK Under 40/Cynthia Erivo,"Cynthia Erivo, adult English actor and singer and public figure, recognizable likeness from widely known public imagery, close-cropped hair, powerful expressive eyes, sculptural fashion styling, commanding stage presence, realistic skin texture, balanced facial proportions, clean hair detail, glamorous but natural editorial presentation, refined contemporary wardrobe, confident camera-ready expression","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, childlike appearance, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur"
0012 | Real Female/US-UK Under 40/Sophie Cookson,"Sophie Cookson, adult English actor and public figure, recognizable likeness from widely known public imagery, dark blonde hair, clear eyes, composed expression, modern British sophistication, realistic skin texture, balanced facial proportions, clean hair detail, glamorous but natural editorial presentation, refined contemporary wardrobe, confident camera-ready expression","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, childlike appearance, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur"
