index,name,prompt,negative_prompt,category,weight,favorite
1,Fashion Model,"Use <Subject 1> as a polished fashion model with elegant posture, graceful movement, and confident screen presence.",,Character,1,
2,Athlete,"Use <Subject 1> as a high-performance athlete with strong posture, controlled movement, and an athletic physique.",,Character,1,
3,Dancer,"Use <Subject 1> as a trained dancer with fluid movement, balance, and expressive body language.",,Character,1,
4,Detective,"Use <Subject 1> as a detective with observant eyes, measured movement, and a calm investigative presence.",,Character,1,
5,Warrior,"Use <Subject 1> as a disciplined warrior with grounded posture, physical confidence, and focused intensity.",,Character,1,
6,Princess,"Use <Subject 1> as a refined princess with graceful posture, elegant gestures, and regal presence.",,Character,1,
7,Business Executive,Use <Subject 1> as a polished business executive with composed posture and professional confidence.,,Character,1,
8,Sci-Fi Pilot,"Use <Subject 1> as a science-fiction pilot with capable body language, alert focus, and confident movement.",,Character,1,
9,Survivor,"Use <Subject 1> as a resilient survivor with cautious movement, alert scanning, and practical body language.",,Character,1,
10,Pop Star,"Use <Subject 1> as a charismatic pop star with camera awareness, star presence, and expressive movement.",,Character,1,
11,Boxer,"Use <Subject 1> as a boxer with disciplined footwork, guarded posture, and focused athletic energy.",,Character,1,
12,Superhero,"Use <Subject 1> as a superhero with upright posture, physical confidence, and iconic heroic presence.",,Character,1,
13,Teacher,"Use <Subject 1> as a teacher with approachable body language, clear gestures, and calm confidence.",,Character,1,
14,Chef,"Use <Subject 1> as a chef with efficient hand movement, practical posture, and confident professional rhythm.",,Character,1,
15,Photographer,"Use <Subject 1> as a photographer with observational presence, natural camera-handling gestures, and creative focus.",,Character,1,
16,Musician,"Use <Subject 1> as a musician with expressive rhythm, confident stage presence, and natural musical body language.",,Character,1,
17,Cowboy,"Use <Subject 1> as a cowboy with relaxed rugged posture, grounded movement, and understated confidence.",,Character,1,
18,Royal Guard,"Use <Subject 1> as a royal guard with disciplined posture, restrained movement, and formal presence.",,Character,1,
19,News Reporter,Use <Subject 1> as a news reporter with clear communicative gestures and a composed on-camera presence.,,Character,1,
20,Mannequin,"Use <Subject 1> as a mannequin with stillness, symmetrical posture, and a clean display-oriented presentation.",,Character,1,
