index,name,prompt,negative_prompt,category,weight,favorite
1,Female/Swimwear/Material/Recycled Nylon Swim Fabric,"Use recycled nylon swim fabric as the main swimwear material, with realistic texture, quick-dry appearance, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Material,1,False
2,Female/Swimwear/Material/Microfibre Swim Fabric,"Use microfibre swim fabric as the main swimwear material, with realistic texture, quick-dry appearance, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Material,1,False
3,Female/Swimwear/Material/Ribbed Stretch Swim Knit,"Use ribbed stretch swim knit as the main swimwear material, with realistic texture, quick-dry appearance, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Material,1,False
4,Female/Swimwear/Material/Matte Nylon Spandex,"Use matte nylon spandex as the main swimwear material, with realistic texture, quick-dry appearance, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Material,1,False
5,Female/Swimwear/Material/Glossy Lycra,"Use glossy lycra as the main swimwear material, with realistic texture, quick-dry appearance, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Material,1,False
6,Female/Swimwear/Material/Textured Swim Jacquard,"Use textured swim jacquard as the main swimwear material, with realistic texture, quick-dry appearance, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Material,1,False
7,Female/Swimwear/Material/Crinkle Swim Fabric,"Use crinkle swim fabric as the main swimwear material, with realistic texture, quick-dry appearance, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Material,1,False
8,Female/Swimwear/Material/Compression Swim Fabric,"Use compression swim fabric as the main swimwear material, with realistic texture, quick-dry appearance, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Material,1,False
9,Female/Swimwear/Material/Seamless Swim Knit,"Use seamless swim knit as the main swimwear material, with realistic texture, quick-dry appearance, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Material,1,False
10,Female/Swimwear/Material/UV-protective Swim Fabric,"Use uv-protective swim fabric as the main swimwear material, with realistic texture, quick-dry appearance, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Material,1,False
11,Female/Swimwear/Material/Quick-dry Polyester Blend,"Use quick-dry polyester blend as the main swimwear material, with realistic texture, quick-dry appearance, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Material,1,False
