name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Mirror Reflection/Mirror Reflection Camera — cinematic landscape framing, 40mm natural-perspective lens, strong leading lines toward the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera observing the existing subject through a physically consistent mirror reflection, reflected geometry matching the real scene; camera far enough back to preserve spatial context; cinematic landscape framing; 40mm natural-perspective lens; strong leading lines toward the subject; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate real subjects, mismatched reflection, impossible mirror direction, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Mirror Reflection,1,False
"0002 | Perspective/Mirror Reflection/Mirror Reflection Camera — medium crop, 65mm short-portrait lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera observing the existing subject through a physically consistent mirror reflection, reflected geometry matching the real scene; camera close enough to retain material texture; medium crop; 65mm short-portrait lens; foreground-to-background depth layering; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate real subjects, mismatched reflection, impossible mirror direction, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Mirror Reflection,1,False
"0003 | Perspective/Mirror Reflection/Mirror Reflection Camera — vertical editorial framing, 65mm short-portrait lens, clean negative space around the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera observing the existing subject through a physically consistent mirror reflection, reflected geometry matching the real scene; wide scene distance; vertical editorial framing; 65mm short-portrait lens; clean negative space around the subject; clean edge separation around the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate real subjects, mismatched reflection, impossible mirror direction, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Mirror Reflection,1,False
"0004 | Perspective/Mirror Reflection/Mirror Reflection Camera — tight crop, 105mm compressed portrait lens, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera observing the existing subject through a physically consistent mirror reflection, reflected geometry matching the real scene; wide scene distance; tight crop; 105mm compressed portrait lens; centred composition; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate real subjects, mismatched reflection, impossible mirror direction, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Mirror Reflection,1,False
"0005 | Perspective/Mirror Reflection/Mirror Reflection Camera — full-figure framing, 40mm natural-perspective lens, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera observing the existing subject through a physically consistent mirror reflection, reflected geometry matching the real scene; intimate portrait distance; full-figure framing; 40mm natural-perspective lens; asymmetrical cinematic balance; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate real subjects, mismatched reflection, impossible mirror direction, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Mirror Reflection,1,False
"0006 | Perspective/Mirror Reflection/Mirror Reflection Camera — wide environmental framing, 65mm short-portrait lens, slightly off-centre editorial composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera observing the existing subject through a physically consistent mirror reflection, reflected geometry matching the real scene; full-figure camera distance; wide environmental framing; 65mm short-portrait lens; slightly off-centre editorial composition; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate real subjects, mismatched reflection, impossible mirror direction, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Mirror Reflection,1,False
"0007 | Perspective/Mirror Reflection/Mirror Reflection Camera — waist-up crop, 105mm compressed portrait lens, strong leading lines toward the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera observing the existing subject through a physically consistent mirror reflection, reflected geometry matching the real scene; moderate camera distance; waist-up crop; 105mm compressed portrait lens; strong leading lines toward the subject; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate real subjects, mismatched reflection, impossible mirror direction, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Mirror Reflection,1,False
"0008 | Perspective/Mirror Reflection/Mirror Reflection Camera — balanced square framing, 24mm wide-angle lens, slightly off-centre editorial composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera observing the existing subject through a physically consistent mirror reflection, reflected geometry matching the real scene; conversational camera distance; balanced square framing; 24mm wide-angle lens; slightly off-centre editorial composition; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate real subjects, mismatched reflection, impossible mirror direction, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Mirror Reflection,1,False
"0009 | Perspective/Mirror Reflection/Mirror Reflection Camera — vertical editorial framing, 40mm natural-perspective lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera observing the existing subject through a physically consistent mirror reflection, reflected geometry matching the real scene; camera distance balanced between subject and environment; vertical editorial framing; 40mm natural-perspective lens; symmetrical visual balance; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate real subjects, mismatched reflection, impossible mirror direction, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Mirror Reflection,1,False
"0010 | Perspective/Mirror Reflection/Mirror Reflection Camera — three-quarter-length crop, 135mm telephoto lens, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera observing the existing subject through a physically consistent mirror reflection, reflected geometry matching the real scene; environmental portrait distance; three-quarter-length crop; 135mm telephoto lens; asymmetrical cinematic balance; clean edge separation around the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate real subjects, mismatched reflection, impossible mirror direction, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Mirror Reflection,1,False
