name,prompt,negative_prompt,category,weight,favorite
"0001 | Female/Nightclub & Party/Sparkle Knit Top And Flared Trouser Outfit — Burgundy, Lamé-look Metallic Fabric, Structured Shoulder Line","adult woman wearing sparkle knit top and flared trouser outfit, lamé-look metallic fabric, burgundy, structured shoulder line, modern cocktail-bar styling, clean anonymous fashion design without brand marks, modern hotel bar fashion shoot, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Nightclub & Party,1,False
"0002 | Female/Nightclub & Party/Fringe-trim Dance Mini Dress — Hot Pink, Soft Velvet, Subtle Fringe Movement","adult woman wearing fringe-trim dance mini dress, soft velvet, hot pink, subtle fringe movement, dance-floor ready styling, logo-free premium garment construction, luxury rooftop bar at night, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Nightclub & Party,1,False
"0003 | Female/Nightclub & Party/One-shoulder Top And Satin Midi-skirt Outfit — Black With Silver Accents, Matte Stretch Jersey, Wrap Waist Detail","adult woman wearing one-shoulder top and satin midi-skirt outfit, matte stretch jersey, black with silver accents, wrap waist detail, VIP lounge styling, logo-free premium garment construction, modern hotel bar fashion shoot, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Nightclub & Party,1,False
"0004 | Female/Nightclub & Party/Metallic Wrap Jumpsuit — Deep Red, Metallic Stretch Knit, Opaque Bust Lining","adult woman wearing metallic wrap jumpsuit, metallic stretch knit, deep red, opaque bust lining, minimal after-dark styling, completely unbranded with no visible logos, neon-lit nightclub fashion editorial, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Nightclub & Party,1,False
"0005 | Female/Nightclub & Party/Sheer-sleeve Bodysuit With Opaque Lining And Mini Skirt — Deep Red, Glitter-thread Knit, Tonal Feather Cuff Detail","adult woman wearing sheer-sleeve bodysuit with opaque lining and mini skirt, glitter-thread knit, deep red, tonal feather cuff detail, fashion-forward party styling, logo-free premium garment construction, upscale cocktail lounge, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Nightclub & Party,1,False
"0006 | Female/Nightclub & Party/Glitter Knit Co-ord Set — Emerald Green, Feather-trim Satin, Subtle Fringe Movement","adult woman wearing glitter knit co-ord set, feather-trim satin, emerald green, subtle fringe movement, VIP lounge styling, clean anonymous fashion design without brand marks, upscale cocktail lounge, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Nightclub & Party,1,False
"0007 | Female/Nightclub & Party/Draped Jersey Party Dress — Black With Gold Accents, Liquid-look Satin, Glove-style Long Sleeves","adult woman wearing draped jersey party dress, liquid-look satin, black with gold accents, glove-style long sleeves, fashion-forward party styling, plain-label construction with no exterior branding, upscale cocktail lounge, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Nightclub & Party,1,False
"0008 | Female/Nightclub & Party/Structured Blazer Mini Dress — Emerald Green, Feather-trim Satin, Halter Neckline","adult woman wearing structured blazer mini dress, feather-trim satin, emerald green, halter neckline, minimal after-dark styling, plain-label construction with no exterior branding, city street outside a nightclub, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Nightclub & Party,1,False
"0009 | Female/Nightclub & Party/Structured Blazer Mini Dress — Cobalt Blue, Soft Velvet, Opaque Bust Lining","adult woman wearing structured blazer mini dress, soft velvet, cobalt blue, opaque bust lining, minimal after-dark styling, completely unbranded with no visible logos, dark studio with coloured rim lighting, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Nightclub & Party,1,False
"0010 | Female/Nightclub & Party/Velvet Wrap Mini Dress — Black With Gold Accents, Lamé-look Metallic Fabric, Minimal Crystal Trim","adult woman wearing velvet wrap mini dress, lamé-look metallic fabric, black with gold accents, minimal crystal trim, upscale nightclub styling, clean anonymous fashion design without brand marks, city street outside a nightclub, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Nightclub & Party,1,False
