name,prompt,negative_prompt,category,weight,favorite
"0001 | Female/Sleep & Lounge/Waffle-knit Robe And Lounge Set — Sage Green, Lightweight Fleece, Tonal Buttons","adult woman wearing waffle-knit robe and lounge set, lightweight fleece, sage green, tonal buttons, luxury hotel sleepwear styling, logo-free premium garment construction, spa lounge setting, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleep & Lounge,1,False
"0002 | Female/Sleep & Lounge/Waffle-knit Robe And Lounge Set — Dusty Rose, Waffle-knit Cotton, Soft Drawstring Waist","adult woman wearing waffle-knit robe and lounge set, waffle-knit cotton, dusty rose, soft drawstring waist, comfortable home-lounge styling, plain-label construction with no exterior branding, warm bedroom-inspired catalogue set with no bed posing, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleep & Lounge,1,False
"0003 | Female/Sleep & Lounge/Waffle-knit Robe And Lounge Set — Dusty Rose, Ribbed Modal Knit, Small Patch Pocket","adult woman wearing waffle-knit robe and lounge set, ribbed modal knit, dusty rose, small patch pocket, light summer sleepwear styling, minimal tonal branding with no readable logo or text, spa lounge setting, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleep & Lounge,1,False
"0004 | Female/Sleep & Lounge/Fine-knit Lounge Dress — Burgundy, Ribbed Modal Knit, Contrast Piping","adult woman wearing fine-knit lounge dress, ribbed modal knit, burgundy, contrast piping, luxury hotel sleepwear styling, clean anonymous fashion design without brand marks, warm bedroom-inspired catalogue set with no bed posing, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleep & Lounge,1,False
"0005 | Female/Sleep & Lounge/Cashmere-look Lounge Sweater And Pant Set — Soft Floral Print, Lightweight Fleece, Soft Drawstring Waist","adult woman wearing cashmere-look lounge sweater and pant set, lightweight fleece, soft floral print, soft drawstring waist, minimal wellness-retreat styling, logo-free premium garment construction, luxury hotel suite fashion editorial, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleep & Lounge,1,False
"0006 | Female/Sleep & Lounge/Button-front Pyjama Shirt And Trouser Set — Powder Blue, Cashmere-look Fine Knit, Rolled Sleeve Cuffs","adult woman wearing button-front pyjama shirt and trouser set, cashmere-look fine knit, powder blue, rolled sleeve cuffs, soft winter lounge styling, clean anonymous fashion design without brand marks, luxury hotel suite fashion editorial, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleep & Lounge,1,False
"0007 | Female/Sleep & Lounge/Long Satin Robe Over a Matching Sleep Set — Chocolate Brown, Bamboo-viscose Jersey, Contrast Piping","adult woman wearing long satin robe over a matching sleep set, bamboo-viscose jersey, chocolate brown, contrast piping, light summer sleepwear styling, logo-free premium garment construction, luxury hotel suite fashion editorial, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleep & Lounge,1,False
"0008 | Female/Sleep & Lounge/Camisole And Sleep-short Set — Soft Floral Print, Bamboo-viscose Jersey, Tonal Buttons","adult woman wearing camisole and sleep-short set, bamboo-viscose jersey, soft floral print, tonal buttons, comfortable home-lounge styling, plain-label construction with no exterior branding, warm bedroom-inspired catalogue set with no bed posing, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleep & Lounge,1,False
"0009 | Female/Sleep & Lounge/Satin Chemise And Robe Set — Mauve, Lightweight Fleece, Tonal Buttons","adult woman wearing satin chemise and robe set, lightweight fleece, mauve, tonal buttons, minimal wellness-retreat styling, completely unbranded with no visible logos, warm bedroom-inspired catalogue set with no bed posing, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleep & Lounge,1,False
"0010 | Female/Sleep & Lounge/Short-sleeve Pyjama Shirt And Short Set — Blue Pinstripe, Matte Satin, Small Patch Pocket","adult woman wearing short-sleeve pyjama shirt and short set, matte satin, blue pinstripe, small patch pocket, soft winter lounge styling, minimal tonal branding with no readable logo or text, minimal apartment interior, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleep & Lounge,1,False
