name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Floor Seated/Cross-Legged/Floor Cross-Legged — pelvis on the support plane — spine vertical,"pelvis on the support plane, shins crossed loosely, knees opened outward, hands resting on the knees; spine vertical, shoulders level, chin neutral; clear joint alignment; distinct limb separation","standing posture, kneeling upright, legs fully straight together, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Cross-Legged,1,False
0002 | Pose/Floor Seated/Cross-Legged/Floor Cross-Legged — pelvis on the support plane — spine vertical,"pelvis on the support plane, shins crossed loosely, knees opened outward, hands resting on the knees; spine vertical, chin slightly lowered; clear joint alignment; distinct limb separation","standing posture, kneeling upright, legs fully straight together, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Cross-Legged,1,False
0003 | Pose/Floor Seated/Cross-Legged/Floor Cross-Legged — pelvis on the support plane — spine vertical,"pelvis on the support plane, shins crossed loosely, knees opened outward, hands resting on the knees; spine vertical, chin slightly raised; clear joint alignment; distinct limb separation","standing posture, kneeling upright, legs fully straight together, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Cross-Legged,1,False
0004 | Pose/Floor Seated/Cross-Legged/Floor Cross-Legged — pelvis on the support plane — head tilted slightly left,"pelvis on the support plane, shins crossed loosely, knees opened outward, hands resting on the knees; head tilted slightly left, shoulders relaxed; clear joint alignment; distinct limb separation","standing posture, kneeling upright, legs fully straight together, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Cross-Legged,1,False
0005 | Pose/Floor Seated/Cross-Legged/Floor Cross-Legged — pelvis on the support plane — head tilted slightly right,"pelvis on the support plane, shins crossed loosely, knees opened outward, hands resting on the knees; head tilted slightly right, shoulders relaxed; clear joint alignment; distinct limb separation","standing posture, kneeling upright, legs fully straight together, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Cross-Legged,1,False
0006 | Pose/Floor Seated/Cross-Legged/Floor Cross-Legged — pelvis on the support plane — head rotated slightly left,"pelvis on the support plane, shins crossed loosely, knees opened outward, hands resting on the knees; head rotated slightly left, pelvis stable; clear joint alignment; distinct limb separation","standing posture, kneeling upright, legs fully straight together, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Cross-Legged,1,False
0007 | Pose/Floor Seated/Cross-Legged/Floor Cross-Legged — pelvis on the support plane — head rotated slightly right,"pelvis on the support plane, shins crossed loosely, knees opened outward, hands resting on the knees; head rotated slightly right, pelvis stable; clear joint alignment; distinct limb separation","standing posture, kneeling upright, legs fully straight together, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Cross-Legged,1,False
0008 | Pose/Floor Seated/Cross-Legged/Floor Cross-Legged — pelvis on the support plane — ribcage rotated slightly left,"pelvis on the support plane, shins crossed loosely, knees opened outward, hands resting on the knees; ribcage rotated slightly left, pelvis facing forward; clear joint alignment; distinct limb separation","standing posture, kneeling upright, legs fully straight together, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Cross-Legged,1,False
0009 | Pose/Floor Seated/Cross-Legged/Floor Cross-Legged — pelvis on the support plane — ribcage rotated slightly right,"pelvis on the support plane, shins crossed loosely, knees opened outward, hands resting on the knees; ribcage rotated slightly right, pelvis facing forward; clear joint alignment; distinct limb separation","standing posture, kneeling upright, legs fully straight together, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Cross-Legged,1,False
0010 | Pose/Floor Seated/Cross-Legged/Floor Cross-Legged — pelvis on the support plane — torso inclined slightly forward with a long spine,"pelvis on the support plane, shins crossed loosely, knees opened outward, hands resting on the knees; torso inclined slightly forward with a long spine; clear joint alignment; distinct limb separation","standing posture, kneeling upright, legs fully straight together, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Cross-Legged,1,False
