name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/High Right Angle/High Right Camera — waist-up crop, 70mm short-telephoto lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and to the subject's right, angled downward from an oblique side view; intimate portrait distance; waist-up crop; 70mm short-telephoto lens; clean negative space around the subject; focus locked on the primary subject; coherent camera-to-scene geometry","low right angle, high left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Right Angle,1,False
"0002 | Perspective/High Right Angle/High Right Camera — medium crop, 135mm telephoto lens, environmental elements framing the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and to the subject's right, angled downward from an oblique side view; camera far enough back to preserve spatial context; medium crop; 135mm telephoto lens; environmental elements framing the subject; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","low right angle, high left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Right Angle,1,False
"0003 | Perspective/High Right Angle/High Right Camera — waist-up crop, 135mm telephoto lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and to the subject's right, angled downward from an oblique side view; environmental portrait distance; waist-up crop; 135mm telephoto lens; clean negative space around the subject; clean edge separation around the subject; coherent camera-to-scene geometry","low right angle, high left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Right Angle,1,False
"0004 | Perspective/High Right Angle/High Right Camera — vertical editorial framing, 70mm short-telephoto lens, strong leading lines toward the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and to the subject's right, angled downward from an oblique side view; moderate camera distance; vertical editorial framing; 70mm short-telephoto lens; strong leading lines toward the subject; focus weighted toward clothing and surface texture; coherent camera-to-scene geometry","low right angle, high left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Right Angle,1,False
"0005 | Perspective/High Right Angle/High Right Camera — medium crop, 24mm wide-angle lens with controlled edge distortion, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and to the subject's right, angled downward from an oblique side view; moderate camera distance; medium crop; 24mm wide-angle lens with controlled edge distortion; slightly off-centre editorial composition; shallow depth of field with clean subject separation; coherent camera-to-scene geometry","low right angle, high left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Right Angle,1,False
"0006 | Perspective/High Right Angle/High Right Camera — balanced square framing, 28mm moderately wide lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and to the subject's right, angled downward from an oblique side view; wide scene distance; balanced square framing; 28mm moderately wide lens; asymmetrical cinematic balance; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","low right angle, high left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Right Angle,1,False
"0007 | Perspective/High Right Angle/High Right Camera — head-and-shoulders crop, 35mm environmental lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and to the subject's right, angled downward from an oblique side view; wide scene distance; head-and-shoulders crop; 35mm environmental lens; clean negative space around the subject; foreground softly separated from the subject; coherent camera-to-scene geometry","low right angle, high left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Right Angle,1,False
"0008 | Perspective/High Right Angle/High Right Camera — waist-up crop, 70mm short-telephoto lens, centred composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and to the subject's right, angled downward from an oblique side view; moderate camera distance; waist-up crop; 70mm short-telephoto lens; centred composition; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","low right angle, high left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Right Angle,1,False
"0009 | Perspective/High Right Angle/High Right Camera — full-figure framing, 28mm moderately wide lens, environmental elements framing the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and to the subject's right, angled downward from an oblique side view; wide scene distance; full-figure framing; 28mm moderately wide lens; environmental elements framing the subject; focus locked on the primary subject; coherent camera-to-scene geometry","low right angle, high left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Right Angle,1,False
"0010 | Perspective/High Right Angle/High Right Camera — vertical editorial framing, 85mm portrait lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and to the subject's right, angled downward from an oblique side view; close camera distance; vertical editorial framing; 85mm portrait lens; asymmetrical cinematic balance; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","low right angle, high left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Right Angle,1,False
