name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Orthographic Left/Orthographic Left Camera — wide environmental framing, 24mm wide-angle lens, strong leading lines toward the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic left-side projection with minimal perspective distortion; camera far enough back to preserve spatial context; wide environmental framing; 24mm wide-angle lens; strong leading lines toward the subject; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","right orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Left,1,False
"0002 | Perspective/Orthographic Left/Orthographic Left Camera — medium crop, 40mm natural-perspective lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic left-side projection with minimal perspective distortion; camera far enough back to preserve spatial context; medium crop; 40mm natural-perspective lens; symmetrical visual balance; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","right orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Left,1,False
"0003 | Perspective/Orthographic Left/Orthographic Left Camera — medium crop, 35mm environmental lens, strong leading lines toward the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic left-side projection with minimal perspective distortion; camera distance balanced between subject and environment; medium crop; 35mm environmental lens; strong leading lines toward the subject; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","right orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Left,1,False
"0004 | Perspective/Orthographic Left/Orthographic Left Camera — waist-up crop, 28mm moderately wide lens, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic left-side projection with minimal perspective distortion; full-figure camera distance; waist-up crop; 28mm moderately wide lens; asymmetrical cinematic balance; deep focus across the visible environment; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","right orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Left,1,False
"0005 | Perspective/Orthographic Left/Orthographic Left Camera — waist-up crop, 35mm environmental lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic left-side projection with minimal perspective distortion; camera distance balanced between subject and environment; waist-up crop; 35mm environmental lens; foreground-to-background depth layering; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","right orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Left,1,False
"0006 | Perspective/Orthographic Left/Orthographic Left Camera — three-quarter-length crop, 65mm short-portrait lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic left-side projection with minimal perspective distortion; moderate camera distance; three-quarter-length crop; 65mm short-portrait lens; minimal uncluttered composition; clean edge separation around the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","right orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Left,1,False
"0007 | Perspective/Orthographic Left/Orthographic Left Camera — full-figure framing, 18mm ultra-wide lens with controlled distortion, clean negative space around the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic left-side projection with minimal perspective distortion; camera distance balanced between subject and environment; full-figure framing; 18mm ultra-wide lens with controlled distortion; clean negative space around the subject; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","right orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Left,1,False
"0008 | Perspective/Orthographic Left/Orthographic Left Camera — cinematic landscape framing, 40mm natural-perspective lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic left-side projection with minimal perspective distortion; camera distance balanced between subject and environment; cinematic landscape framing; 40mm natural-perspective lens; minimal uncluttered composition; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","right orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Left,1,False
"0009 | Perspective/Orthographic Left/Orthographic Left Camera — medium crop, 40mm natural-perspective lens, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic left-side projection with minimal perspective distortion; camera far enough back to preserve spatial context; medium crop; 40mm natural-perspective lens; rule-of-thirds composition; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","right orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Left,1,False
"0010 | Perspective/Orthographic Left/Orthographic Left Camera — wide environmental framing, 50mm standard lens, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using near-orthographic left-side projection with minimal perspective distortion; full-figure camera distance; wide environmental framing; 50mm standard lens; rule-of-thirds composition; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","right orthographic view, frontal view, oblique perspective, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Orthographic Left,1,False
