name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/High Rear Angle/High Rear Camera — tight portrait crop, 70mm short-telephoto lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and behind the subject, angled downward while retaining the rear-facing side; conversational camera distance; tight portrait crop; 70mm short-telephoto lens; minimal uncluttered composition; foreground softly separated from the subject; coherent camera-to-scene geometry","low rear angle, frontal high angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Rear Angle,1,False
"0002 | Perspective/High Rear Angle/High Rear Camera — balanced square framing, 70mm short-telephoto lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and behind the subject, angled downward while retaining the rear-facing side; camera distance balanced between subject and environment; balanced square framing; 70mm short-telephoto lens; rule-of-thirds composition; focus weighted toward clothing and surface texture; coherent camera-to-scene geometry","low rear angle, frontal high angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Rear Angle,1,False
"0003 | Perspective/High Rear Angle/High Rear Camera — medium crop, 28mm moderately wide lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and behind the subject, angled downward while retaining the rear-facing side; full-figure camera distance; medium crop; 28mm moderately wide lens; rule-of-thirds composition; deep focus across the visible environment; coherent camera-to-scene geometry","low rear angle, frontal high angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Rear Angle,1,False
"0004 | Perspective/High Rear Angle/High Rear Camera — head-and-shoulders crop, 28mm moderately wide lens, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and behind the subject, angled downward while retaining the rear-facing side; close camera distance; head-and-shoulders crop; 28mm moderately wide lens; symmetrical visual balance; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","low rear angle, frontal high angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Rear Angle,1,False
"0005 | Perspective/High Rear Angle/High Rear Camera — full-figure framing, 85mm portrait lens, environmental elements framing the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and behind the subject, angled downward while retaining the rear-facing side; close camera distance; full-figure framing; 85mm portrait lens; environmental elements framing the subject; focus weighted toward clothing and surface texture; coherent camera-to-scene geometry","low rear angle, frontal high angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Rear Angle,1,False
"0006 | Perspective/High Rear Angle/High Rear Camera — vertical editorial framing, 24mm wide-angle lens with controlled edge distortion, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and behind the subject, angled downward while retaining the rear-facing side; camera close enough to retain material texture; vertical editorial framing; 24mm wide-angle lens with controlled edge distortion; clean negative space around the subject; focus locked on the primary subject; coherent camera-to-scene geometry","low rear angle, frontal high angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Rear Angle,1,False
"0007 | Perspective/High Rear Angle/High Rear Camera — wide environmental framing, 50mm standard lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and behind the subject, angled downward while retaining the rear-facing side; camera far enough back to preserve spatial context; wide environmental framing; 50mm standard lens; clean negative space around the subject; focus weighted toward facial detail when visible; coherent camera-to-scene geometry","low rear angle, frontal high angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Rear Angle,1,False
"0008 | Perspective/High Rear Angle/High Rear Camera — tight portrait crop, 40mm natural-perspective lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and behind the subject, angled downward while retaining the rear-facing side; camera far enough back to preserve spatial context; tight portrait crop; 40mm natural-perspective lens; clean negative space around the subject; foreground softly separated from the subject; coherent camera-to-scene geometry","low rear angle, frontal high angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Rear Angle,1,False
"0009 | Perspective/High Rear Angle/High Rear Camera — waist-up crop, 40mm natural-perspective lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and behind the subject, angled downward while retaining the rear-facing side; close camera distance; waist-up crop; 40mm natural-perspective lens; slightly off-centre editorial composition; foreground softly separated from the subject; coherent camera-to-scene geometry","low rear angle, frontal high angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Rear Angle,1,False
"0010 | Perspective/High Rear Angle/High Rear Camera — waist-up crop, 35mm environmental lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned above and behind the subject, angled downward while retaining the rear-facing side; moderate camera distance; waist-up crop; 35mm environmental lens; foreground-to-background depth layering; foreground softly separated from the subject; coherent camera-to-scene geometry","low rear angle, frontal high angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/High Rear Angle,1,False
