name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Low Front Angle/Low Front Camera — balanced square framing, 35mm environmental lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and in front of the subject, angled upward while retaining the front-facing side; camera far enough back to preserve spatial context; balanced square framing; 35mm environmental lens; clean negative space around the subject; focus weighted toward clothing and surface texture; coherent camera-to-scene geometry","high front angle, rear low angle, overhead view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Front Angle,1,False
"0002 | Perspective/Low Front Angle/Low Front Camera — medium crop, 24mm wide-angle lens with controlled edge distortion, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and in front of the subject, angled upward while retaining the front-facing side; camera close enough to retain material texture; medium crop; 24mm wide-angle lens with controlled edge distortion; clean negative space around the subject; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","high front angle, rear low angle, overhead view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Front Angle,1,False
"0003 | Perspective/Low Front Angle/Low Front Camera — balanced square framing, 135mm telephoto lens, strong leading lines toward the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and in front of the subject, angled upward while retaining the front-facing side; moderate camera distance; balanced square framing; 135mm telephoto lens; strong leading lines toward the subject; focus weighted toward clothing and surface texture; coherent camera-to-scene geometry","high front angle, rear low angle, overhead view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Front Angle,1,False
"0004 | Perspective/Low Front Angle/Low Front Camera — medium crop, 35mm environmental lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and in front of the subject, angled upward while retaining the front-facing side; wide scene distance; medium crop; 35mm environmental lens; minimal uncluttered composition; foreground softly separated from the subject; coherent camera-to-scene geometry","high front angle, rear low angle, overhead view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Front Angle,1,False
"0005 | Perspective/Low Front Angle/Low Front Camera — waist-up crop, 50mm standard lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and in front of the subject, angled upward while retaining the front-facing side; camera close enough to retain material texture; waist-up crop; 50mm standard lens; slightly off-centre editorial composition; clean edge separation around the subject; coherent camera-to-scene geometry","high front angle, rear low angle, overhead view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Front Angle,1,False
"0006 | Perspective/Low Front Angle/Low Front Camera — medium crop, 85mm portrait lens, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and in front of the subject, angled upward while retaining the front-facing side; close camera distance; medium crop; 85mm portrait lens; symmetrical visual balance; focus weighted toward facial detail when visible; coherent camera-to-scene geometry","high front angle, rear low angle, overhead view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Front Angle,1,False
"0007 | Perspective/Low Front Angle/Low Front Camera — waist-up crop, 35mm environmental lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and in front of the subject, angled upward while retaining the front-facing side; moderate camera distance; waist-up crop; 35mm environmental lens; clean negative space around the subject; clean edge separation around the subject; coherent camera-to-scene geometry","high front angle, rear low angle, overhead view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Front Angle,1,False
"0008 | Perspective/Low Front Angle/Low Front Camera — balanced square framing, 35mm environmental lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and in front of the subject, angled upward while retaining the front-facing side; camera far enough back to preserve spatial context; balanced square framing; 35mm environmental lens; slightly off-centre editorial composition; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","high front angle, rear low angle, overhead view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Front Angle,1,False
"0009 | Perspective/Low Front Angle/Low Front Camera — cinematic landscape framing, 70mm short-telephoto lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and in front of the subject, angled upward while retaining the front-facing side; moderate camera distance; cinematic landscape framing; 70mm short-telephoto lens; clean negative space around the subject; focus locked on the primary subject; coherent camera-to-scene geometry","high front angle, rear low angle, overhead view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Front Angle,1,False
"0010 | Perspective/Low Front Angle/Low Front Camera — full-figure framing, 50mm standard lens, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and in front of the subject, angled upward while retaining the front-facing side; camera close enough to retain material texture; full-figure framing; 50mm standard lens; symmetrical visual balance; deep focus across the visible environment; coherent camera-to-scene geometry","high front angle, rear low angle, overhead view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Front Angle,1,False
