name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Water Reflection/Water Reflection Camera — head-and-shoulders crop, 50mm standard lens, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera composed around a physically consistent reflection in still or gently disturbed water, real scene and reflected scene aligned correctly; close camera distance; head-and-shoulders crop; 50mm standard lens; asymmetrical cinematic balance; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate subject, impossible reflection direction, floating reflection, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Water Reflection,1,False
"0002 | Perspective/Water Reflection/Water Reflection Camera — balanced square framing, 135mm telephoto lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera composed around a physically consistent reflection in still or gently disturbed water, real scene and reflected scene aligned correctly; full-figure camera distance; balanced square framing; 135mm telephoto lens; minimal uncluttered composition; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate subject, impossible reflection direction, floating reflection, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Water Reflection,1,False
"0003 | Perspective/Water Reflection/Water Reflection Camera — cinematic landscape framing, 28mm moderately wide lens, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera composed around a physically consistent reflection in still or gently disturbed water, real scene and reflected scene aligned correctly; camera distance balanced between subject and environment; cinematic landscape framing; 28mm moderately wide lens; rule-of-thirds composition; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate subject, impossible reflection direction, floating reflection, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Water Reflection,1,False
"0004 | Perspective/Water Reflection/Water Reflection Camera — tight crop, 35mm environmental lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera composed around a physically consistent reflection in still or gently disturbed water, real scene and reflected scene aligned correctly; moderate camera distance; tight crop; 35mm environmental lens; environmental elements framing the subject; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate subject, impossible reflection direction, floating reflection, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Water Reflection,1,False
"0005 | Perspective/Water Reflection/Water Reflection Camera — balanced square framing, 65mm short-portrait lens, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera composed around a physically consistent reflection in still or gently disturbed water, real scene and reflected scene aligned correctly; conversational camera distance; balanced square framing; 65mm short-portrait lens; asymmetrical cinematic balance; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate subject, impossible reflection direction, floating reflection, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Water Reflection,1,False
"0006 | Perspective/Water Reflection/Water Reflection Camera — tight crop, 24mm wide-angle lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera composed around a physically consistent reflection in still or gently disturbed water, real scene and reflected scene aligned correctly; camera close enough to retain material texture; tight crop; 24mm wide-angle lens; environmental elements framing the subject; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate subject, impossible reflection direction, floating reflection, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Water Reflection,1,False
"0007 | Perspective/Water Reflection/Water Reflection Camera — vertical editorial framing, 24mm wide-angle lens, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera composed around a physically consistent reflection in still or gently disturbed water, real scene and reflected scene aligned correctly; camera far enough back to preserve spatial context; vertical editorial framing; 24mm wide-angle lens; centred composition; clean edge separation around the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate subject, impossible reflection direction, floating reflection, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Water Reflection,1,False
"0008 | Perspective/Water Reflection/Water Reflection Camera — three-quarter-length crop, 105mm compressed portrait lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera composed around a physically consistent reflection in still or gently disturbed water, real scene and reflected scene aligned correctly; full-figure camera distance; three-quarter-length crop; 105mm compressed portrait lens; minimal uncluttered composition; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate subject, impossible reflection direction, floating reflection, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Water Reflection,1,False
"0009 | Perspective/Water Reflection/Water Reflection Camera — tight crop, 65mm short-portrait lens, strong leading lines toward the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera composed around a physically consistent reflection in still or gently disturbed water, real scene and reflected scene aligned correctly; close camera distance; tight crop; 65mm short-portrait lens; strong leading lines toward the subject; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate subject, impossible reflection direction, floating reflection, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Water Reflection,1,False
"0010 | Perspective/Water Reflection/Water Reflection Camera — tight crop, 24mm wide-angle lens, clean negative space around the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera composed around a physically consistent reflection in still or gently disturbed water, real scene and reflected scene aligned correctly; camera close enough to retain material texture; tight crop; 24mm wide-angle lens; clean negative space around the subject; deep focus across the visible environment; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","duplicate subject, impossible reflection direction, floating reflection, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Water Reflection,1,False
