index,name,prompt,negative_prompt,category,weight,favorite
1,Slim Headband,"Add slim headband to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hair Accessories | Headbands Ribbons Scrunchies,1.0,False
2,Slim Hair Ribbon,"Add slim hair ribbon to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hair Accessories | Headbands Ribbons Scrunchies,1.0,False
3,Slim Scrunchie,"Add slim scrunchie to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hair Accessories | Headbands Ribbons Scrunchies,1.0,False
4,Slim Hair Scarf,"Add slim hair scarf to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hair Accessories | Headbands Ribbons Scrunchies,1.0,False
5,Wide Headband,"Add wide headband to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hair Accessories | Headbands Ribbons Scrunchies,1.0,False
6,Wide Hair Ribbon,"Add wide hair ribbon to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hair Accessories | Headbands Ribbons Scrunchies,1.0,False
7,Wide Scrunchie,"Add wide scrunchie to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hair Accessories | Headbands Ribbons Scrunchies,1.0,False
8,Wide Hair Scarf,"Add wide hair scarf to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hair Accessories | Headbands Ribbons Scrunchies,1.0,False
9,Padded Headband,"Add padded headband to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hair Accessories | Headbands Ribbons Scrunchies,1.0,False
10,Padded Hair Ribbon,"Add padded hair ribbon to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hair Accessories | Headbands Ribbons Scrunchies,1.0,False
