index,name,prompt,negative_prompt,category,weight,favorite
1,Classic French Manicure,"Style <Subject 1>'s nails with classic french manicure, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Nail Art,1.0,False
2,Micro French Manicure,"Style <Subject 1>'s nails with micro french manicure, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Nail Art,1.0,False
3,Reverse French Manicure,"Style <Subject 1>'s nails with reverse french manicure, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Nail Art,1.0,False
4,Ombre Baby-Boomer Manicure,"Style <Subject 1>'s nails with ombre baby-boomer manicure, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Nail Art,1.0,False
5,Glazed Pearl Manicure,"Style <Subject 1>'s nails with glazed pearl manicure, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Nail Art,1.0,False
6,Velvet Cat-Eye Manicure,"Style <Subject 1>'s nails with velvet cat-eye manicure, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Nail Art,1.0,False
7,Tortoiseshell Nail Art,"Style <Subject 1>'s nails with tortoiseshell nail art, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Nail Art,1.0,False
8,Marble Nail Art,"Style <Subject 1>'s nails with marble nail art, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Nail Art,1.0,False
9,Celestial Nail Art,"Style <Subject 1>'s nails with celestial nail art, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Nail Art,1.0,False
10,Star Nail Art,"Style <Subject 1>'s nails with star nail art, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Nail Art,1.0,False
11,Moon Nail Art,"Style <Subject 1>'s nails with moon nail art, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Nail Art,1.0,False
12,Floral Nail Art,"Style <Subject 1>'s nails with floral nail art, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Nail Art,1.0,False
13,Chrome Line Art,"Style <Subject 1>'s nails with chrome line art, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Nail Art,1.0,False
14,Geometric Nail Art,"Style <Subject 1>'s nails with geometric nail art, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Nail Art,1.0,False
15,Checkerboard Nail Art,"Style <Subject 1>'s nails with checkerboard nail art, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Nail Art,1.0,False
16,Flame Nail Art,"Style <Subject 1>'s nails with flame nail art, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Nail Art,1.0,False
17,Gothic Cross Motif Nail Art,"Style <Subject 1>'s nails with gothic cross motif nail art, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Nail Art,1.0,False
18,Black Lace Motif Nail Art,"Style <Subject 1>'s nails with black lace motif nail art, keeping nail length, shape, color, and decoration consistent on both hands.","low quality, blurry, malformed hands, extra fingers, missing fingers, fused fingers, changing nail color, mismatched nail length, warped manicure, text, watermark",Nails | Nail Art,1.0,False
