index,name,prompt,negative_prompt,category,weight,favorite
1,Female/Hosiery & Stockings/Sheer Pantyhose,"Use sheer pantyhose as the main hosiery or stocking detail, with realistic texture, clean construction, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Hosiery & Stockings,1,False
2,Female/Hosiery & Stockings/Opaque Tights,"Use opaque tights as the main hosiery or stocking detail, with realistic texture, clean construction, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Hosiery & Stockings,1,False
3,Female/Hosiery & Stockings/Fishnet Tights,"Use fishnet tights as the main hosiery or stocking detail, with realistic texture, clean construction, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Hosiery & Stockings,1,False
4,Female/Hosiery & Stockings/Lace Tights,"Use lace tights as the main hosiery or stocking detail, with realistic texture, clean construction, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Hosiery & Stockings,1,False
5,Female/Hosiery & Stockings/Patterned Tights,"Use patterned tights as the main hosiery or stocking detail, with realistic texture, clean construction, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Hosiery & Stockings,1,False
6,Female/Hosiery & Stockings/Control-top Pantyhose,"Use control-top pantyhose as the main hosiery or stocking detail, with realistic texture, clean construction, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Hosiery & Stockings,1,False
7,Female/Hosiery & Stockings/Thigh-high Stockings,"Use thigh-high stockings as the main hosiery or stocking detail, with realistic texture, clean construction, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Hosiery & Stockings,1,False
8,Female/Hosiery & Stockings/Sheer Thigh-high Stockings,"Use sheer thigh-high stockings as the main hosiery or stocking detail, with realistic texture, clean construction, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Hosiery & Stockings,1,False
9,Female/Hosiery & Stockings/Lace-top Thigh-high Stockings,"Use lace-top thigh-high stockings as the main hosiery or stocking detail, with realistic texture, clean construction, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Hosiery & Stockings,1,False
10,Female/Hosiery & Stockings/Opaque Thigh-high Stockings,"Use opaque thigh-high stockings as the main hosiery or stocking detail, with realistic texture, clean construction, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Hosiery & Stockings,1,False
