index,name,prompt,negative_prompt,category,weight,favorite
1,Female/Descriptive Keywords/Form-fitting,Use a form-fitting silhouette that closely follows the body's contours while remaining cleanly styled and readable.,"visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Style/Female/Descriptive Keywords,1,False
2,Female/Descriptive Keywords/Body-conscious,"Use a body-conscious silhouette designed to highlight the figure with a polished, fashion-oriented presentation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Style/Female/Descriptive Keywords,1,False
3,Female/Descriptive Keywords/Bodycon,Use a bodycon silhouette with a close sculpted fit and a strong fashion-oriented shape.,"visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Style/Female/Descriptive Keywords,1,False
4,Female/Descriptive Keywords/Scant Coverage,"Use scant coverage while keeping the outfit fashion-oriented, clearly structured, and non-graphic.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Style/Female/Descriptive Keywords,1,False
5,Female/Descriptive Keywords/Sheer Overlay,"Use a sheer overlay with opaque styling underneath, keeping the effect fashionable and clearly readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Style/Female/Descriptive Keywords,1,False
6,Female/Descriptive Keywords/Illusion Mesh,Use illusion mesh details that create a translucent visual effect while keeping the garment fashion-oriented and structured.,"visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Style/Female/Descriptive Keywords,1,False
7,Female/Descriptive Keywords/Curve-accentuating Fit,"Use a curve-accentuating fit with a polished, body-conscious silhouette.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Style/Female/Descriptive Keywords,1,False
8,Female/Descriptive Keywords/High-shine Finish,"Use a high-shine finish with a reflective, premium-looking surface.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Style/Female/Descriptive Keywords,1,False
9,Female/Descriptive Keywords/Hardware-laden Styling,"Use hardware-laden styling with visible buckles, rings, straps, or chains as fashion details.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Style/Female/Descriptive Keywords,1,False
10,Female/Descriptive Keywords/Strappy Silhouette,Use a strappy silhouette with multiple straps as a defining visual feature.,"visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Style/Female/Descriptive Keywords,1,False
11,Female/Descriptive Keywords/Cut-out Silhouette,Use a cut-out silhouette with fashionable openings and a clearly structured design.,"visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Style/Female/Descriptive Keywords,1,False
12,Female/Descriptive Keywords/Sculpted Silhouette,Use a sculpted silhouette with a clean body-defined shape.,"visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Style/Female/Descriptive Keywords,1,False
