index,name,prompt
1,Modern Trap / Drill,"Modern trap and drill language: sliding sub-bass, clipped percussion, tense melodic motifs, and contemporary vocal cadence."
2,90s West Coast,"1990s West Coast rap influence with elastic bass, bright synth leads, laid-back swing, and cinematic street atmosphere."
3,2000s Southern Rap,"Early-2000s Southern rap energy with booming low end, sharp claps, chant-ready hooks, and swaggering bounce."
4,Dark Memphis,"Dark Memphis influence with hypnotic loops, eerie textures, raw drums, and ominous underground character."
5,Detroit Offbeat Rap,"Detroit-style offbeat rap with sparse punchy drums, dry keys, sudden pauses, and agile conversational flow."
6,80s Neon Synthwave,"1980s-inspired synthwave with neon arpeggios, gated drums, analog pads, and widescreen night-drive momentum."
7,Modern Dream Pop,"Contemporary dream pop with washed guitars, weightless synth layers, soft drums, and luminous vocal stacking."
8,70s Singer-Songwriter,"1970s singer-songwriter warmth with intimate acoustic arrangement, melodic bass, and natural room tone."
9,Industrial Future,"Futuristic industrial production with metallic percussion, distorted machines, severe dynamics, and cold spatial design."
10,Modern Cinematic Trailer,"Contemporary trailer-music construction with hybrid orchestra, pulses, impacts, risers, and escalating acts."
11,Gregorian Drill Opera,"A deliberately strange Gregorian chant, grand opera, and modern UK drill hybrid with sacred modal phrases, cathedral scale, sliding 808s, and theatrical act changes."
12,Genre Roulette Mutation,"A coherent genre-mutation arrangement that evolves through soul, trap, metal, drum and bass, Gregorian choir, jazz, and a cinematic final convergence."
13,UK Drill,"Use a clear UK Drill vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
14,Brooklyn Drill,"Use a clear Brooklyn Drill vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
15,Chicago Drill,"Use a clear Chicago Drill vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
16,90s Boom Bap,"Use a clear 90s Boom Bap vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
17,Jazz Rap,"Use a clear Jazz Rap vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
18,Rage Rap,"Use a clear Rage Rap vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
19,G-Funk,"Use a clear G-Funk vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
20,Drumless Luxury Rap,"Use a clear Drumless Luxury Rap vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
21,Jersey Club Rap,"Use a clear Jersey Club Rap vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
22,Memphis Phonk,"Use a clear Memphis Phonk vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
23,Contemporary R&B,"Use a clear Contemporary R&B vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
24,90s R&B,"Use a clear 90s R&B vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
25,Neo-Soul,"Use a clear Neo-Soul vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
26,New Jack Swing,"Use a clear New Jack Swing vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
27,Synth Pop,"Use a clear Synth Pop vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
28,Hyperpop,"Use a clear Hyperpop vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
29,City Pop,"Use a clear City Pop vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
30,Alternative Rock,"Use a clear Alternative Rock vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
31,Grunge,"Use a clear Grunge vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
32,Shoegaze,"Use a clear Shoegaze vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
33,Pop Punk,"Use a clear Pop Punk vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
34,Hardcore Punk,"Use a clear Hardcore Punk vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
35,Post-Punk,"Use a clear Post-Punk vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
36,Heavy Metal,"Use a clear Heavy Metal vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
37,Thrash Metal,"Use a clear Thrash Metal vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
38,Metalcore,"Use a clear Metalcore vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
39,Deathcore,"Use a clear Deathcore vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
40,Industrial Metal,"Use a clear Industrial Metal vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
41,Progressive Metal,"Use a clear Progressive Metal vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
42,Detroit Techno,"Use a clear Detroit Techno vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
43,Berlin Techno,"Use a clear Berlin Techno vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
44,Melodic Techno,"Use a clear Melodic Techno vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
45,Deep House,"Use a clear Deep House vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
46,Progressive House,"Use a clear Progressive House vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
47,Piano House,"Use a clear Piano House vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
48,UK Garage,"Use a clear UK Garage vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
49,Future Bass,"Use a clear Future Bass vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
50,Uplifting Trance,"Use a clear Uplifting Trance vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
51,Psytrance,"Use a clear Psytrance vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
52,Liquid Drum and Bass,"Use a clear Liquid Drum and Bass vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
53,Neurofunk Drum and Bass,"Use a clear Neurofunk Drum and Bass vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
54,Jungle,"Use a clear Jungle vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
55,Brostep Dubstep,"Use a clear Brostep Dubstep vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
56,Deep Dubstep,"Use a clear Deep Dubstep vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
57,Wave Phonk,"Use a clear Wave Phonk vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
58,Drift Phonk,"Use a clear Drift Phonk vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
59,Dark Ambient,"Use a clear Dark Ambient vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
60,Horror Score,"Use a clear Horror Score vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
61,Epic Trailer Hybrid,"Use a clear Epic Trailer Hybrid vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
62,Bebop Jazz,"Use a clear Bebop Jazz vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
63,Cool Jazz,"Use a clear Cool Jazz vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
64,Jazz Fusion,"Use a clear Jazz Fusion vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
65,P-Funk,"Use a clear P-Funk vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
66,Chicago Blues,"Use a clear Chicago Blues vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
67,Delta Blues,"Use a clear Delta Blues vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
68,Modern Country,"Use a clear Modern Country vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
69,Outlaw Country,"Use a clear Outlaw Country vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
70,Appalachian Folk,"Use a clear Appalachian Folk vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
71,Indie Folk,"Use a clear Indie Folk vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
72,Roots Reggae,"Use a clear Roots Reggae vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
73,Modern Dancehall,"Use a clear Modern Dancehall vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
74,Reggaeton,"Use a clear Reggaeton vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
75,Latin Pop,"Use a clear Latin Pop vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
76,Afrobeat,"Use a clear Afrobeat vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
77,Amapiano,"Use a clear Amapiano vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
78,Gospel Choir,"Use a clear Gospel Choir vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
79,Lo-Fi Hip-Hop,"Use a clear Lo-Fi Hip-Hop vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
80,Vaporwave,"Use a clear Vaporwave vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
81,Opera Rock,"Use a clear Opera Rock vocabulary: genre-authentic groove, sound palette, phrasing, transitions, and era-aware production detail."
82,90s Seattle Grunge,"Early-1990s Seattle grunge with baritone weight, open-string guitar riffs, muscular bass, live room drums, and a cathartic arena-sized chorus."
83,Raw Quiet-Loud Grunge,"Raw grunge built on restrained verses, explosive distorted choruses, blunt melodic hooks, and deliberately rough live-band edges."
84,Sludge Harmony Grunge,"Dark grunge with down-tuned sludge weight, eerie parallel vocal harmonies, slow-burning riffs, and oppressive minor-key tension."
85,90s Arena Alternative,"1990s alternative rock scaled for a large room, with ringing guitars, driving drums, emotional verses, and a broad singable chorus."
86,Britpop Swagger,"Mid-1990s Britpop with bright guitar layers, confident melodic phrasing, tambourine lift, and an anthemic communal refrain."
87,Gothic Post-Punk,"Gothic post-punk with chorus guitar, melodic bass, spacious drums, minor-key atmosphere, and romantic nocturnal melancholy."
88,Art Rock Melancholy,"Art rock with uneasy harmony, textural guitar and electronics, restrained tension, unexpected transitions, and introspective emotional ambiguity."
89,Psychedelic Progressive Rock,"Long-form psychedelic progressive rock with spacious guitar, analog keyboards, patient development, and cinematic instrumental passages."
90,70s Blues Hard Rock,"1970s blues-rooted hard rock with massive drums, riff-led electric guitar, loose pocket, and dramatic vocal improvisation."
91,Sunset Strip Hard Rock,"Late-1980s Sunset Strip hard rock with swaggering riffs, melodic guitar leads, punchy live drums, and a dangerous theatrical hook."
92,Classic Thrash Metal,"Fast classic thrash metal with palm-muted downpicking, galloping bass, aggressive drums, sharp transitions, and a barked rhythmic vocal."
93,Classic Doom Metal,"Slow classic doom metal with monolithic minor-key riffs, ominous bass, deliberate drums, and a haunted heavy atmosphere."
94,Nu Metal Rap Rock,"Late-1990s and early-2000s nu metal combining down-tuned riffs, hip-hop-informed drums, electronic texture, rap verses, and emotional shouted hooks."
95,Modern Arena Metalcore,"Modern arena metalcore with low-tuned precision riffs, breakdown impact, electronic transitions, harsh verses, and a large clean chorus."
96,Emo Alternative Rock,"Emo-influenced alternative rock with confessional verses, ringing guitars, rising drum energy, and a desperate cathartic chorus."
97,Minneapolis Funk Pop,"Tight Minneapolis funk-pop with clipped guitar, elastic synth bass, drum-machine precision, bold vocal character, and playful harmonic color."
98,Quiet Storm Soul,"Sophisticated quiet-storm soul with warm electric piano, silky bass, restrained drums, elegant guitar, and intimate unhurried vocals."
99,Alternative R&B Minimalism,"Alternative R&B with negative space, sub bass, restrained percussion, unusual vocal layering, and emotionally ambiguous songwriting."
100,French Touch House,"French-touch house with filtered disco samples, compressed four-on-the-floor drums, funky bass, robotic vocal color, and euphoric automation."
101,Progressive Festival House,"Progressive festival house with patient melodic builds, clean side-chained chords, emotional breakdowns, and a wide uplifting drop."
102,Peak-Time Warehouse Techno,"Peak-time warehouse techno with a relentless kick, rumbling low end, hypnotic sequencers, industrial accents, and controlled tension."
103,IDM Glitch,"Intelligent dance music with intricate programmed rhythm, unusual synthesis, granular detail, and surprising but coherent structural turns."
104,Future Garage Nocturne,"Nocturnal future garage with shuffled drums, submerged vocal fragments, deep sub bass, rain-soaked ambience, and fragile emotional space."
105,Trip-Hop Noir,"Cinematic trip-hop with slow breakbeats, deep bass, dusty texture, minor-key harmony, and an intimate noir vocal presence."
