name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Support/Reverse and Bridge/Reverse Support and Bridge — both palms planted behind the pelvis and both feet planted — head level,"both palms planted behind the pelvis and both feet planted, elbows straight, hips elevated, torso facing upward; head level, chin neutral, gaze fixed forward; clear joint alignment; distinct limb separation","hips resting on the support plane, prone posture, tabletop facing downward, seated posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Reverse and Bridge,1,False
0002 | Pose/Support/Reverse and Bridge/Reverse Support and Bridge — both palms planted behind the pelvis and both feet planted — chin slightly lowered,"both palms planted behind the pelvis and both feet planted, elbows straight, hips elevated, torso facing upward; chin slightly lowered, gaze fixed downward; clear joint alignment; distinct limb separation","hips resting on the support plane, prone posture, tabletop facing downward, seated posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Reverse and Bridge,1,False
0003 | Pose/Support/Reverse and Bridge/Reverse Support and Bridge — both palms planted behind the pelvis and both feet planted — chin slightly raised,"both palms planted behind the pelvis and both feet planted, elbows straight, hips elevated, torso facing upward; chin slightly raised, gaze fixed upward; clear joint alignment; distinct limb separation","hips resting on the support plane, prone posture, tabletop facing downward, seated posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Reverse and Bridge,1,False
0004 | Pose/Support/Reverse and Bridge/Reverse Support and Bridge — both palms planted behind the pelvis and both feet planted — head rotated slightly left,"both palms planted behind the pelvis and both feet planted, elbows straight, hips elevated, torso facing upward; head rotated slightly left, balance maintained; clear joint alignment; distinct limb separation","hips resting on the support plane, prone posture, tabletop facing downward, seated posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Reverse and Bridge,1,False
0005 | Pose/Support/Reverse and Bridge/Reverse Support and Bridge — both palms planted behind the pelvis and both feet planted — head rotated slightly right,"both palms planted behind the pelvis and both feet planted, elbows straight, hips elevated, torso facing upward; head rotated slightly right, balance maintained; clear joint alignment; distinct limb separation","hips resting on the support plane, prone posture, tabletop facing downward, seated posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Reverse and Bridge,1,False
0006 | Pose/Support/Reverse and Bridge/Reverse Support and Bridge — both palms planted behind the pelvis and both feet planted — arms held symmetrically for balance,"both palms planted behind the pelvis and both feet planted, elbows straight, hips elevated, torso facing upward; arms held symmetrically for balance; clear joint alignment; distinct limb separation","hips resting on the support plane, prone posture, tabletop facing downward, seated posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Reverse and Bridge,1,False
0007 | Pose/Support/Reverse and Bridge/Reverse Support and Bridge — both palms planted behind the pelvis and both feet planted — arms held asymmetrically for balance,"both palms planted behind the pelvis and both feet planted, elbows straight, hips elevated, torso facing upward; arms held asymmetrically for balance; clear joint alignment; distinct limb separation","hips resting on the support plane, prone posture, tabletop facing downward, seated posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Reverse and Bridge,1,False
0008 | Pose/Support/Reverse and Bridge/Reverse Support and Bridge — both palms planted behind the pelvis and both feet planted — shoulders level,"both palms planted behind the pelvis and both feet planted, elbows straight, hips elevated, torso facing upward; shoulders level, ribcage centred over the supporting limb; clear joint alignment; distinct limb separation","hips resting on the support plane, prone posture, tabletop facing downward, seated posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Reverse and Bridge,1,False
0009 | Pose/Support/Reverse and Bridge/Reverse Support and Bridge — both palms planted behind the pelvis and both feet planted — left shoulder slightly higher,"both palms planted behind the pelvis and both feet planted, elbows straight, hips elevated, torso facing upward; left shoulder slightly higher, pelvis counterbalanced; clear joint alignment; distinct limb separation","hips resting on the support plane, prone posture, tabletop facing downward, seated posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Reverse and Bridge,1,False
0010 | Pose/Support/Reverse and Bridge/Reverse Support and Bridge — both palms planted behind the pelvis and both feet planted — right shoulder slightly higher,"both palms planted behind the pelvis and both feet planted, elbows straight, hips elevated, torso facing upward; right shoulder slightly higher, pelvis counterbalanced; clear joint alignment; distinct limb separation","hips resting on the support plane, prone posture, tabletop facing downward, seated posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Reverse and Bridge,1,False
0011 | Pose/Support/Reverse and Bridge/Reverse Support and Bridge — both palms planted behind the pelvis and both feet planted — ribcage rotated slightly left,"both palms planted behind the pelvis and both feet planted, elbows straight, hips elevated, torso facing upward; ribcage rotated slightly left, supporting limb stable; clear joint alignment; distinct limb separation","hips resting on the support plane, prone posture, tabletop facing downward, seated posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Reverse and Bridge,1,False
0012 | Pose/Support/Reverse and Bridge/Reverse Support and Bridge — both palms planted behind the pelvis and both feet planted — ribcage rotated slightly right,"both palms planted behind the pelvis and both feet planted, elbows straight, hips elevated, torso facing upward; ribcage rotated slightly right, supporting limb stable; clear joint alignment; distinct limb separation","hips resting on the support plane, prone posture, tabletop facing downward, seated posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Reverse and Bridge,1,False
