name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Standing/Neutral/Neutral Standing — both feet parallel and hip-width apart — head level,"both feet parallel and hip-width apart, weight evenly distributed, both arms resting straight beside the torso; head level, chin neutral, shoulders level; clear joint alignment; distinct limb separation","seated posture, kneeling posture, crouched posture, lying posture, hands-and-knees posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Neutral,1,False
0002 | Pose/Standing/Neutral/Neutral Standing — both feet parallel and hip-width apart — chin slightly lowered,"both feet parallel and hip-width apart, weight evenly distributed, both arms resting straight beside the torso; chin slightly lowered, neck lengthened, shoulders level; clear joint alignment; distinct limb separation","seated posture, kneeling posture, crouched posture, lying posture, hands-and-knees posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Neutral,1,False
0003 | Pose/Standing/Neutral/Neutral Standing — both feet parallel and hip-width apart — chin slightly raised,"both feet parallel and hip-width apart, weight evenly distributed, both arms resting straight beside the torso; chin slightly raised, neck lengthened, shoulders level; clear joint alignment; distinct limb separation","seated posture, kneeling posture, crouched posture, lying posture, hands-and-knees posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Neutral,1,False
0004 | Pose/Standing/Neutral/Neutral Standing — both feet parallel and hip-width apart — head tilted slightly left,"both feet parallel and hip-width apart, weight evenly distributed, both arms resting straight beside the torso; head tilted slightly left, shoulders level; clear joint alignment; distinct limb separation","seated posture, kneeling posture, crouched posture, lying posture, hands-and-knees posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Neutral,1,False
0005 | Pose/Standing/Neutral/Neutral Standing — both feet parallel and hip-width apart — head tilted slightly right,"both feet parallel and hip-width apart, weight evenly distributed, both arms resting straight beside the torso; head tilted slightly right, shoulders level; clear joint alignment; distinct limb separation","seated posture, kneeling posture, crouched posture, lying posture, hands-and-knees posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Neutral,1,False
0006 | Pose/Standing/Neutral/Neutral Standing — both feet parallel and hip-width apart — head rotated slightly left,"both feet parallel and hip-width apart, weight evenly distributed, both arms resting straight beside the torso; head rotated slightly left, ribcage facing forward; clear joint alignment; distinct limb separation","seated posture, kneeling posture, crouched posture, lying posture, hands-and-knees posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Neutral,1,False
0007 | Pose/Standing/Neutral/Neutral Standing — both feet parallel and hip-width apart — head rotated slightly right,"both feet parallel and hip-width apart, weight evenly distributed, both arms resting straight beside the torso; head rotated slightly right, ribcage facing forward; clear joint alignment; distinct limb separation","seated posture, kneeling posture, crouched posture, lying posture, hands-and-knees posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Neutral,1,False
0008 | Pose/Standing/Neutral/Neutral Standing — both feet parallel and hip-width apart — left shoulder slightly higher than the right,"both feet parallel and hip-width apart, weight evenly distributed, both arms resting straight beside the torso; left shoulder slightly higher than the right; clear joint alignment; distinct limb separation","seated posture, kneeling posture, crouched posture, lying posture, hands-and-knees posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Neutral,1,False
0009 | Pose/Standing/Neutral/Neutral Standing — both feet parallel and hip-width apart — right shoulder slightly higher than the left,"both feet parallel and hip-width apart, weight evenly distributed, both arms resting straight beside the torso; right shoulder slightly higher than the left; clear joint alignment; distinct limb separation","seated posture, kneeling posture, crouched posture, lying posture, hands-and-knees posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Neutral,1,False
0010 | Pose/Standing/Neutral/Neutral Standing — both feet parallel and hip-width apart — shoulders gently drawn back,"both feet parallel and hip-width apart, weight evenly distributed, both arms resting straight beside the torso; shoulders gently drawn back, chest neutral; clear joint alignment; distinct limb separation","seated posture, kneeling posture, crouched posture, lying posture, hands-and-knees posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Neutral,1,False
0011 | Pose/Standing/Neutral/Neutral Standing — both feet parallel and hip-width apart — shoulders relaxed and lowered,"both feet parallel and hip-width apart, weight evenly distributed, both arms resting straight beside the torso; shoulders relaxed and lowered, chest neutral; clear joint alignment; distinct limb separation","seated posture, kneeling posture, crouched posture, lying posture, hands-and-knees posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Neutral,1,False
0012 | Pose/Standing/Neutral/Neutral Standing — both feet parallel and hip-width apart — ribcage rotated slightly left,"both feet parallel and hip-width apart, weight evenly distributed, both arms resting straight beside the torso; ribcage rotated slightly left, pelvis stable; clear joint alignment; distinct limb separation","seated posture, kneeling posture, crouched posture, lying posture, hands-and-knees posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Neutral,1,False
0013 | Pose/Standing/Neutral/Neutral Standing — both feet parallel and hip-width apart — ribcage rotated slightly right,"both feet parallel and hip-width apart, weight evenly distributed, both arms resting straight beside the torso; ribcage rotated slightly right, pelvis stable; clear joint alignment; distinct limb separation","seated posture, kneeling posture, crouched posture, lying posture, hands-and-knees posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Neutral,1,False
