"name","prompt"
"Long / Soft Layered","Long hair with soft cascading layers, subtle face-framing pieces, natural movement, smooth polished texture."
"Long / Butterfly Cut","Long butterfly haircut, heavily layered crown, sweeping face-framing sections, airy volume, feathered movement."
"Long / U-Shaped Layers","Long U-shaped haircut, blended layers through the ends, balanced volume, smooth flowing silhouette."
"Long / V-Shaped Layers","Long V-shaped haircut, tapered layered ends, sleek length through the back, graceful flowing shape."
"Long / Waterfall Layers","Long waterfall layers, seamless cascading sections, soft volume through the mid-lengths, flowing textured ends."
"Long / Feathered","Long feathered haircut, light outward-sweeping layers, lifted crown, airy textured finish."
"Long / Sleek Straight","Very long sleek straight hair, precise center part, glossy smooth strands, clean even ends."
"Long / Tousled Straight","Long mostly straight hair with loose natural bends, lightly tousled texture, relaxed lived-in finish."
"Long / Loose Waves","Long hair styled in broad loose waves, soft separation, natural volume, flowing movement."
"Long / Beach Waves","Long beach-wave hairstyle, irregular S-shaped bends, textured separation, effortless tousled finish."
"Long / Hollywood Waves","Long sculpted Hollywood waves, deep side part, glossy uniform curves, polished red-carpet finish."
"Long / Mermaid Waves","Extra-long mermaid waves, deep flowing ripples, full textured body, dramatic cascading length."
"Long / Defined Curls","Long defined curls, consistent spiral formation, layered volume, soft separated ringlets."
"Long / Voluminous Curls","Long voluminous curly hair, lifted roots, full rounded shape, dense springy curl pattern."
"Long / Natural Texture","Long naturally textured hair, realistic strand variation, balanced volume, softly shaped ends."
"Long / One-Length","Long one-length haircut, blunt even perimeter, minimal layering, clean smooth silhouette."
"Long / Face-Framing Layers","Long haircut with prominent face-framing layers, shorter front pieces blending into full length, soft movement."
"Long / Wispy Ends","Long layered hair with delicate wispy ends, lightweight texture, airy flowing silhouette."
"Long / Shaggy Layers","Long shag haircut, choppy blended layers, textured crown, loose dishevelled movement."
"Long / Romantic Curls","Long romantic curls, soft full spirals, gentle side volume, elegant cascading finish."
"Medium / Collarbone Cut","Collarbone-length haircut, softly textured ends, subtle layering, versatile natural movement."
