name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Support/Side Plank/Side Plank — left palm and outer edge of the left foot supporting — head level,"left palm and outer edge of the left foot supporting, legs stacked, right arm extended vertically, torso lifted sideways; head level, chin neutral, gaze fixed forward; clear joint alignment; distinct limb separation","both palms planted in front support, torso collapsed to the support plane, seated posture, lying flat, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Side Plank,1,False
0002 | Pose/Support/Side Plank/Side Plank — left palm and outer edge of the left foot supporting — chin slightly lowered,"left palm and outer edge of the left foot supporting, legs stacked, right arm extended vertically, torso lifted sideways; chin slightly lowered, gaze fixed downward; clear joint alignment; distinct limb separation","both palms planted in front support, torso collapsed to the support plane, seated posture, lying flat, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Side Plank,1,False
0003 | Pose/Support/Side Plank/Side Plank — left palm and outer edge of the left foot supporting — chin slightly raised,"left palm and outer edge of the left foot supporting, legs stacked, right arm extended vertically, torso lifted sideways; chin slightly raised, gaze fixed upward; clear joint alignment; distinct limb separation","both palms planted in front support, torso collapsed to the support plane, seated posture, lying flat, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Side Plank,1,False
0004 | Pose/Support/Side Plank/Side Plank — left palm and outer edge of the left foot supporting — head rotated slightly left,"left palm and outer edge of the left foot supporting, legs stacked, right arm extended vertically, torso lifted sideways; head rotated slightly left, balance maintained; clear joint alignment; distinct limb separation","both palms planted in front support, torso collapsed to the support plane, seated posture, lying flat, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Side Plank,1,False
0005 | Pose/Support/Side Plank/Side Plank — left palm and outer edge of the left foot supporting — head rotated slightly right,"left palm and outer edge of the left foot supporting, legs stacked, right arm extended vertically, torso lifted sideways; head rotated slightly right, balance maintained; clear joint alignment; distinct limb separation","both palms planted in front support, torso collapsed to the support plane, seated posture, lying flat, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Side Plank,1,False
0006 | Pose/Support/Side Plank/Side Plank — left palm and outer edge of the left foot supporting — arms held symmetrically for balance,"left palm and outer edge of the left foot supporting, legs stacked, right arm extended vertically, torso lifted sideways; arms held symmetrically for balance; clear joint alignment; distinct limb separation","both palms planted in front support, torso collapsed to the support plane, seated posture, lying flat, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Side Plank,1,False
0007 | Pose/Support/Side Plank/Side Plank — left palm and outer edge of the left foot supporting — arms held asymmetrically for balance,"left palm and outer edge of the left foot supporting, legs stacked, right arm extended vertically, torso lifted sideways; arms held asymmetrically for balance; clear joint alignment; distinct limb separation","both palms planted in front support, torso collapsed to the support plane, seated posture, lying flat, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Side Plank,1,False
0008 | Pose/Support/Side Plank/Side Plank — left palm and outer edge of the left foot supporting — shoulders level,"left palm and outer edge of the left foot supporting, legs stacked, right arm extended vertically, torso lifted sideways; shoulders level, ribcage centred over the supporting limb; clear joint alignment; distinct limb separation","both palms planted in front support, torso collapsed to the support plane, seated posture, lying flat, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Side Plank,1,False
0009 | Pose/Support/Side Plank/Side Plank — left palm and outer edge of the left foot supporting — left shoulder slightly higher,"left palm and outer edge of the left foot supporting, legs stacked, right arm extended vertically, torso lifted sideways; left shoulder slightly higher, pelvis counterbalanced; clear joint alignment; distinct limb separation","both palms planted in front support, torso collapsed to the support plane, seated posture, lying flat, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Side Plank,1,False
0010 | Pose/Support/Side Plank/Side Plank — left palm and outer edge of the left foot supporting — right shoulder slightly higher,"left palm and outer edge of the left foot supporting, legs stacked, right arm extended vertically, torso lifted sideways; right shoulder slightly higher, pelvis counterbalanced; clear joint alignment; distinct limb separation","both palms planted in front support, torso collapsed to the support plane, seated posture, lying flat, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Side Plank,1,False
0011 | Pose/Support/Side Plank/Side Plank — left palm and outer edge of the left foot supporting — ribcage rotated slightly left,"left palm and outer edge of the left foot supporting, legs stacked, right arm extended vertically, torso lifted sideways; ribcage rotated slightly left, supporting limb stable; clear joint alignment; distinct limb separation","both palms planted in front support, torso collapsed to the support plane, seated posture, lying flat, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Side Plank,1,False
0012 | Pose/Support/Side Plank/Side Plank — left palm and outer edge of the left foot supporting — ribcage rotated slightly right,"left palm and outer edge of the left foot supporting, legs stacked, right arm extended vertically, torso lifted sideways; ribcage rotated slightly right, supporting limb stable; clear joint alignment; distinct limb separation","both palms planted in front support, torso collapsed to the support plane, seated posture, lying flat, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Side Plank,1,False
0013 | Pose/Support/Side Plank/Side Plank — left palm and outer edge of the left foot supporting — torso inclined slightly forward,"left palm and outer edge of the left foot supporting, legs stacked, right arm extended vertically, torso lifted sideways; torso inclined slightly forward, supporting limb stable; clear joint alignment; distinct limb separation","both palms planted in front support, torso collapsed to the support plane, seated posture, lying flat, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Side Plank,1,False
