index,name,prompt,seconds
1,About 1 Minute,Target about one minute with compact verses and no repeated section that does not earn its place.,60
2,About 90 Seconds,"Target ~1:30 with a fast arrival at the hook, one developed verse, a hook return, and a clean ending.",90
3,About 2 Minutes,"Target ~2:00 with two compact vocal sections, repeated hooks, and a short bridge or breakdown.",120
4,About 3 Minutes,"Target ~3:00 with two full verses, repeated hooks, a contrasting bridge, and a resolved outro.",180
5,About 4 Minutes,"Target ~4:00 with at least eight substantial sections, three vocal movements, instrumental development, a large final return, and a resolved ending.",240
6,About 5 Minutes,"Target ~5:00 and set MiniMax max duration to 300 seconds. Do not collapse to a standard three-minute arc: use at least ten substantial sections, three distinct verses, repeated full choruses, bridge or breakdown, 24-32 bars of instrumental or solo breathing room, an expanded final return, and a deliberate outro. MiniMax may still finish earlier than the target.",300
7,About 30 Seconds,Target about thirty seconds with one immediate idea and no wasted setup.,30
8,About 45 Seconds,Target about forty-five seconds with a hook-first micro structure.,45
9,About 75 Seconds,Target about seventy-five seconds with one developed verse and hook return.,75
10,About 2.5 Minutes,"Target ~2:30 with concise development, two vocal sections, repeated hooks, and a complete ending.",150
11,About 3.5 Minutes,"Target ~3:30 with at least seven substantial sections, repeated hooks, a bridge or instrumental turn, and a complete outro.",210
12,About 4.5 Minutes,"Target ~4:30 with at least nine substantial sections, three vocal movements, a bridge, instrumental breathing room, a full final section, and a deliberate ending.",270
13,Short Radio Edit,Target a concise radio edit near two minutes and forty-five seconds.,165
14,Extended Club Mix,"Target ~5:00 and set MiniMax max duration to 300 seconds with mixable intro and outro passages, two developed drops, a breakdown, an extended instrumental middle, and a long final return. MiniMax may still finish earlier.",300
,About 105 Seconds,Target about one minute forty-five seconds with an immediate hook and compact bridge.,
,About 135 Seconds,Target about two minutes fifteen seconds with two concise vocal movements.,
,About 195 Seconds,Target about three minutes fifteen seconds with room for a bridge or solo.,
,About 255 Seconds,Target about four minutes fifteen seconds with developed sections and a full ending.,
