index,name,prompt,negative_prompt,category,weight,favorite
1,Business Suit,"Dress <Subject 1> in a tailored business suit with clean lines, polished fit, and coordinated formal styling.",,Clothing,1,
2,Evening Gown,"Dress <Subject 1> in an elegant evening gown with refined fabric drape, formal styling, and premium detail.",,Clothing,1,
3,Streetwear,"Dress <Subject 1> in modern streetwear with layered casual pieces, contemporary proportions, and fashionable styling.",,Clothing,1,
4,Athleisure,Dress <Subject 1> in stylish athleisure with fitted activewear pieces and a clean sporty silhouette.,,Clothing,1,
5,Yoga Outfit,"Dress <Subject 1> in a fitted yoga outfit designed for flexibility, clean silhouette, and comfortable movement.",,Clothing,1,
6,Lingerie Set,"Dress <Subject 1> in a coordinated lingerie set with clean premium styling, realistic fabric texture, and no logos or text.",,Clothing,1,
7,Swimwear,Dress <Subject 1> in fashionable swimwear with a clean flattering silhouette and realistic fabric detail.,,Clothing,1,
8,Leather Jacket Look,"Dress <Subject 1> in a leather jacket outfit with a fitted top, coordinated bottoms, and confident styling.",,Clothing,1,
9,Denim Look,Dress <Subject 1> in a modern denim outfit with coordinated jacket or jeans styling and casual fashion polish.,,Clothing,1,
10,Winter Coat Look,Dress <Subject 1> in a structured winter coat outfit with layered seasonal styling and realistic fabric detail.,,Clothing,1,
11,Sci-Fi Bodysuit,Dress <Subject 1> in a sleek science-fiction bodysuit with fitted lines and clean futuristic styling.,,Clothing,1,
12,Fantasy Warrior Outfit,Dress <Subject 1> in a fantasy warrior outfit with layered armor-inspired pieces and strong silhouette design.,,Clothing,1,
13,School Uniform,Dress <Subject 1> in a neat school uniform with coordinated styling and clean structured presentation.,,Clothing,1,
14,Nurse Uniform,Dress <Subject 1> in a clean professional nurse uniform with clear recognizable medical styling.,,Clothing,1,
15,Chef Uniform,Dress <Subject 1> in a professional chef uniform with clean structured workwear styling.,,Clothing,1,
16,Ballerina Outfit,Dress <Subject 1> in a refined ballerina outfit with graceful silhouette and elegant performance styling.,,Clothing,1,
17,Cowboy Outfit,"Dress <Subject 1> in a western cowboy outfit with boots, hat, and rugged coordinated styling.",,Clothing,1,
18,Raincoat Look,Dress <Subject 1> in a modern raincoat outfit with weather-ready styling and realistic outerwear materials.,,Clothing,1,
19,Party Dress,Dress <Subject 1> in a stylish party dress with flattering cut and polished nightlife fashion styling.,,Clothing,1,
20,Casual T-Shirt and Jeans,Dress <Subject 1> in a clean casual outfit of a T-shirt and jeans with realistic everyday styling.,,Clothing,1,
