name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Worms-Eye Ground Level/Worms-Eye Ground-Level View — three-quarter body framing, camera aligned with the subject upper back, 135mm long-lens perspective","camera placed close to ground level and aimed steeply upward, foreground surface enlarged naturally, subject rising clearly above the lens, strong vertical depth with controlled perspective, camera aligned with the subject upper back, camera positioned to include foreground depth, three-quarter body framing, 135mm long-lens perspective, symmetrical visual balance, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","birds-eye view, top-down view, floating subject, extreme warped limbs, incorrect horizon, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Worms-Eye Ground Level,1,False
"0002 | Perspective/Worms-Eye Ground Level/Worms-Eye Ground-Level View — full-body framing, camera at shoulder height, 35mm lens perspective","camera placed close to ground level and aimed steeply upward, foreground surface enlarged naturally, subject rising clearly above the lens, strong vertical depth with controlled perspective, camera at shoulder height, camera at natural observational distance, full-body framing, 35mm lens perspective, environment framing the subject naturally, clean edge separation around the subject, clear camera-to-subject relationship, coherent spatial orientation","birds-eye view, top-down view, floating subject, extreme warped limbs, incorrect horizon, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Worms-Eye Ground Level,1,False
"0003 | Perspective/Worms-Eye Ground Level/Worms-Eye Ground-Level View — three-quarter body framing, camera close to ground level, 28mm moderately wide perspective","camera placed close to ground level and aimed steeply upward, foreground surface enlarged naturally, subject rising clearly above the lens, strong vertical depth with controlled perspective, camera close to ground level, camera close to the subject, three-quarter body framing, 28mm moderately wide perspective, minimal uncluttered composition, focus prioritising the face when visible, clear camera-to-subject relationship, coherent spatial orientation","birds-eye view, top-down view, floating subject, extreme warped limbs, incorrect horizon, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Worms-Eye Ground Level,1,False
"0004 | Perspective/Worms-Eye Ground Level/Worms-Eye Ground-Level View — head-and-shoulders framing, camera at shoulder height, 65mm portrait perspective","camera placed close to ground level and aimed steeply upward, foreground surface enlarged naturally, subject rising clearly above the lens, strong vertical depth with controlled perspective, camera at shoulder height, camera at intimate portrait distance, head-and-shoulders framing, 65mm portrait perspective, asymmetrical cinematic balance, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","birds-eye view, top-down view, floating subject, extreme warped limbs, incorrect horizon, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Worms-Eye Ground Level,1,False
"0005 | Perspective/Worms-Eye Ground Level/Worms-Eye Ground-Level View — medium portrait framing, camera at eye level, 35mm lens perspective","camera placed close to ground level and aimed steeply upward, foreground surface enlarged naturally, subject rising clearly above the lens, strong vertical depth with controlled perspective, camera at eye level, camera close to the subject, medium portrait framing, 35mm lens perspective, centred composition, focus prioritising the back silhouette and shoulder line, clear camera-to-subject relationship, coherent spatial orientation","birds-eye view, top-down view, floating subject, extreme warped limbs, incorrect horizon, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Worms-Eye Ground Level,1,False
"0006 | Perspective/Worms-Eye Ground Level/Worms-Eye Ground-Level View — balanced square-format framing, camera slightly below eye level, 85mm portrait perspective","camera placed close to ground level and aimed steeply upward, foreground surface enlarged naturally, subject rising clearly above the lens, strong vertical depth with controlled perspective, camera slightly below eye level, camera positioned to include foreground depth, balanced square-format framing, 85mm portrait perspective, clean negative space around the subject, focus centred on clothing and body orientation, clear camera-to-subject relationship, coherent spatial orientation","birds-eye view, top-down view, floating subject, extreme warped limbs, incorrect horizon, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Worms-Eye Ground Level,1,False
"0007 | Perspective/Worms-Eye Ground Level/Worms-Eye Ground-Level View — head-and-shoulders framing, camera slightly above eye level, 135mm long-lens perspective","camera placed close to ground level and aimed steeply upward, foreground surface enlarged naturally, subject rising clearly above the lens, strong vertical depth with controlled perspective, camera slightly above eye level, camera close enough to prioritise garment texture, head-and-shoulders framing, 135mm long-lens perspective, clean negative space around the subject, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","birds-eye view, top-down view, floating subject, extreme warped limbs, incorrect horizon, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Worms-Eye Ground Level,1,False
"0008 | Perspective/Worms-Eye Ground Level/Worms-Eye Ground-Level View — waist-up framing, camera at eye level, 70mm short-telephoto perspective","camera placed close to ground level and aimed steeply upward, foreground surface enlarged naturally, subject rising clearly above the lens, strong vertical depth with controlled perspective, camera at eye level, camera at natural observational distance, waist-up framing, 70mm short-telephoto perspective, foreground-to-background depth layering, focus centred on clothing and body orientation, clear camera-to-subject relationship, coherent spatial orientation","birds-eye view, top-down view, floating subject, extreme warped limbs, incorrect horizon, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Worms-Eye Ground Level,1,False
"0009 | Perspective/Worms-Eye Ground Level/Worms-Eye Ground-Level View — wide environmental framing, camera elevated above the subject, 40mm natural perspective","camera placed close to ground level and aimed steeply upward, foreground surface enlarged naturally, subject rising clearly above the lens, strong vertical depth with controlled perspective, camera elevated above the subject, camera at natural observational distance, wide environmental framing, 40mm natural perspective, foreground-to-background depth layering, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","birds-eye view, top-down view, floating subject, extreme warped limbs, incorrect horizon, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Worms-Eye Ground Level,1,False
"0010 | Perspective/Worms-Eye Ground Level/Worms-Eye Ground-Level View — full-body framing, camera close to ground level, 24mm wide-angle perspective with controlled distortion","camera placed close to ground level and aimed steeply upward, foreground surface enlarged naturally, subject rising clearly above the lens, strong vertical depth with controlled perspective, camera close to ground level, camera at natural observational distance, full-body framing, 24mm wide-angle perspective with controlled distortion, asymmetrical cinematic balance, focus prioritising the face when visible, clear camera-to-subject relationship, coherent spatial orientation","birds-eye view, top-down view, floating subject, extreme warped limbs, incorrect horizon, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Worms-Eye Ground Level,1,False
