name,prompt,negative_prompt,category,weight,favorite
0001 | Lifestyle/Opening a Book - Deliberate,"opening a heavy book carefully and settling into the first page, movement slow and deliberate, attention fixed on exact hand placement","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, child, teen, underage, low detail, blur, text, watermark",Lifestyle,1.0,False
0002 | Lifestyle/Opening a Book - Efficient,"opening a heavy book carefully and settling into the first page, movement brisk and efficient, shoulders and elbows coordinating smoothly","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, child, teen, underage, low detail, blur, text, watermark",Lifestyle,1.0,False
0003 | Lifestyle/Opening a Book - Urgent,"opening a heavy book carefully and settling into the first page, action performed with controlled urgency and clear forward intention","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, child, teen, underage, low detail, blur, text, watermark",Lifestyle,1.0,False
0004 | Lifestyle/Opening a Book - Cautious,"opening a heavy book carefully and settling into the first page, movement cautious and quiet, weight distributed for immediate reaction","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, child, teen, underage, low detail, blur, text, watermark",Lifestyle,1.0,False
0005 | Lifestyle/Opening a Book - Confident,"opening a heavy book carefully and settling into the first page, action performed confidently with stable posture and precise object interaction","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, child, teen, underage, low detail, blur, text, watermark",Lifestyle,1.0,False
0006 | Lifestyle/Opening a Book - Exhausted,"opening a heavy book carefully and settling into the first page, visible fatigue in breathing and shoulders while the action remains readable","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, child, teen, underage, low detail, blur, text, watermark",Lifestyle,1.0,False
0007 | Lifestyle/Opening a Book - Emotional,"opening a heavy book carefully and settling into the first page, strong restrained emotion carried through face and body without obscuring the action","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, child, teen, underage, low detail, blur, text, watermark",Lifestyle,1.0,False
0008 | Lifestyle/Opening a Book - Cinematic,"opening a heavy book carefully and settling into the first page, staged with clean cinematic blocking, clear silhouette and realistic motion","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, child, teen, underage, low detail, blur, text, watermark",Lifestyle,1.0,False
0009 | Lifestyle/Opening a Book - Close Detail,"opening a heavy book carefully and settling into the first page, hands and interacting objects clearly visible with correct grip and scale","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, child, teen, underage, low detail, blur, text, watermark",Lifestyle,1.0,False
0010 | Lifestyle/Opening a Book - Wide Scene,"opening a heavy book carefully and settling into the first page, full-body action readable within a detailed environment and believable spatial layout","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, child, teen, underage, low detail, blur, text, watermark",Lifestyle,1.0,False
