name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Isometric/Isometric Camera — wide environmental framing, 65mm short-portrait lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a fixed isometric-style elevated angle with parallel visual axes and minimal perspective convergence; intimate portrait distance; wide environmental framing; 65mm short-portrait lens; foreground-to-background depth layering; shallow depth of field with clean subject separation; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","eye-level perspective, fisheye curvature, strong vanishing-point distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Isometric,1,False
"0002 | Perspective/Isometric/Isometric Camera — medium crop, 50mm standard lens, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a fixed isometric-style elevated angle with parallel visual axes and minimal perspective convergence; wide scene distance; medium crop; 50mm standard lens; rule-of-thirds composition; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","eye-level perspective, fisheye curvature, strong vanishing-point distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Isometric,1,False
"0003 | Perspective/Isometric/Isometric Camera — cinematic landscape framing, 35mm environmental lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a fixed isometric-style elevated angle with parallel visual axes and minimal perspective convergence; full-figure camera distance; cinematic landscape framing; 35mm environmental lens; minimal uncluttered composition; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","eye-level perspective, fisheye curvature, strong vanishing-point distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Isometric,1,False
"0004 | Perspective/Isometric/Isometric Camera — cinematic landscape framing, 135mm telephoto lens, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a fixed isometric-style elevated angle with parallel visual axes and minimal perspective convergence; close camera distance; cinematic landscape framing; 135mm telephoto lens; centred composition; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","eye-level perspective, fisheye curvature, strong vanishing-point distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Isometric,1,False
"0005 | Perspective/Isometric/Isometric Camera — waist-up crop, 85mm portrait lens, clean negative space around the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a fixed isometric-style elevated angle with parallel visual axes and minimal perspective convergence; environmental portrait distance; waist-up crop; 85mm portrait lens; clean negative space around the subject; shallow depth of field with clean subject separation; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","eye-level perspective, fisheye curvature, strong vanishing-point distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Isometric,1,False
"0006 | Perspective/Isometric/Isometric Camera — wide environmental framing, 40mm natural-perspective lens, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a fixed isometric-style elevated angle with parallel visual axes and minimal perspective convergence; moderate camera distance; wide environmental framing; 40mm natural-perspective lens; centred composition; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","eye-level perspective, fisheye curvature, strong vanishing-point distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Isometric,1,False
"0007 | Perspective/Isometric/Isometric Camera — three-quarter-length crop, 24mm wide-angle lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a fixed isometric-style elevated angle with parallel visual axes and minimal perspective convergence; conversational camera distance; three-quarter-length crop; 24mm wide-angle lens; symmetrical visual balance; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","eye-level perspective, fisheye curvature, strong vanishing-point distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Isometric,1,False
"0008 | Perspective/Isometric/Isometric Camera — vertical editorial framing, 18mm ultra-wide lens with controlled distortion, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a fixed isometric-style elevated angle with parallel visual axes and minimal perspective convergence; camera distance balanced between subject and environment; vertical editorial framing; 18mm ultra-wide lens with controlled distortion; foreground-to-background depth layering; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","eye-level perspective, fisheye curvature, strong vanishing-point distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Isometric,1,False
"0009 | Perspective/Isometric/Isometric Camera — waist-up crop, 105mm compressed portrait lens, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a fixed isometric-style elevated angle with parallel visual axes and minimal perspective convergence; conversational camera distance; waist-up crop; 105mm compressed portrait lens; asymmetrical cinematic balance; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","eye-level perspective, fisheye curvature, strong vanishing-point distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Isometric,1,False
"0010 | Perspective/Isometric/Isometric Camera — medium crop, 40mm natural-perspective lens, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a fixed isometric-style elevated angle with parallel visual axes and minimal perspective convergence; moderate camera distance; medium crop; 40mm natural-perspective lens; centred composition; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","eye-level perspective, fisheye curvature, strong vanishing-point distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Isometric,1,False
"0011 | Perspective/Isometric/Isometric Camera — tight crop, 28mm moderately wide lens, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a fixed isometric-style elevated angle with parallel visual axes and minimal perspective convergence; full-figure camera distance; tight crop; 28mm moderately wide lens; centred composition; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","eye-level perspective, fisheye curvature, strong vanishing-point distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Isometric,1,False
"0012 | Perspective/Isometric/Isometric Camera — vertical editorial framing, 65mm short-portrait lens, strong leading lines toward the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a fixed isometric-style elevated angle with parallel visual axes and minimal perspective convergence; close camera distance; vertical editorial framing; 65mm short-portrait lens; strong leading lines toward the subject; deep focus across the visible environment; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","eye-level perspective, fisheye curvature, strong vanishing-point distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Isometric,1,False
"0013 | Perspective/Isometric/Isometric Camera — waist-up crop, 65mm short-portrait lens, slightly off-centre editorial composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a fixed isometric-style elevated angle with parallel visual axes and minimal perspective convergence; camera far enough back to preserve spatial context; waist-up crop; 65mm short-portrait lens; slightly off-centre editorial composition; deep focus across the visible environment; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","eye-level perspective, fisheye curvature, strong vanishing-point distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Isometric,1,False
"0014 | Perspective/Isometric/Isometric Camera — tight crop, 65mm short-portrait lens, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a fixed isometric-style elevated angle with parallel visual axes and minimal perspective convergence; full-figure camera distance; tight crop; 65mm short-portrait lens; centred composition; shallow depth of field with clean subject separation; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","eye-level perspective, fisheye curvature, strong vanishing-point distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Isometric,1,False
"0015 | Perspective/Isometric/Isometric Camera — balanced square framing, 135mm telephoto lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a fixed isometric-style elevated angle with parallel visual axes and minimal perspective convergence; close camera distance; balanced square framing; 135mm telephoto lens; minimal uncluttered composition; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","eye-level perspective, fisheye curvature, strong vanishing-point distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Isometric,1,False
"0016 | Perspective/Isometric/Isometric Camera — medium crop, 105mm compressed portrait lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a fixed isometric-style elevated angle with parallel visual axes and minimal perspective convergence; environmental portrait distance; medium crop; 105mm compressed portrait lens; symmetrical visual balance; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","eye-level perspective, fisheye curvature, strong vanishing-point distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Isometric,1,False
"0017 | Perspective/Isometric/Isometric Camera — tight crop, 135mm telephoto lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a fixed isometric-style elevated angle with parallel visual axes and minimal perspective convergence; intimate portrait distance; tight crop; 135mm telephoto lens; environmental elements framing the subject; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","eye-level perspective, fisheye curvature, strong vanishing-point distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Isometric,1,False
