name,prompt,negative_prompt,category,weight,favorite
0001 | Male/Polished Culture/London Modern - Outerwear Look / Classic Taper - Day Finish,"adult man, sharp overcoat, fine-gauge knitwear, tailored trousers and polished leather shoes, a structured jacket or coat over layered knitwear, tailored trousers and coordinated footwear, clean classic taper with natural texture, navy, charcoal and white palette, soft matte daytime finish, practical restrained accessories, authentic fabric texture, precise seams and fasteners, natural drape, believable accessories, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, child, teen, underage, watermark, low detail, blur",Male/London Modern,1,False
0002 | Male/Polished Culture/London Modern - Outerwear Look / Classic Taper - Evening Finish,"adult man, sharp overcoat, fine-gauge knitwear, tailored trousers and polished leather shoes, a structured jacket or coat over layered knitwear, tailored trousers and coordinated footwear, clean classic taper with natural texture, navy, charcoal and white palette, richer contrast, polished evening finish and refined statement accessories, authentic fabric texture, precise seams and fasteners, natural drape, believable accessories, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, child, teen, underage, watermark, low detail, blur",Male/London Modern,1,False
0003 | Male/Polished Culture/London Modern - Outerwear Look / Textured Crop - Day Finish,"adult man, sharp overcoat, fine-gauge knitwear, tailored trousers and polished leather shoes, a structured jacket or coat over layered knitwear, tailored trousers and coordinated footwear, textured crop with controlled matte finish, olive, stone and black palette, soft matte daytime finish, practical restrained accessories, authentic fabric texture, precise seams and fasteners, natural drape, believable accessories, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, child, teen, underage, watermark, low detail, blur",Male/London Modern,1,False
0004 | Male/Polished Culture/London Modern - Outerwear Look / Textured Crop - Evening Finish,"adult man, sharp overcoat, fine-gauge knitwear, tailored trousers and polished leather shoes, a structured jacket or coat over layered knitwear, tailored trousers and coordinated footwear, textured crop with controlled matte finish, olive, stone and black palette, richer contrast, polished evening finish and refined statement accessories, authentic fabric texture, precise seams and fasteners, natural drape, believable accessories, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, child, teen, underage, watermark, low detail, blur",Male/London Modern,1,False
0005 | Male/Polished Culture/London Modern - Outerwear Look / Side Part - Day Finish,"adult man, sharp overcoat, fine-gauge knitwear, tailored trousers and polished leather shoes, a structured jacket or coat over layered knitwear, tailored trousers and coordinated footwear, refined side part with soft natural hold, camel, cream and dark brown palette, soft matte daytime finish, practical restrained accessories, authentic fabric texture, precise seams and fasteners, natural drape, believable accessories, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, child, teen, underage, watermark, low detail, blur",Male/London Modern,1,False
0006 | Male/Polished Culture/London Modern - Outerwear Look / Side Part - Evening Finish,"adult man, sharp overcoat, fine-gauge knitwear, tailored trousers and polished leather shoes, a structured jacket or coat over layered knitwear, tailored trousers and coordinated footwear, refined side part with soft natural hold, camel, cream and dark brown palette, richer contrast, polished evening finish and refined statement accessories, authentic fabric texture, precise seams and fasteners, natural drape, believable accessories, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, child, teen, underage, watermark, low detail, blur",Male/London Modern,1,False
0007 | Male/Polished Culture/London Modern - Outerwear Look / Medium Swept Back - Day Finish,"adult man, sharp overcoat, fine-gauge knitwear, tailored trousers and polished leather shoes, a structured jacket or coat over layered knitwear, tailored trousers and coordinated footwear, medium-length hair swept back with realistic movement, black, grey and silver palette, soft matte daytime finish, practical restrained accessories, authentic fabric texture, precise seams and fasteners, natural drape, believable accessories, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, child, teen, underage, watermark, low detail, blur",Male/London Modern,1,False
0008 | Male/Polished Culture/London Modern - Outerwear Look / Medium Swept Back - Evening Finish,"adult man, sharp overcoat, fine-gauge knitwear, tailored trousers and polished leather shoes, a structured jacket or coat over layered knitwear, tailored trousers and coordinated footwear, medium-length hair swept back with realistic movement, black, grey and silver palette, richer contrast, polished evening finish and refined statement accessories, authentic fabric texture, precise seams and fasteners, natural drape, believable accessories, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, child, teen, underage, watermark, low detail, blur",Male/London Modern,1,False
0009 | Male/Polished Culture/London Modern - Outerwear Look / Natural Curls - Day Finish,"adult man, sharp overcoat, fine-gauge knitwear, tailored trousers and polished leather shoes, a structured jacket or coat over layered knitwear, tailored trousers and coordinated footwear, defined natural curls with balanced shape, rust, navy and cream palette, soft matte daytime finish, practical restrained accessories, authentic fabric texture, precise seams and fasteners, natural drape, believable accessories, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, child, teen, underage, watermark, low detail, blur",Male/London Modern,1,False
0010 | Male/Polished Culture/London Modern - Outerwear Look / Natural Curls - Evening Finish,"adult man, sharp overcoat, fine-gauge knitwear, tailored trousers and polished leather shoes, a structured jacket or coat over layered knitwear, tailored trousers and coordinated footwear, defined natural curls with balanced shape, rust, navy and cream palette, richer contrast, polished evening finish and refined statement accessories, authentic fabric texture, precise seams and fasteners, natural drape, believable accessories, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, child, teen, underage, watermark, low detail, blur",Male/London Modern,1,False
