name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Rule of Thirds Right/Rule-of-Thirds Right Camera — three-quarter-length crop, 50mm standard lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the right third of the frame while preserving open scene space; camera close enough to retain material texture; three-quarter-length crop; 50mm standard lens; rule-of-thirds composition; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","dead-centre placement, subject clipped by right edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Right,1,False
"0002 | Perspective/Rule of Thirds Right/Rule-of-Thirds Right Camera — cinematic landscape framing, 35mm environmental lens, centred composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the right third of the frame while preserving open scene space; moderate camera distance; cinematic landscape framing; 35mm environmental lens; centred composition; focus weighted toward clothing and surface texture; coherent camera-to-scene geometry","dead-centre placement, subject clipped by right edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Right,1,False
"0003 | Perspective/Rule of Thirds Right/Rule-of-Thirds Right Camera — medium crop, 50mm standard lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the right third of the frame while preserving open scene space; wide scene distance; medium crop; 50mm standard lens; foreground-to-background depth layering; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","dead-centre placement, subject clipped by right edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Right,1,False
"0004 | Perspective/Rule of Thirds Right/Rule-of-Thirds Right Camera — waist-up crop, 50mm standard lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the right third of the frame while preserving open scene space; wide scene distance; waist-up crop; 50mm standard lens; clean negative space around the subject; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","dead-centre placement, subject clipped by right edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Right,1,False
"0005 | Perspective/Rule of Thirds Right/Rule-of-Thirds Right Camera — cinematic landscape framing, 40mm natural-perspective lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the right third of the frame while preserving open scene space; conversational camera distance; cinematic landscape framing; 40mm natural-perspective lens; foreground-to-background depth layering; focus weighted toward facial detail when visible; coherent camera-to-scene geometry","dead-centre placement, subject clipped by right edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Right,1,False
"0006 | Perspective/Rule of Thirds Right/Rule-of-Thirds Right Camera — medium crop, 70mm short-telephoto lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the right third of the frame while preserving open scene space; full-figure camera distance; medium crop; 70mm short-telephoto lens; asymmetrical cinematic balance; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","dead-centre placement, subject clipped by right edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Right,1,False
"0007 | Perspective/Rule of Thirds Right/Rule-of-Thirds Right Camera — vertical editorial framing, 135mm telephoto lens, environmental elements framing the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the right third of the frame while preserving open scene space; conversational camera distance; vertical editorial framing; 135mm telephoto lens; environmental elements framing the subject; focus weighted toward facial detail when visible; coherent camera-to-scene geometry","dead-centre placement, subject clipped by right edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Right,1,False
"0008 | Perspective/Rule of Thirds Right/Rule-of-Thirds Right Camera — cinematic landscape framing, 85mm portrait lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the right third of the frame while preserving open scene space; full-figure camera distance; cinematic landscape framing; 85mm portrait lens; asymmetrical cinematic balance; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","dead-centre placement, subject clipped by right edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Right,1,False
"0009 | Perspective/Rule of Thirds Right/Rule-of-Thirds Right Camera — cinematic landscape framing, 65mm short-portrait lens, environmental elements framing the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the right third of the frame while preserving open scene space; wide scene distance; cinematic landscape framing; 65mm short-portrait lens; environmental elements framing the subject; deep focus across the visible environment; coherent camera-to-scene geometry","dead-centre placement, subject clipped by right edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Right,1,False
"0010 | Perspective/Rule of Thirds Right/Rule-of-Thirds Right Camera — tight portrait crop, 65mm short-portrait lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the right third of the frame while preserving open scene space; conversational camera distance; tight portrait crop; 65mm short-portrait lens; rule-of-thirds composition; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","dead-centre placement, subject clipped by right edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Right,1,False
