name,parent_genre,group,weight,prompt
Urban Contemporary Gospel,Gospel,Gospel,10,"Contemporary urban gospel with pocketed drums, deep bass, piano or modern keys, expressive lead singing, choir responses, and a polished uplifting chorus."
Gospel Soul,Gospel,Gospel,10,"Gospel-soul with Hammond organ, warm bass, live drums, blues-rooted guitar, powerful lead voice, and responsive backing choir."
Praise and Worship,Gospel,Gospel,9,"Modern praise-and-worship music with piano or acoustic guitar, steady live drums, supportive bass, spacious pads, congregational vocal phrasing, and a gradual uplifting build."
Traditional Gospel Quartet,Gospel,Gospel,8,"Traditional gospel quartet feel with piano or organ, live bass and drums, close male or mixed harmony, call-and-response phrasing, and energetic church-room dynamics."
Texas Blues,Blues,Blues,10,"Texas electric blues with biting guitar, solid bass, swinging live drums, organ or piano color, and confident vocal-and-guitar call-and-response."
Swamp Blues,Blues,Blues,8,"Swamp blues with lazy syncopated groove, tremolo or gritty guitar, deep bass, restrained drums, humid room atmosphere, and understated vocal phrasing."
Acoustic Country Blues,Blues,Blues,9,"Acoustic country blues with fingerpicked or slide guitar, sparse foot-stomp or brushed rhythm, intimate voice, and raw story-first performance."
Modern Blues Soul,Blues,Blues,9,"Modern blues-soul with expressive electric guitar, warm bass, pocketed drums, organ, strong lead vocals, and polished but human dynamics."
Cumbia Pop,Latin / Reggaeton,Latin Pop,9,"Cumbia-pop with buoyant percussion, syncopated bass, bright guitar or keys, melodic lead vocals, and a concise crossover chorus."
Latin Rock,Latin / Reggaeton,Latin Pop,9,"Latin rock with electric guitars, bass and live drums combined with Latin percussion, melodic Spanish-language vocal phrasing, and an anthemic chorus."
Merengue Pop,Latin / Reggaeton,Latin Pop,8,"Merengue-pop with fast bright percussion, active bass, piano or synth stabs, energetic vocals, and a compact dance-floor hook."
Latin R&B,Latin / Reggaeton,Latin Urban,9,"Latin R&B with deep modern bass, pocketed drums, warm keys or guitar, intimate melodic vocals, and restrained urban-pop production."
Slam Poetry,Spoken Word / Voice,Spoken,9,"Rhythmic spoken poetry with no sung melody: dynamic breath, deliberate pauses, internal verbal rhythm, clear diction, and optional minimal underscore kept beneath the voice."
Audiobook Storytelling,Spoken Word / Voice,Spoken,9,"Natural long-form spoken storytelling with clear character distinction, measured pacing, intimate narration, and no musical phrasing in the voice."
Radio Drama,Spoken Word / Voice,Spoken,8,"Dramatic spoken performance with distinct character voices, dialogue timing, controlled sound-design space, and speech intelligibility kept above any underscore."
Documentary Voiceover,Spoken Word / Voice,Spoken,9,"Authoritative documentary voiceover with neutral clarity, natural emphasis, measured pacing, and restrained cinematic underscore that never competes with speech."
New Age Ambient,Ambient,Meditation,9,"New-age ambient with warm pads, gentle piano or acoustic color, slow harmonic movement, soft nature-like texture, and restorative open space."
Meditation Music,Ambient,Meditation,10,"Meditative ambient music with slow breathing room, soft sustained timbres, minimal harmonic tension, subtle bells or bowls, and no abrupt dynamic changes."
Healing Soundscape,Ambient,Meditation,8,"Calm healing soundscape with long warm tones, gentle harmonic overtones, sparse soft percussion or chimes, and an unhurried restorative arc."
Nature Ambient,Ambient,Meditation,8,"Nature-inflected ambient with soft pads, subtle acoustic textures, gentle water-or-wind-like ambience, minimal rhythm, and wide peaceful space."
Celtic Folk Fusion,World Fusion,Global,8,"Celtic-rooted fusion with fiddle, whistle or pipes, acoustic strings, hand percussion or live drums, and modern bass while preserving traditional melodic contour."
Middle Eastern Pop Fusion,World Fusion,Global,8,"Middle-Eastern pop fusion with modal melody, oud or plucked-string color, hand percussion, modern bass and drums, and a clear melodic crossover hook."
Indian Pop Fusion,World Fusion,Global,8,"Indian pop fusion with tabla or hand percussion, raga-informed melodic color, contemporary bass and drums, layered vocals, and a polished crossover chorus."
Global Acoustic Fusion,World Fusion,Global,8,"Acoustic world-fusion ensemble built from clearly identified regional strings, winds or percussion, natural bass, and coherent modern song form without flattening the source timbres."
Musical Comedy,Comedy / Novelty,Comedy,8,"Musical comedy with character-led vocals, clear setup-and-payoff timing, coherent accompaniment, and a recurring melodic joke or phrase that supports the scene."
Comedy Rock,Comedy / Novelty,Comedy,8,"Comedy rock with real electric-guitar, bass and live-drum arrangement, strong chorus writing, and punchlines placed cleanly inside a believable rock song."
Comedy Country,Comedy / Novelty,Comedy,7,"Comedy country with acoustic and electric roots instrumentation, natural drums, plainspoken storytelling, and a clear comic narrative that lands inside a proper country arrangement."
Comedy R&B,Comedy / Novelty,Comedy,7,"Comedy R&B with smooth pocketed production, melodic vocals, harmony stacks, and intentionally serious musical execution supporting an absurd or witty lyrical premise."
Gregorian Drill Opera,Experimental,Experimental Hybrids,2,"A deliberately strange sacred-chant, opera and drill hybrid retained as an experimental legacy choice rather than being presented as a normal Hip-Hop or Classical style."
Genre Roulette Mutation,Experimental,Experimental Hybrids,1,"A deliberate multi-genre mutation retained as an experimental legacy choice rather than appearing inside a mainstream parent genre."
Opera Rock,Rock,Theatrical Rock,8,"Theatrical rock that combines electric-guitar, bass and live-drum weight with operatic scale, dramatic vocal projection, and large arrangement changes."
Gothic Post-Punk,Rock,Dark Rock,9,"Gothic post-punk with chorus-soaked guitar, melodic bass, spacious drums, minor-key atmosphere, and romantic nocturnal melancholy."
